load_case,out_oopDisp_mm_n2,out_supReac_kN_n3,out_supReac_kN_n4,out_verDisp_mm_n5,out_oopDisp_mm_n5,out_endBend_kNm_n6
33001_sd766_sl13_pd218_pl12_sv10_bp11_ba840_bp62,208.64,16.7,58.89,263.66,210.38,288.47
33002_sd641_sl13_pd148_pl9_sv4_bp12_ba650_bp59,152.78,13.83,46.65,195.11,151.48,149.93
33003_sd735_sl7_pd229_pl12_sv6_bp13_ba780_bp69,182.65,14.62,51.64,214.89,166.64,160.65
33004_sd610_sl10_pd213_pl7_sv9_bp12_ba920_bp58,215.66,16.82,58.48,280.07,211.46,283.67
33005_sd868_sl9_pd215_pl11_sv12_bp11_ba810_bp68,237.12,21.63,63.52,360.58,299.12,458.18
33006_sd697_sl10_pd338_pl11_sv11_bp10_ba690_bp73,178.96,15.21,55.53,234.37,204.76,234.85
33007_sd789_sl8_pd216_pl12_sv8_bp12_ba770_bp57,220.27,15.66,51.6,244.32,274.41,239.77
33008_sd558_sl8_pd220_pl8_sv9_bp13_ba620_bp51,161.8,13.88,47.52,185.49,161.57,205.21
33009_sd784_sl11_pd256_pl7_sv9_bp13_ba620_bp49,173.99,15.46,53.86,221.9,159.69,225.6
33010_sd779_sl8_pd174_pl7_sv6_bp11_ba630_bp51,155.88,15.87,49.44,229.12,158.55,201.7
33011_sd755_sl12_pd210_pl7_sv12_bp11_ba770_bp67,201.03,19.53,58.32,261.89,216.48,321.74
33012_sd776_sl9_pd168_pl9_sv9_bp12_ba840_bp68,203.98,19.25,61.51,255.53,199.92,271.09
33013_sd830_sl11_pd229_pl12_sv12_bp12_ba730_bp74,200.25,17.28,58.19,234.97,208.51,284.59
33014_sd811_sl10_pd191_pl11_sv9_bp12_ba780_bp62,214.76,17.49,60.71,274.79,238.84,243.5
33015_sd775_sl10_pd220_pl9_sv8_bp13_ba650_bp63,158.06,14.35,49.18,193.96,157.61,189.95
33016_sd882_sl11_pd180_pl11_sv8_bp12_ba760_bp60,184.16,17.77,60.83,293.32,179.06,276.55
33017_sd706_sl11_pd115_pl11_sv11_bp11_ba790_bp49,189.92,16.94,57.61,261.93,198.35,240.29
33018_sd750_sl9_pd169_pl9_sv10_bp13_ba650_bp67,179.4,14.53,50.2,197.67,202.44,231.74
33019_sd773_sl9_pd126_pl6_sv5_bp13_ba790_bp73,191.28,15.09,53.18,222.38,179.48,161.78
33020_sd755_sl10_pd160_pl7_sv6_bp12_ba600_bp71,148.84,15.84,53.24,231.13,141.69,194.91
33021_sd726_sl10_pd195_pl9_sv10_bp12_ba580_bp65,165.99,13.78,45.16,172.57,162.81,199.88
33022_sd821_sl12_pd241_pl10_sv8_bp10_ba710_bp59,182.29,18.7,65.67,339.81,182.0,290.31
33023_sd698_sl7_pd169_pl10_sv8_bp13_ba670_bp49,187.45,14.26,47.15,220.57,214.28,213.93
33024_sd727_sl8_pd261_pl9_sv7_bp15_ba810_bp55,187.46,16.41,56.12,247.42,174.37,208.84
33025_sd793_sl11_pd278_pl7_sv10_bp13_ba620_bp63,163.42,16.98,53.43,224.78,177.54,248.94
33026_sd655_sl14_pd159_pl10_sv8_bp13_ba560_bp57,137.2,13.19,43.8,178.09,154.03,184.06
33027_sd713_sl11_pd191_pl7_sv9_bp9_ba640_bp56,166.19,15.93,51.75,234.71,190.91,203.16
33028_sd729_sl10_pd148_pl7_sv12_bp11_ba790_bp49,298.9,20.87,56.53,319.46,362.57,414.49
33029_sd622_sl10_pd264_pl10_sv6_bp14_ba930_bp88,217.02,16.94,58.49,277.88,197.12,187.3
33030_sd919_sl14_pd233_pl13_sv8_bp12_ba600_bp52,183.03,16.73,51.15,255.29,216.36,225.99
33031_sd706_sl12_pd242_pl8_sv10_bp12_ba780_bp46,207.75,16.27,55.79,238.0,217.41,303.16
33032_sd727_sl8_pd193_pl11_sv7_bp14_ba810_bp66,183.99,15.79,56.19,245.78,177.41,213.78
33033_sd769_sl15_pd199_pl12_sv8_bp12_ba690_bp63,205.76,16.68,52.25,255.37,235.38,192.73
33034_sd775_sl11_pd227_pl7_sv8_bp12_ba530_bp60,172.59,15.07,42.14,203.57,201.54,208.83
33035_sd782_sl8_pd127_pl9_sv7_bp10_ba690_bp68,169.19,14.45,49.16,213.19,160.44,183.93
33036_sd865_sl8_pd210_pl12_sv8_bp11_ba830_bp68,206.78,16.85,60.65,305.53,191.92,260.93
33037_sd752_sl13_pd314_pl13_sv9_bp12_ba830_bp49,199.29,17.95,60.69,285.11,207.2,253.78
33038_sd802_sl9_pd174_pl9_sv6_bp12_ba780_bp59,184.48,15.12,55.27,218.14,171.86,174.2
33039_sd649_sl7_pd196_pl10_sv8_bp10_ba700_bp52,180.06,13.91,50.09,211.51,188.52,166.57
33040_sd812_sl11_pd277_pl12_sv6_bp13_ba580_bp64,153.23,13.63,44.56,184.63,147.59,155.23
33041_sd815_sl10_pd172_pl11_sv10_bp12_ba470_bp76,117.22,14.59,38.28,160.72,130.59,161.08
33042_sd812_sl9_pd95_pl12_sv6_bp13_ba740_bp50,215.46,16.95,55.25,265.15,235.49,218.9
33043_sd759_sl8_pd256_pl10_sv6_bp11_ba850_bp57,194.98,16.04,57.53,253.67,185.29,207.39
33044_sd662_sl9_pd261_pl11_sv8_bp13_ba790_bp68,181.8,16.44,56.5,242.99,183.21,188.11
33045_sd722_sl11_pd207_pl9_sv9_bp11_ba690_bp54,169.22,15.46,48.31,206.74,175.64,204.5
33046_sd766_sl11_pd212_pl10_sv9_bp11_ba660_bp63,176.11,15.55,53.39,252.71,183.3,214.87
33047_sd811_sl10_pd245_pl10_sv7_bp12_ba700_bp71,170.05,17.44,59.48,289.24,168.77,265.61
33048_sd779_sl11_pd229_pl15_sv10_bp13_ba770_bp54,214.79,16.96,62.47,283.26,223.37,229.91
33049_sd842_sl12_pd232_pl10_sv9_bp13_ba620_bp54,177.29,17.28,55.59,246.08,208.56,246.4
33050_sd572_sl9_pd124_pl10_sv7_bp11_ba590_bp63,144.66,12.96,40.89,177.93,134.76,150.35
33051_sd855_sl10_pd168_pl10_sv9_bp12_ba540_bp67,137.91,14.2,41.85,189.35,154.8,185.65
33052_sd824_sl11_pd282_pl12_sv10_bp11_ba700_bp68,175.78,15.85,54.36,230.81,185.8,238.22
33053_sd729_sl11_pd239_pl11_sv8_bp11_ba460_bp72,123.86,16.8,55.92,279.31,128.54,236.28
33054_sd739_sl9_pd253_pl12_sv6_bp10_ba870_bp52,207.84,16.7,56.95,260.1,197.99,203.9
33055_sd845_sl8_pd165_pl10_sv10_bp10_ba630_bp53,178.86,14.91,52.7,201.22,173.81,236.67
33056_sd771_sl10_pd153_pl11_sv9_bp12_ba890_bp73,228.11,18.51,63.68,310.43,234.78,261.22
