load_case,out_oopDisp_mm_n2,out_supReac_kN_n3,out_supReac_kN_n4,out_verDisp_mm_n5,out_oopDisp_mm_n5,out_endBend_kNm_n6
31001_sd765_sl11_pd257_pl9_sv10_bp14_ba710_bp78,166.36,16.24,56.79,222.53,166.92,218.25
31002_sd751_sl10_pd141_pl12_sv6_bp11_ba790_bp34,196.71,14.81,53.18,238.39,196.42,199.83
31003_sd706_sl12_pd165_pl14_sv7_bp12_ba860_bp70,230.27,16.71,55.74,269.7,227.95,251.34
31004_sd848_sl11_pd306_pl10_sv7_bp11_ba640_bp63,147.64,14.28,50.29,203.23,143.84,178.51
31005_sd770_sl12_pd244_pl8_sv7_bp13_ba720_bp47,171.36,14.7,53.28,214.94,171.76,183.76
31006_sd784_sl7_pd216_pl12_sv9_bp12_ba740_bp80,224.88,16.36,55.2,230.46,248.52,249.67
31007_sd786_sl9_pd315_pl10_sv9_bp12_ba540_bp66,142.45,14.07,38.99,157.14,159.93,185.27
31008_sd648_sl13_pd178_pl10_sv7_bp11_ba710_bp68,176.11,15.51,53.4,226.27,168.21,166.51
31009_sd840_sl11_pd136_pl11_sv8_bp12_ba700_bp46,173.43,20.31,65.1,352.58,179.74,300.89
31010_sd822_sl10_pd225_pl9_sv10_bp15_ba630_bp38,170.69,15.59,47.31,198.22,191.17,220.57
31011_sd802_sl11_pd188_pl10_sv10_bp11_ba640_bp71,154.94,15.97,51.65,207.29,164.88,237.1
31012_sd928_sl8_pd183_pl9_sv8_bp11_ba550_bp51,147.7,14.79,44.56,194.97,152.22,170.0
31013_sd782_sl10_pd152_pl9_sv7_bp12_ba700_bp52,163.09,14.65,52.12,236.2,170.35,216.35
31014_sd780_sl12_pd236_pl11_sv11_bp12_ba860_bp65,215.73,19.12,59.42,269.59,213.21,281.59
31015_sd701_sl10_pd188_pl7_sv9_bp13_ba620_bp67,159.68,13.98,47.47,194.21,150.69,192.27
31016_sd712_sl12_pd187_pl10_sv7_bp13_ba630_bp57,149.85,13.93,49.01,208.73,161.06,157.66
31017_sd632_sl12_pd175_pl11_sv8_bp12_ba700_bp52,164.4,15.58,55.75,242.47,166.44,232.54
31018_sd731_sl11_pd204_pl12_sv5_bp12_ba780_bp71,181.2,15.21,52.28,235.92,156.93,172.19
31019_sd795_sl9_pd267_pl14_sv6_bp11_ba890_bp69,212.17,18.5,63.85,306.63,191.58,278.68
31020_sd714_sl11_pd248_pl12_sv7_bp12_ba610_bp49,152.75,13.74,48.02,198.53,148.93,164.19
31021_sd734_sl8_pd188_pl12_sv7_bp11_ba600_bp62,149.67,13.65,45.77,184.88,144.45,157.05
31022_sd701_sl12_pd129_pl13_sv6_bp13_ba780_bp74,182.32,15.64,51.47,236.27,168.71,186.58
31023_sd782_sl9_pd136_pl9_sv8_bp11_ba500_bp61,141.04,13.02,37.13,164.77,132.21,175.86
31024_sd651_sl14_pd242_pl10_sv8_bp13_ba730_bp56,182.87,15.73,54.77,228.22,189.49,206.93
31025_sd865_sl11_pd171_pl14_sv9_bp11_ba590_bp57,152.85,17.22,59.58,263.42,171.28,230.86
31026_sd752_sl10_pd168_pl7_sv5_bp13_ba890_bp56,205.41,16.53,57.52,245.49,181.34,197.03
31027_sd632_sl8_pd220_pl14_sv6_bp13_ba760_bp75,178.16,15.85,54.5,251.68,170.5,202.46
31028_sd759_sl8_pd154_pl16_sv7_bp11_ba710_bp53,165.22,14.06,48.03,205.15,159.25,164.62
31029_sd807_sl12_pd278_pl11_sv7_bp13_ba640_bp57,151.34,15.02,45.43,195.37,152.13,174.39
31030_sd688_sl12_pd99_pl11_sv6_bp12_ba810_bp81,223.62,16.01,56.36,282.78,239.05,239.73
31031_sd806_sl9_pd198_pl11_sv6_bp14_ba730_bp57,171.77,15.38,53.79,216.61,160.49,167.24
31032_sd604_sl10_pd206_pl11_sv10_bp13_ba830_bp68,200.87,16.02,55.96,258.48,201.26,222.04
31033_sd738_sl9_pd205_pl10_sv10_bp11_ba560_bp51,150.83,14.61,44.62,183.85,163.66,210.87
31034_sd644_sl10_pd255_pl13_sv8_bp11_ba700_bp41,164.15,15.96,57.89,258.44,166.42,223.65
31035_sd729_sl12_pd234_pl11_sv7_bp11_ba770_bp40,192.05,15.13,55.43,241.19,193.64,203.91
31036_sd701_sl11_pd214_pl11_sv8_bp12_ba500_bp40,127.28,12.95,42.91,193.04,128.28,203.87
31037_sd650_sl4_pd182_pl11_sv8_bp11_ba680_bp68,166.73,14.43,52.11,243.72,174.61,188.85
31038_sd842_sl9_pd186_pl11_sv9_bp12_ba380_bp60,109.24,12.49,33.09,140.44,123.67,178.48
31039_sd828_sl10_pd293_pl11_sv9_bp11_ba680_bp71,167.65,15.62,50.21,219.03,193.4,202.51
31040_sd765_sl10_pd212_pl11_sv10_bp11_ba740_bp44,191.95,15.65,53.95,229.59,196.83,227.38
31041_sd765_sl7_pd93_pl10_sv5_bp11_ba850_bp67,196.95,15.0,53.62,251.89,170.66,183.65
31042_sd739_sl14_pd108_pl12_sv7_bp13_ba650_bp78,192.4,16.88,50.96,242.27,215.72,206.53
31043_sd582_sl9_pd176_pl8_sv8_bp12_ba440_bp80,113.44,12.01,31.32,127.49,107.62,120.72
31044_sd652_sl9_pd239_pl12_sv7_bp12_ba710_bp84,164.49,16.0,56.12,265.06,164.36,213.92
