load_case,out_oopDisp_mm_n2,out_supReac_kN_n3,out_supReac_kN_n4,out_verDisp_mm_n5,out_oopDisp_mm_n5,out_endBend_kNm_n6
45001_sd783_sl9_pd173_pl7_sv10_bp12_ba800_bp74,237.37,17.37,57.04,263.83,251.53,308.35
45002_sd727_sl8_pd145_pl14_sv11_bp12_ba700_bp57,190.88,17.04,60.42,260.36,195.59,340.18
45003_sd771_sl11_pd188_pl7_sv8_bp11_ba660_bp66,220.3,16.62,56.92,278.72,258.75,213.27
45004_sd814_sl13_pd241_pl14_sv4_bp13_ba670_bp56,156.8,15.06,46.44,192.03,139.21,148.4
45005_sd805_sl8_pd206_pl10_sv6_bp12_ba940_bp50,219.61,16.76,57.42,283.91,201.87,228.16
45006_sd730_sl9_pd217_pl11_sv6_bp12_ba740_bp70,178.98,14.9,52.44,220.68,167.87,173.0
45007_sd785_sl13_pd225_pl9_sv7_bp12_ba730_bp58,173.58,15.07,51.24,216.87,171.23,190.84
45008_sd718_sl8_pd88_pl11_sv7_bp11_ba740_bp66,173.21,14.03,50.13,199.64,155.77,195.74
45009_sd732_sl10_pd193_pl13_sv7_bp13_ba880_bp48,214.24,17.4,59.32,279.9,209.34,229.75
45010_sd807_sl9_pd123_pl10_sv7_bp13_ba800_bp46,192.82,14.97,54.5,221.93,179.27,182.03
45011_sd841_sl8_pd262_pl13_sv8_bp11_ba690_bp70,208.0,15.73,51.86,226.45,227.75,189.91
45012_sd639_sl7_pd125_pl10_sv8_bp14_ba770_bp50,197.63,15.95,55.66,257.27,196.37,228.05
45013_sd712_sl10_pd241_pl13_sv8_bp13_ba720_bp70,168.5,15.28,55.42,229.18,157.93,204.04
45014_sd784_sl9_pd196_pl11_sv5_bp13_ba630_bp47,177.32,14.11,47.49,210.67,181.21,174.07
45015_sd739_sl9_pd234_pl10_sv9_bp10_ba750_bp61,182.92,15.92,53.99,226.07,184.53,227.88
45016_sd756_sl12_pd200_pl10_sv12_bp13_ba800_bp65,217.61,20.19,73.45,337.36,284.95,439.5
45017_sd728_sl10_pd230_pl8_sv7_bp11_ba630_bp58,162.19,15.16,52.47,226.25,148.62,171.84
45018_sd850_sl9_pd139_pl9_sv8_bp13_ba760_bp55,189.88,16.05,57.61,221.96,180.91,220.22
45019_sd811_sl6_pd226_pl10_sv7_bp12_ba740_bp65,212.89,15.5,52.11,247.4,215.77,199.7
45020_sd773_sl13_pd229_pl8_sv9_bp13_ba570_bp63,194.03,15.54,44.7,222.02,245.66,251.07
45021_sd715_sl7_pd154_pl9_sv7_bp13_ba530_bp60,161.5,13.01,37.32,177.64,181.18,162.46
45022_sd752_sl9_pd234_pl6_sv11_bp12_ba660_bp50,246.57,18.01,51.36,255.16,299.35,349.81
45023_sd718_sl9_pd222_pl8_sv7_bp13_ba610_bp65,146.56,13.48,42.01,175.92,145.56,148.52
45024_sd792_sl5_pd248_pl9_sv10_bp14_ba740_bp68,216.03,17.81,54.19,251.15,243.88,190.35
45025_sd753_sl11_pd155_pl10_sv8_bp13_ba900_bp65,215.92,21.64,69.02,373.42,218.88,329.27
45026_sd814_sl10_pd216_pl12_sv11_bp12_ba640_bp58,175.63,16.19,55.71,272.63,203.4,268.79
45027_sd746_sl7_pd138_pl11_sv6_bp11_ba730_bp86,169.46,13.85,49.08,204.64,154.27,156.88
45028_sd742_sl10_pd212_pl7_sv8_bp12_ba770_bp48,200.57,16.16,52.28,239.43,214.44,227.56
45029_sd573_sl10_pd148_pl12_sv9_bp11_ba630_bp68,152.4,14.61,49.79,219.23,165.03,180.7
45030_sd734_sl11_pd192_pl12_sv8_bp13_ba800_bp59,195.4,18.95,66.28,324.59,194.96,306.56
45031_sd737_sl12_pd209_pl8_sv8_bp11_ba780_bp78,206.66,16.28,56.87,264.86,221.53,220.38
45032_sd788_sl11_pd222_pl12_sv8_bp11_ba710_bp62,171.14,16.18,55.24,249.35,170.31,224.97
45033_sd654_sl10_pd231_pl9_sv8_bp12_ba600_bp63,140.26,13.64,42.27,169.91,134.44,159.36
45034_sd650_sl12_pd281_pl7_sv12_bp11_ba610_bp48,159.67,16.63,50.36,204.19,176.44,285.07
45035_sd757_sl13_pd294_pl6_sv7_bp11_ba530_bp62,134.03,13.18,34.88,151.56,126.85,134.68
45036_sd616_sl9_pd151_pl11_sv7_bp12_ba520_bp73,128.58,12.79,41.02,187.52,125.72,164.75
45037_sd689_sl10_pd187_pl13_sv9_bp12_ba570_bp63,153.8,14.91,53.83,247.33,171.81,221.91
45038_sd978_sl13_pd236_pl10_sv4_bp12_ba860_bp51,198.47,17.18,60.22,270.88,184.91,203.21
45039_sd683_sl8_pd202_pl11_sv10_bp11_ba750_bp50,185.16,16.43,59.51,230.26,197.56,265.22
45040_sd801_sl8_pd205_pl10_sv8_bp13_ba620_bp80,187.48,14.83,46.7,207.59,199.33,185.69
45041_sd699_sl10_pd196_pl11_sv4_bp13_ba690_bp59,174.56,14.22,49.28,211.07,173.0,157.11
45042_sd720_sl10_pd243_pl10_sv9_bp11_ba730_bp64,171.55,16.29,52.38,214.09,181.69,179.47
45043_sd736_sl11_pd202_pl8_sv8_bp12_ba800_bp38,238.19,17.36,59.69,299.53,284.88,252.53
45044_sd843_sl12_pd208_pl10_sv7_bp11_ba600_bp56,144.74,13.74,48.1,188.3,146.47,178.61
45045_sd770_sl11_pd209_pl7_sv7_bp13_ba670_bp54,191.25,14.98,50.99,219.93,195.14,214.1
45046_sd720_sl10_pd213_pl11_sv3_bp11_ba580_bp53,134.58,12.76,42.35,170.74,119.97,134.35
45047_sd717_sl7_pd265_pl11_sv7_bp13_ba500_bp50,126.49,13.04,44.2,192.53,126.5,169.01
45048_sd607_sl8_pd126_pl11_sv8_bp11_ba670_bp46,176.92,15.42,51.49,228.63,182.95,192.82
45049_sd806_sl9_pd266_pl9_sv10_bp12_ba750_bp94,199.51,16.06,55.32,230.74,205.59,252.52
45050_sd710_sl9_pd137_pl9_sv9_bp12_ba720_bp63,187.52,15.0,51.69,206.68,185.45,226.84
45051_sd757_sl12_pd220_pl11_sv6_bp12_ba570_bp60,143.06,13.79,40.91,180.07,141.14,151.25
45052_sd598_sl11_pd176_pl11_sv7_bp11_ba800_bp57,199.72,15.79,54.73,255.62,193.21,204.19
45053_sd670_sl7_pd235_pl10_sv9_bp11_ba750_bp54,200.15,16.37,56.55,242.8,179.48,216.22
45054_sd692_sl6_pd228_pl6_sv11_bp12_ba740_bp50,205.35,20.21,67.83,326.15,237.9,333.49
45055_sd828_sl9_pd187_pl9_sv7_bp13_ba710_bp84,168.84,15.35,51.78,210.42,174.29,189.28
45056_sd982_sl13_pd247_pl14_sv6_bp12_ba860_bp53,203.1,19.15,62.81,303.57,183.4,281.61
45057_sd775_sl8_pd148_pl8_sv8_bp12_ba580_bp61,158.5,13.99,40.28,173.88,158.57,160.61
45058_sd640_sl9_pd154_pl15_sv5_bp11_ba560_bp43,134.97,12.57,38.89,164.26,128.28,116.57
45059_sd815_sl8_pd247_pl6_sv8_bp13_ba770_bp61,195.88,17.55,59.75,263.62,187.98,226.01
45060_sd677_sl8_pd162_pl10_sv11_bp14_ba720_bp84,199.87,15.86,52.27,209.16,207.22,207.75
45061_sd836_sl9_pd230_pl9_sv9_bp11_ba620_bp72,161.94,15.32,45.33,172.93,153.57,193.18
45062_sd646_sl9_pd244_pl8_sv8_bp12_ba620_bp57,155.0,13.73,41.66,173.06,144.79,157.14
45063_sd675_sl10_pd191_pl9_sv10_bp14_ba710_bp76,171.16,14.98,50.31,204.22,172.16,199.11
45064_sd800_sl10_pd201_pl11_sv10_bp12_ba800_bp77,193.43,17.04,58.08,231.51,196.71,207.13
45065_sd831_sl14_pd313_pl11_sv10_bp13_ba760_bp57,192.1,18.31,58.57,248.04,205.95,247.21
45066_sd903_sl10_pd191_pl9_sv8_bp13_ba570_bp49,141.64,14.62,46.18,189.35,159.41,234.63
45067_sd768_sl14_pd292_pl9_sv7_bp12_ba810_bp56,190.07,15.84,56.44,255.19,179.84,212.22
45068_sd719_sl10_pd218_pl13_sv11_bp12_ba500_bp62,146.27,13.75,42.27,174.27,160.4,232.22
45069_sd627_sl13_pd212_pl12_sv7_bp12_ba750_bp69,195.91,15.53,52.76,248.2,203.18,199.0
45070_sd775_sl10_pd240_pl14_sv9_bp13_ba770_bp67,195.07,16.6,60.55,269.89,189.48,238.83
45071_sd661_sl12_pd158_pl11_sv7_bp12_ba760_bp45,187.33,15.09,54.83,224.89,180.23,196.02
45072_sd719_sl10_pd277_pl13_sv11_bp12_ba700_bp79,171.08,15.28,55.22,209.74,195.02,227.12
45073_sd740_sl11_pd207_pl11_sv10_bp12_ba640_bp76,161.0,14.94,47.63,198.98,159.11,194.36
45074_sd676_sl10_pd257_pl13_sv10_bp10_ba680_bp69,182.28,15.17,50.17,217.1,199.66,209.16
45075_sd706_sl12_pd167_pl10_sv7_bp14_ba870_bp53,207.98,16.21,60.44,308.87,190.41,222.01
45076_sd837_sl9_pd244_pl12_sv9_bp12_ba680_bp47,226.49,16.85,56.73,269.02,263.17,200.29
45077_sd865_sl12_pd265_pl12_sv11_bp12_ba710_bp47,182.87,18.32,58.92,258.45,208.89,294.03
45078_sd744_sl15_pd155_pl12_sv9_bp12_ba720_bp62,188.3,17.19,50.5,214.9,212.84,200.78
