load_case,out_oopDisp_mm_n2,out_supReac_kN_n3,out_supReac_kN_n4,out_verDisp_mm_n5,out_oopDisp_mm_n5,out_endBend_kNm_n6
39001_sd703_sl11_pd128_pl9_sv10_bp13_ba840_bp75,197.28,18.22,58.35,270.27,193.69,254.22
39002_sd741_sl8_pd214_pl7_sv9_bp12_ba670_bp57,189.07,15.83,50.58,216.24,194.21,219.81
39003_sd670_sl14_pd200_pl8_sv9_bp11_ba580_bp70,181.1,14.89,44.98,201.61,215.62,185.93
39004_sd754_sl6_pd185_pl8_sv6_bp12_ba750_bp77,181.66,14.18,50.8,218.22,163.86,164.39
39005_sd702_sl8_pd185_pl8_sv9_bp14_ba690_bp69,185.84,14.9,50.87,220.46,175.22,189.34
39006_sd784_sl10_pd185_pl12_sv15_bp11_ba610_bp61,198.88,18.98,59.19,251.74,316.08,504.32
39007_sd837_sl11_pd155_pl5_sv6_bp13_ba690_bp43,185.0,14.32,50.67,202.93,174.02,174.87
39008_sd729_sl13_pd228_pl11_sv5_bp13_ba670_bp60,163.72,14.22,49.44,208.39,155.06,158.48
39009_sd690_sl8_pd231_pl9_sv10_bp12_ba680_bp74,179.79,15.11,51.47,204.61,176.89,227.8
39010_sd685_sl11_pd144_pl12_sv10_bp12_ba820_bp67,209.57,17.84,59.74,287.17,221.48,241.01
39011_sd699_sl10_pd203_pl9_sv8_bp12_ba630_bp48,151.38,14.39,46.16,184.64,154.05,184.31
39012_sd706_sl9_pd199_pl11_sv7_bp12_ba840_bp75,191.63,15.94,57.71,246.59,173.88,202.47
39013_sd637_sl10_pd232_pl10_sv10_bp12_ba740_bp76,188.6,15.01,51.67,203.7,177.94,197.86
39014_sd773_sl13_pd134_pl10_sv7_bp12_ba710_bp68,183.52,16.1,55.55,244.09,183.18,203.35
39015_sd770_sl9_pd162_pl9_sv5_bp11_ba710_bp54,196.98,14.88,51.91,228.21,209.86,156.34
39016_sd663_sl13_pd201_pl14_sv9_bp13_ba720_bp64,179.72,16.47,52.55,231.36,182.54,230.05
39017_sd738_sl8_pd275_pl8_sv10_bp12_ba680_bp45,222.86,17.06,54.53,255.89,254.46,277.56
39018_sd671_sl8_pd201_pl13_sv6_bp12_ba820_bp63,196.51,16.02,57.51,258.42,179.48,227.65
39019_sd634_sl10_pd105_pl10_sv8_bp12_ba660_bp44,158.84,14.27,49.77,227.79,150.45,179.51
39020_sd769_sl13_pd193_pl8_sv8_bp12_ba610_bp72,167.09,16.71,58.05,281.73,186.86,243.44
