load_case,out_oopDisp_mm_n2,out_supReac_kN_n3,out_supReac_kN_n4,out_verDisp_mm_n5,out_oopDisp_mm_n5,out_endBend_kNm_n6
20001_sd731_sl9_pd253_pl8_sv11_bp10_ba590_bp65,184.76,16.0,48.08,212.23,213.89,236.46
20002_sd861_sl9_pd188_pl11_sv9_bp12_ba820_bp60,247.77,17.82,59.43,291.97,293.23,291.83
20003_sd697_sl10_pd162_pl12_sv7_bp11_ba580_bp49,139.13,13.3,45.24,186.33,136.27,173.14
20004_sd753_sl10_pd248_pl9_sv7_bp11_ba780_bp69,195.23,16.51,59.22,264.78,187.76,220.7
20005_sd690_sl6_pd239_pl10_sv11_bp11_ba720_bp56,216.1,17.26,56.33,260.87,255.88,293.5
20006_sd705_sl12_pd126_pl12_sv10_bp11_ba640_bp57,157.13,15.24,48.66,204.62,168.18,219.4
20007_sd679_sl10_pd193_pl10_sv9_bp13_ba470_bp38,118.38,13.35,38.72,156.85,124.68,168.15
20008_sd660_sl13_pd203_pl10_sv8_bp11_ba610_bp74,158.45,15.4,56.29,259.65,153.22,213.35
20009_sd750_sl14_pd234_pl11_sv7_bp12_ba700_bp68,165.0,14.86,52.17,214.46,162.8,182.68
20010_sd724_sl8_pd146_pl11_sv7_bp13_ba670_bp42,159.13,13.75,49.83,203.63,157.47,178.82
20011_sd785_sl9_pd192_pl10_sv10_bp12_ba620_bp51,174.09,14.75,53.88,201.76,180.33,246.79
20012_sd684_sl8_pd206_pl6_sv8_bp11_ba770_bp62,198.82,16.84,60.29,274.85,208.8,271.41
20013_sd784_sl10_pd235_pl9_sv10_bp12_ba750_bp65,185.64,15.64,54.34,208.37,175.15,228.85
20014_sd744_sl6_pd283_pl9_sv10_bp13_ba820_bp64,234.7,18.37,57.37,252.17,243.61,251.96
20015_sd612_sl7_pd211_pl10_sv10_bp11_ba690_bp53,188.12,15.41,53.89,233.92,184.67,211.06
20016_sd787_sl8_pd176_pl9_sv8_bp13_ba740_bp62,206.8,15.39,52.91,242.01,219.8,211.07
20017_sd775_sl9_pd60_pl10_sv11_bp13_ba830_bp48,229.8,18.2,61.41,263.98,259.74,376.73
20018_sd789_sl8_pd187_pl7_sv8_bp14_ba790_bp54,211.14,15.25,53.38,246.8,207.73,245.93
20019_sd744_sl8_pd248_pl8_sv11_bp12_ba810_bp48,261.36,19.97,57.96,273.54,315.57,379.11
20020_sd650_sl12_pd214_pl13_sv7_bp14_ba730_bp68,182.87,14.17,50.23,218.52,174.45,171.62
20021_sd716_sl6_pd183_pl12_sv8_bp13_ba590_bp65,219.11,14.8,48.18,245.81,285.84,232.23
20022_sd808_sl11_pd206_pl14_sv9_bp13_ba470_bp65,122.34,13.48,47.01,208.9,141.64,209.6
20023_sd878_sl9_pd215_pl8_sv8_bp13_ba620_bp72,160.26,15.29,47.03,185.98,151.23,197.74
20024_sd795_sl9_pd260_pl11_sv10_bp13_ba530_bp75,155.33,14.42,43.06,172.68,157.05,198.81
20025_sd661_sl7_pd251_pl9_sv10_bp12_ba610_bp70,164.82,14.54,46.87,186.0,177.02,185.8
20026_sd707_sl12_pd132_pl15_sv8_bp10_ba600_bp57,173.37,16.37,47.47,217.35,168.3,173.26
20027_sd593_sl10_pd198_pl10_sv11_bp13_ba760_bp69,182.82,16.17,52.66,225.93,183.23,222.94
20028_sd754_sl8_pd233_pl12_sv7_bp13_ba780_bp63,186.52,15.56,55.13,256.55,179.4,226.25
20029_sd892_sl9_pd279_pl12_sv9_bp11_ba650_bp69,226.53,16.69,53.11,273.2,268.48,246.74
20030_sd854_sl10_pd213_pl8_sv6_bp11_ba590_bp70,145.3,13.37,45.62,190.52,141.66,169.25
20031_sd635_sl7_pd203_pl9_sv8_bp13_ba600_bp73,154.95,13.62,43.49,168.86,160.94,155.7
20032_sd810_sl10_pd152_pl9_sv10_bp13_ba590_bp52,165.21,15.13,48.3,186.39,174.75,234.94
20033_sd727_sl8_pd179_pl11_sv10_bp14_ba890_bp50,234.14,17.22,57.84,284.84,241.32,302.71
20034_sd759_sl7_pd229_pl8_sv7_bp13_ba690_bp62,177.76,14.48,51.53,209.43,173.34,157.31
20035_sd793_sl13_pd235_pl6_sv9_bp12_ba800_bp60,203.63,19.82,60.32,262.35,221.41,265.5
20036_sd718_sl5_pd161_pl8_sv6_bp11_ba660_bp66,160.58,13.35,46.45,184.06,137.79,157.45
20037_sd805_sl12_pd256_pl9_sv9_bp13_ba590_bp72,198.77,15.92,49.78,232.36,237.34,236.72
20038_sd703_sl9_pd285_pl9_sv8_bp11_ba540_bp57,129.55,13.41,36.01,154.63,129.63,154.64
20039_sd817_sl11_pd257_pl10_sv10_bp12_ba800_bp62,194.66,19.57,58.53,239.34,197.61,257.46
20040_sd738_sl12_pd163_pl7_sv8_bp12_ba540_bp74,176.76,14.43,39.96,198.98,218.96,193.97
20041_sd784_sl10_pd185_pl9_sv9_bp12_ba730_bp56,184.58,17.32,53.23,212.56,181.28,210.97
20042_sd961_sl10_pd196_pl14_sv8_bp12_ba580_bp58,145.27,14.66,49.71,211.07,149.52,218.38
20043_sd734_sl10_pd93_pl6_sv11_bp13_ba800_bp48,262.46,20.25,56.09,294.57,309.95,341.4
20044_sd710_sl11_pd202_pl9_sv10_bp12_ba600_bp74,149.92,14.77,45.19,171.89,152.06,204.42
20045_sd755_sl13_pd213_pl13_sv6_bp12_ba780_bp48,191.8,17.04,57.49,255.38,177.5,211.36
20046_sd829_sl9_pd201_pl12_sv8_bp12_ba680_bp63,174.84,18.07,62.45,312.56,186.89,281.62
20047_sd786_sl10_pd191_pl10_sv9_bp12_ba730_bp53,180.47,18.25,54.29,217.38,183.68,205.46
20048_sd637_sl11_pd109_pl6_sv9_bp11_ba490_bp61,133.65,13.39,35.65,156.98,156.46,164.72
