load_case,out_oopDisp_mm_n2,out_supReac_kN_n3,out_supReac_kN_n4,out_verDisp_mm_n5,out_oopDisp_mm_n5,out_endBend_kNm_n6
14001_sd797_sl13_pd218_pl12_sv11_bp11_ba690_bp62,164.8,17.16,57.45,238.44,205.24,272.79
14002_sd730_sl9_pd240_pl10_sv9_bp12_ba680_bp40,171.96,16.29,49.56,191.95,171.53,206.29
14003_sd636_sl10_pd163_pl12_sv6_bp13_ba730_bp58,202.25,15.32,51.23,235.42,219.73,189.78
14004_sd731_sl12_pd204_pl11_sv13_bp12_ba690_bp59,194.99,15.98,59.22,251.91,264.06,333.14
14005_sd601_sl10_pd243_pl10_sv6_bp13_ba660_bp48,160.49,13.5,44.83,195.29,161.58,148.01
14006_sd680_sl11_pd239_pl9_sv10_bp12_ba740_bp49,186.34,17.23,54.06,228.51,198.43,242.13
14007_sd697_sl11_pd185_pl11_sv10_bp13_ba440_bp47,118.09,13.89,35.0,149.3,125.89,196.92
14008_sd660_sl6_pd214_pl11_sv9_bp12_ba630_bp79,159.98,14.06,46.79,193.29,153.45,179.8
14009_sd809_sl12_pd181_pl12_sv6_bp13_ba460_bp56,114.7,12.33,32.25,144.09,116.74,121.57
14010_sd836_sl8_pd155_pl9_sv10_bp14_ba620_bp64,188.8,15.62,48.0,196.28,207.09,233.03
14011_sd706_sl6_pd208_pl6_sv10_bp12_ba590_bp50,211.31,16.05,50.93,227.04,253.44,267.41
14012_sd823_sl8_pd177_pl8_sv9_bp13_ba610_bp64,183.08,14.32,48.1,218.88,175.92,202.54
14013_sd755_sl11_pd159_pl12_sv8_bp11_ba870_bp44,208.4,17.12,61.13,274.06,211.32,245.6
14014_sd799_sl12_pd259_pl9_sv6_bp14_ba740_bp62,212.45,16.29,55.61,250.07,217.76,219.72
14015_sd771_sl10_pd201_pl8_sv6_bp12_ba680_bp67,163.29,14.18,49.02,195.37,151.73,154.15
14016_sd700_sl14_pd226_pl10_sv11_bp13_ba480_bp71,126.44,12.9,37.91,162.96,148.39,164.59
14017_sd835_sl10_pd245_pl10_sv7_bp12_ba730_bp58,186.83,18.07,61.78,303.48,176.45,275.91
14018_sd847_sl11_pd119_pl8_sv7_bp12_ba640_bp52,157.41,13.71,49.69,196.31,152.05,162.22
14019_sd668_sl6_pd278_pl7_sv5_bp12_ba580_bp43,142.27,13.1,42.52,168.54,140.61,132.78
14020_sd671_sl11_pd250_pl15_sv9_bp10_ba690_bp68,169.06,14.91,50.92,214.74,168.38,180.69
14021_sd673_sl15_pd164_pl11_sv9_bp14_ba770_bp58,187.28,15.74,53.81,250.7,189.36,232.72
14022_sd737_sl9_pd216_pl9_sv6_bp13_ba670_bp69,156.05,14.08,50.67,213.66,147.95,171.59
14023_sd666_sl10_pd100_pl9_sv5_bp11_ba730_bp73,206.16,15.01,52.72,241.07,223.91,171.56
14024_sd714_sl13_pd218_pl10_sv8_bp11_ba730_bp56,171.4,16.08,54.27,240.94,169.71,220.59
14025_sd819_sl8_pd250_pl5_sv6_bp10_ba550_bp54,134.78,13.48,42.35,168.09,132.91,148.46
14026_sd753_sl10_pd143_pl7_sv7_bp11_ba830_bp59,206.7,16.39,55.81,235.54,188.63,201.79
14027_sd689_sl8_pd137_pl10_sv11_bp9_ba680_bp59,184.07,16.97,54.4,221.86,210.51,244.41
14028_sd720_sl11_pd155_pl9_sv10_bp11_ba840_bp58,202.0,16.86,61.05,260.75,202.83,272.23
14029_sd744_sl9_pd183_pl13_sv8_bp10_ba590_bp61,144.4,15.18,53.78,244.95,155.41,224.09
14030_sd826_sl10_pd113_pl12_sv9_bp12_ba650_bp53,189.3,16.59,55.27,260.41,224.65,213.54
14031_sd656_sl10_pd195_pl9_sv7_bp12_ba890_bp68,208.56,18.12,61.89,308.8,187.53,273.2
14032_sd730_sl9_pd191_pl7_sv10_bp12_ba710_bp61,211.14,17.56,54.25,247.82,218.55,271.33
14033_sd700_sl9_pd190_pl10_sv8_bp14_ba590_bp53,157.53,13.28,44.15,174.32,165.73,199.68
14034_sd901_sl7_pd198_pl12_sv11_bp12_ba780_bp67,222.65,18.96,61.38,274.9,242.84,282.88
14035_sd775_sl10_pd260_pl10_sv11_bp12_ba800_bp58,197.71,17.03,59.97,281.2,205.66,267.38
14036_sd827_sl9_pd252_pl10_sv5_bp10_ba830_bp57,205.79,15.66,55.93,266.1,194.19,194.03
14037_sd846_sl7_pd168_pl12_sv8_bp13_ba660_bp57,252.17,16.8,52.84,271.02,320.01,304.13
14038_sd751_sl9_pd136_pl11_sv12_bp12_ba900_bp80,234.85,20.77,64.9,355.38,261.28,388.4
14039_sd802_sl10_pd224_pl9_sv10_bp12_ba1070_bp73,259.4,21.58,68.26,336.68,249.3,320.33
14040_sd840_sl9_pd171_pl10_sv6_bp13_ba710_bp59,186.56,14.71,52.43,218.07,182.79,188.97
14041_sd835_sl10_pd223_pl8_sv7_bp11_ba770_bp61,203.85,16.9,56.72,242.7,194.53,211.01
14042_sd581_sl9_pd147_pl12_sv8_bp12_ba630_bp51,158.09,15.32,54.53,262.63,156.54,238.8
14043_sd826_sl9_pd144_pl11_sv5_bp11_ba790_bp55,189.84,15.19,53.21,224.12,173.5,168.11
14044_sd711_sl8_pd177_pl12_sv8_bp14_ba880_bp66,258.94,18.78,59.69,311.42,288.97,258.53
14045_sd767_sl9_pd229_pl10_sv9_bp12_ba660_bp58,167.23,15.1,48.11,188.55,166.51,190.49
14046_sd804_sl12_pd158_pl8_sv5_bp13_ba820_bp58,194.5,15.78,57.4,263.28,188.97,214.15
14047_sd683_sl6_pd287_pl12_sv12_bp12_ba740_bp55,221.94,17.09,54.29,252.14,271.73,304.95
14048_sd686_sl9_pd254_pl8_sv8_bp12_ba750_bp61,185.59,15.15,49.88,215.83,171.95,192.48
14049_sd742_sl9_pd206_pl8_sv8_bp13_ba550_bp72,152.44,13.93,39.13,179.52,134.15,171.81
14050_sd663_sl11_pd189_pl11_sv9_bp13_ba710_bp42,164.14,15.87,55.99,249.1,166.17,225.11
14051_sd667_sl15_pd192_pl9_sv9_bp11_ba690_bp52,177.13,16.33,53.63,238.55,175.13,224.22
14052_sd831_sl10_pd145_pl11_sv8_bp11_ba620_bp53,166.11,19.52,61.71,339.92,164.8,310.27
14053_sd781_sl10_pd206_pl6_sv8_bp10_ba610_bp73,162.6,13.49,48.99,206.06,156.69,197.45
14054_sd702_sl12_pd314_pl8_sv9_bp10_ba650_bp37,167.47,14.44,49.33,205.62,185.0,181.12
14055_sd802_sl12_pd152_pl9_sv5_bp14_ba670_bp68,157.39,13.95,50.01,199.12,145.35,165.72
14056_sd684_sl12_pd145_pl12_sv7_bp11_ba830_bp61,215.41,16.02,56.31,266.2,213.66,218.15
14057_sd723_sl7_pd227_pl10_sv11_bp11_ba660_bp57,186.37,16.05,53.47,250.47,194.34,237.32
14058_sd750_sl9_pd244_pl11_sv8_bp12_ba550_bp54,147.09,15.24,49.21,223.71,156.81,201.0
14059_sd766_sl8_pd164_pl9_sv7_bp11_ba690_bp52,176.49,14.6,49.28,198.98,170.82,178.28
14060_sd724_sl10_pd183_pl8_sv4_bp11_ba760_bp57,181.17,14.69,52.31,231.91,165.34,160.76
14061_sd879_sl8_pd164_pl13_sv10_bp11_ba580_bp55,178.48,15.33,53.68,209.56,226.7,287.76
14062_sd768_sl10_pd207_pl10_sv11_bp12_ba720_bp65,195.87,15.63,55.67,226.15,184.53,259.46
14063_sd731_sl10_pd162_pl9_sv7_bp13_ba730_bp55,174.67,15.63,55.27,243.83,165.54,228.23
14064_sd646_sl13_pd197_pl11_sv9_bp13_ba700_bp69,178.26,16.45,56.27,267.76,164.84,225.44
14065_sd763_sl13_pd195_pl7_sv10_bp12_ba570_bp83,151.95,14.99,45.46,173.56,177.69,257.67
14066_sd716_sl9_pd210_pl11_sv10_bp13_ba820_bp54,206.41,16.13,58.61,270.57,217.69,274.76
14067_sd704_sl13_pd170_pl12_sv4_bp12_ba660_bp72,153.6,14.38,46.81,190.02,135.11,129.02
14068_sd809_sl10_pd143_pl9_sv11_bp12_ba820_bp69,207.9,17.43,59.03,262.73,222.16,323.66
14069_sd735_sl11_pd249_pl8_sv6_bp13_ba770_bp53,180.16,15.09,51.2,219.87,176.65,192.42
14070_sd768_sl11_pd231_pl11_sv7_bp13_ba700_bp60,171.5,15.15,55.59,230.22,183.94,192.45
14071_sd696_sl10_pd245_pl12_sv10_bp13_ba630_bp61,173.71,14.4,46.15,204.53,184.54,197.4
14072_sd790_sl9_pd252_pl13_sv7_bp12_ba600_bp67,147.86,13.7,42.99,176.01,143.66,137.9
14073_sd729_sl7_pd217_pl10_sv12_bp12_ba770_bp73,238.08,17.62,54.27,264.67,274.04,308.99
14074_sd697_sl12_pd198_pl10_sv6_bp12_ba610_bp82,153.56,13.08,45.48,184.78,145.35,148.52
14075_sd721_sl10_pd241_pl11_sv7_bp12_ba790_bp60,194.77,18.25,60.7,296.8,185.36,256.34
14076_sd697_sl8_pd113_pl14_sv6_bp12_ba730_bp56,188.31,15.76,54.33,260.87,190.96,225.54
14077_sd837_sl9_pd251_pl8_sv10_bp12_ba690_bp77,199.14,15.29,53.47,216.04,211.24,226.18
14078_sd699_sl8_pd286_pl7_sv6_bp14_ba960_bp75,219.69,17.01,58.95,266.42,194.83,216.93
14079_sd738_sl7_pd128_pl9_sv8_bp12_ba650_bp80,167.53,14.15,46.51,198.35,172.49,163.91
14080_sd682_sl7_pd152_pl9_sv6_bp14_ba750_bp66,181.5,14.84,51.67,232.51,154.68,176.59
14081_sd726_sl10_pd110_pl7_sv8_bp13_ba830_bp74,209.65,16.56,58.1,247.26,210.92,235.57
14082_sd782_sl10_pd158_pl5_sv7_bp12_ba660_bp57,164.33,16.27,53.56,220.69,173.67,184.8
14083_sd792_sl11_pd259_pl11_sv3_bp13_ba870_bp45,195.53,15.93,56.03,266.48,173.5,189.01
14084_sd787_sl10_pd249_pl12_sv8_bp14_ba750_bp62,186.07,19.19,62.21,318.2,192.55,266.4
14085_sd734_sl9_pd191_pl10_sv11_bp10_ba770_bp77,195.67,16.94,57.43,235.64,204.66,251.99
14086_sd793_sl13_pd230_pl9_sv7_bp12_ba760_bp71,187.89,15.67,53.39,222.26,173.02,177.12
14087_sd724_sl7_pd229_pl13_sv9_bp11_ba850_bp51,245.52,17.47,54.87,265.61,274.58,273.57
14088_sd844_sl6_pd231_pl10_sv10_bp12_ba760_bp51,225.06,18.89,56.67,251.8,232.54,284.54
14089_sd733_sl10_pd198_pl10_sv9_bp13_ba670_bp58,163.89,15.21,51.52,205.15,164.89,189.11
14090_sd849_sl14_pd142_pl10_sv8_bp12_ba660_bp64,164.82,16.12,51.51,227.11,180.67,188.43
14091_sd697_sl9_pd162_pl9_sv8_bp10_ba750_bp47,188.25,15.09,52.76,218.36,170.22,218.74
14092_sd864_sl10_pd177_pl6_sv10_bp13_ba630_bp75,197.23,17.38,47.29,216.44,216.14,224.19
14093_sd784_sl11_pd223_pl9_sv9_bp11_ba820_bp59,206.64,18.57,58.74,248.01,215.35,240.55
14094_sd861_sl12_pd219_pl10_sv8_bp12_ba890_bp55,220.53,22.65,71.91,398.24,222.33,359.53
14095_sd843_sl11_pd250_pl8_sv8_bp13_ba650_bp70,211.71,15.92,51.38,231.98,239.98,215.92
14096_sd657_sl10_pd219_pl12_sv8_bp11_ba650_bp57,153.34,14.3,50.93,218.43,144.56,188.95
14097_sd682_sl11_pd224_pl9_sv9_bp12_ba630_bp62,171.32,14.85,47.72,215.33,190.03,211.89
14098_sd677_sl6_pd121_pl11_sv9_bp13_ba740_bp57,189.05,17.34,58.6,308.01,195.93,282.14
14099_sd607_sl12_pd238_pl10_sv8_bp11_ba900_bp69,216.74,19.54,62.2,314.45,194.92,261.88
14100_sd756_sl8_pd162_pl10_sv5_bp11_ba710_bp69,163.9,14.36,50.88,210.41,154.05,156.3
14101_sd724_sl9_pd301_pl12_sv11_bp12_ba720_bp55,186.91,16.06,58.01,256.34,184.35,287.19
14102_sd720_sl14_pd280_pl12_sv9_bp11_ba810_bp58,193.44,17.1,58.4,257.74,195.8,227.4
14103_sd766_sl10_pd162_pl11_sv5_bp13_ba780_bp64,183.67,14.6,52.43,215.24,163.26,159.01
14104_sd799_sl13_pd224_pl10_sv7_bp12_ba550_bp64,142.15,13.92,39.85,172.71,139.46,154.67
14105_sd826_sl12_pd227_pl12_sv12_bp11_ba500_bp73,148.23,16.41,45.8,183.17,183.44,206.47
14106_sd746_sl11_pd207_pl9_sv10_bp13_ba720_bp52,185.49,16.13,55.92,240.58,192.67,273.93
14107_sd815_sl10_pd204_pl13_sv12_bp11_ba670_bp56,215.07,21.2,67.0,383.67,269.2,418.37
