load_case,out_oopDisp_mm_n2,out_supReac_kN_n3,out_supReac_kN_n4,out_verDisp_mm_n5,out_oopDisp_mm_n5,out_endBend_kNm_n6
43001_sd678_sl10_pd169_pl10_sv3_bp10_ba550_bp72,128.63,12.18,39.45,161.18,115.36,116.08
43002_sd734_sl9_pd247_pl8_sv5_bp12_ba530_bp58,130.95,12.77,39.65,163.25,128.83,118.48
43003_sd795_sl13_pd126_pl8_sv3_bp14_ba710_bp61,163.51,14.79,52.76,206.55,144.48,139.2
43004_sd815_sl10_pd195_pl11_sv4_bp12_ba680_bp71,155.47,13.67,49.08,201.3,134.82,156.93
43005_sd709_sl8_pd252_pl8_sv5_bp10_ba860_bp70,198.78,15.96,55.53,235.23,185.56,167.6
43006_sd730_sl9_pd178_pl9_sv6_bp14_ba640_bp54,156.11,13.17,44.05,180.63,149.54,132.37
43007_sd719_sl10_pd195_pl8_sv9_bp12_ba810_bp69,200.84,16.89,58.89,245.94,201.03,237.22
43008_sd818_sl12_pd223_pl13_sv7_bp11_ba760_bp56,191.88,16.01,54.38,246.65,192.02,186.75
43009_sd725_sl10_pd252_pl13_sv10_bp14_ba620_bp61,175.98,15.13,45.75,206.66,184.95,198.02
43010_sd758_sl10_pd157_pl8_sv11_bp11_ba820_bp42,233.01,19.54,60.97,290.43,264.2,348.52
43011_sd787_sl8_pd241_pl10_sv7_bp13_ba780_bp68,187.21,15.38,54.68,224.04,199.87,207.9
43012_sd927_sl11_pd234_pl7_sv8_bp10_ba840_bp65,231.3,17.87,59.63,281.04,250.38,284.51
43013_sd873_sl12_pd138_pl11_sv6_bp11_ba620_bp58,149.19,13.85,48.56,192.75,146.23,181.34
43014_sd616_sl9_pd264_pl9_sv9_bp13_ba630_bp64,158.28,14.66,48.49,192.03,159.64,175.8
43015_sd741_sl7_pd183_pl10_sv11_bp12_ba750_bp64,219.72,17.22,55.4,233.36,229.33,243.68
43016_sd711_sl13_pd279_pl10_sv10_bp14_ba530_bp67,144.95,14.62,43.87,186.06,159.23,223.48
43017_sd729_sl13_pd201_pl10_sv8_bp12_ba720_bp58,174.46,15.78,53.5,242.34,177.5,208.09
43018_sd731_sl10_pd186_pl9_sv8_bp14_ba800_bp41,197.68,16.01,60.83,248.27,186.9,239.12
43019_sd816_sl4_pd203_pl8_sv12_bp11_ba650_bp57,181.76,21.01,73.55,372.8,225.38,426.61
43020_sd842_sl9_pd239_pl9_sv9_bp12_ba650_bp55,169.86,15.22,50.01,193.16,173.66,227.63
43021_sd745_sl15_pd254_pl10_sv8_bp12_ba850_bp58,208.79,16.41,56.5,237.71,204.78,196.1
43022_sd643_sl10_pd218_pl11_sv9_bp13_ba700_bp60,190.24,15.47,49.34,226.05,202.96,208.66
43023_sd700_sl11_pd163_pl14_sv9_bp13_ba560_bp72,140.87,14.19,49.11,218.41,148.61,204.89
43024_sd797_sl11_pd106_pl9_sv6_bp10_ba740_bp57,188.84,14.8,51.59,212.34,173.37,185.15
43025_sd832_sl9_pd178_pl10_sv8_bp10_ba820_bp64,204.79,15.96,56.42,235.44,210.73,217.14
43026_sd724_sl9_pd274_pl12_sv6_bp13_ba590_bp68,165.7,14.44,43.23,199.7,169.2,164.03
43027_sd747_sl8_pd275_pl11_sv13_bp12_ba720_bp59,236.96,18.04,58.14,250.14,298.64,403.43
43028_sd686_sl9_pd192_pl10_sv7_bp12_ba790_bp37,192.88,16.01,57.12,251.12,180.61,231.9
43029_sd813_sl9_pd157_pl11_sv9_bp11_ba580_bp65,191.71,14.48,46.9,222.98,218.73,216.17
43030_sd795_sl10_pd204_pl9_sv9_bp12_ba890_bp71,216.46,17.62,62.04,249.64,207.07,253.03
43031_sd790_sl7_pd182_pl11_sv10_bp11_ba490_bp52,144.85,13.72,46.31,179.2,167.12,223.92
43032_sd879_sl9_pd161_pl8_sv10_bp10_ba770_bp51,232.07,19.11,57.78,260.49,252.97,300.8
43033_sd698_sl14_pd191_pl12_sv9_bp12_ba720_bp80,180.88,15.73,56.11,257.02,186.38,221.89
43034_sd710_sl8_pd168_pl8_sv7_bp13_ba430_bp70,106.2,12.29,32.83,148.43,114.48,124.27
43035_sd742_sl10_pd177_pl7_sv5_bp12_ba740_bp56,176.2,14.86,53.74,225.94,160.96,185.36
43036_sd705_sl7_pd191_pl9_sv10_bp14_ba710_bp53,196.77,16.71,54.41,226.4,223.64,232.37
43037_sd613_sl12_pd229_pl9_sv9_bp13_ba760_bp62,191.0,15.61,53.22,225.13,195.28,207.52
43038_sd811_sl10_pd230_pl15_sv6_bp12_ba570_bp58,141.69,13.62,43.83,181.83,130.29,157.72
43039_sd842_sl11_pd250_pl11_sv9_bp11_ba660_bp51,163.59,16.43,55.24,249.8,176.45,234.02
43040_sd754_sl10_pd221_pl13_sv12_bp10_ba900_bp59,226.63,19.1,65.23,322.02,243.38,316.46
43041_sd681_sl12_pd157_pl13_sv13_bp12_ba690_bp48,190.77,15.61,57.39,244.19,258.48,363.71
43042_sd748_sl13_pd198_pl7_sv6_bp11_ba770_bp65,190.19,15.0,53.04,212.13,179.53,169.28
43043_sd758_sl11_pd232_pl5_sv7_bp13_ba560_bp62,148.02,12.88,39.99,167.87,142.17,169.31
43044_sd821_sl11_pd200_pl11_sv9_bp12_ba690_bp57,168.8,17.02,55.28,247.72,182.04,229.23
43045_sd814_sl9_pd168_pl10_sv6_bp12_ba580_bp63,149.31,12.91,44.94,187.79,144.16,161.77
43046_sd828_sl9_pd221_pl11_sv6_bp12_ba400_bp65,118.75,11.31,32.72,147.87,131.35,139.81
43047_sd621_sl10_pd280_pl7_sv9_bp11_ba720_bp77,183.77,16.82,56.55,263.83,178.37,213.08
43048_sd710_sl10_pd266_pl10_sv9_bp12_ba710_bp51,172.76,15.53,54.81,246.36,163.86,220.75
43049_sd749_sl10_pd204_pl11_sv9_bp11_ba560_bp68,145.12,14.37,43.12,179.1,171.51,173.56
43050_sd742_sl11_pd246_pl9_sv4_bp11_ba590_bp68,143.0,13.07,45.8,189.46,132.04,145.45
43051_sd820_sl13_pd243_pl7_sv9_bp12_ba710_bp60,197.97,17.57,52.72,236.35,231.66,270.59
43052_sd705_sl13_pd192_pl10_sv6_bp13_ba710_bp61,180.52,14.49,52.58,237.0,175.86,192.96
43053_sd664_sl17_pd230_pl9_sv9_bp12_ba880_bp65,214.58,16.99,59.83,273.86,207.48,250.63
43054_sd678_sl12_pd176_pl8_sv8_bp11_ba850_bp58,230.97,17.86,58.44,302.05,258.0,239.68
43055_sd804_sl11_pd197_pl10_sv7_bp11_ba730_bp63,173.51,15.02,55.41,230.42,180.4,205.01
43056_sd718_sl10_pd284_pl12_sv9_bp12_ba740_bp74,184.39,16.7,58.05,248.14,171.08,206.32
43057_sd704_sl11_pd251_pl10_sv6_bp11_ba800_bp62,197.07,16.02,56.59,257.71,186.89,193.29
43058_sd694_sl11_pd220_pl6_sv10_bp11_ba780_bp54,214.26,17.52,56.56,247.58,218.95,243.61
43059_sd621_sl9_pd254_pl7_sv6_bp11_ba600_bp51,146.52,13.78,47.92,196.88,137.49,188.84
43060_sd723_sl14_pd152_pl7_sv9_bp14_ba710_bp60,217.35,17.45,55.14,241.58,245.59,276.73
43061_sd715_sl10_pd193_pl8_sv5_bp12_ba810_bp59,211.09,16.04,55.51,260.11,207.54,214.01
43062_sd731_sl9_pd152_pl11_sv8_bp12_ba710_bp67,187.83,16.73,57.04,271.81,181.18,231.99
43063_sd725_sl6_pd81_pl15_sv6_bp12_ba750_bp52,180.26,14.51,51.15,242.05,186.18,194.09
43064_sd580_sl9_pd251_pl5_sv10_bp13_ba540_bp52,157.14,13.16,36.98,181.21,160.55,154.03
43065_sd841_sl11_pd235_pl13_sv7_bp12_ba830_bp44,195.57,16.26,56.94,274.23,192.54,227.73
43066_sd763_sl9_pd86_pl13_sv5_bp14_ba620_bp69,167.7,13.11,40.41,190.81,175.45,136.44
43067_sd662_sl9_pd154_pl11_sv6_bp12_ba530_bp68,138.79,12.52,38.54,168.81,138.86,138.88
43068_sd669_sl9_pd241_pl10_sv9_bp12_ba750_bp64,183.25,16.59,55.42,216.92,178.48,223.04
43069_sd744_sl10_pd215_pl8_sv5_bp12_ba770_bp64,182.38,15.38,53.9,238.63,170.86,196.35
43070_sd754_sl12_pd186_pl11_sv6_bp13_ba700_bp60,194.14,14.8,51.61,241.32,217.64,187.58
43071_sd660_sl12_pd150_pl8_sv9_bp13_ba680_bp70,217.84,15.41,49.47,224.19,247.51,223.54
43072_sd634_sl10_pd205_pl10_sv7_bp11_ba890_bp33,214.77,16.42,56.98,261.12,199.42,230.21
43073_sd817_sl14_pd223_pl8_sv7_bp12_ba720_bp55,181.96,16.27,52.27,236.78,188.85,194.96
43074_sd706_sl14_pd71_pl10_sv3_bp11_ba700_bp55,162.87,14.02,49.67,203.41,146.09,155.02
43075_sd681_sl9_pd242_pl8_sv8_bp13_ba530_bp72,138.46,13.4,37.67,164.08,126.66,164.6
43076_sd790_sl13_pd253_pl8_sv6_bp12_ba700_bp64,164.85,14.5,53.5,216.95,151.95,192.62
43077_sd752_sl13_pd249_pl11_sv5_bp13_ba910_bp73,206.91,16.58,57.69,281.11,182.12,203.12
43078_sd792_sl6_pd200_pl11_sv7_bp13_ba580_bp67,146.89,12.81,41.09,168.66,133.24,147.11
43079_sd765_sl12_pd282_pl8_sv7_bp10_ba600_bp75,159.77,14.96,50.1,227.37,154.66,194.58
43080_sd691_sl7_pd153_pl12_sv9_bp11_ba720_bp60,204.97,14.87,49.5,208.59,212.03,211.29
43081_sd756_sl12_pd236_pl9_sv7_bp11_ba770_bp55,184.8,15.42,56.52,245.54,175.95,208.13
43082_sd724_sl7_pd246_pl13_sv6_bp13_ba850_bp50,198.84,15.41,54.07,242.23,176.51,183.73
43083_sd784_sl9_pd228_pl10_sv11_bp13_ba690_bp43,183.32,17.15,58.77,242.07,218.65,257.88
43084_sd633_sl9_pd256_pl11_sv7_bp12_ba590_bp63,140.25,13.05,42.0,176.81,130.29,135.85
43085_sd652_sl10_pd163_pl10_sv5_bp13_ba790_bp58,185.51,14.73,51.71,218.85,158.26,161.3
43086_sd752_sl6_pd273_pl6_sv9_bp12_ba740_bp78,197.91,16.67,57.27,223.27,202.06,201.78
43087_sd712_sl11_pd220_pl9_sv10_bp13_ba840_bp56,202.84,16.73,58.44,254.47,198.78,255.09
43088_sd751_sl8_pd126_pl12_sv8_bp11_ba550_bp82,156.01,14.11,43.85,191.42,191.79,179.57
43089_sd789_sl11_pd212_pl9_sv6_bp13_ba750_bp60,215.75,16.01,57.61,263.16,230.81,222.17
43090_sd787_sl8_pd248_pl11_sv8_bp12_ba640_bp58,227.56,16.1,51.19,256.95,275.28,229.61
43091_sd789_sl8_pd223_pl7_sv8_bp12_ba850_bp56,223.79,15.56,58.01,264.72,210.57,244.65
43092_sd791_sl12_pd242_pl14_sv8_bp10_ba660_bp55,175.54,15.83,49.48,230.92,177.19,169.39
43093_sd743_sl9_pd153_pl8_sv8_bp12_ba840_bp50,205.61,17.25,55.44,235.83,207.19,208.86
43094_sd751_sl6_pd250_pl11_sv8_bp11_ba800_bp45,219.16,16.17,55.01,278.44,240.22,246.79
43095_sd706_sl12_pd180_pl10_sv6_bp12_ba680_bp65,170.08,14.14,49.78,207.83,167.57,163.75
43096_sd832_sl8_pd212_pl11_sv6_bp11_ba800_bp68,191.94,15.9,56.09,252.79,174.13,206.54
43097_sd697_sl9_pd135_pl10_sv10_bp10_ba750_bp52,190.85,16.32,54.57,233.4,205.2,253.35
43098_sd725_sl13_pd265_pl13_sv8_bp12_ba770_bp69,191.35,15.36,53.28,226.05,194.6,175.2
43099_sd747_sl12_pd203_pl10_sv9_bp12_ba770_bp52,211.21,17.49,56.32,265.17,215.41,292.29
43100_sd721_sl7_pd254_pl8_sv11_bp11_ba730_bp67,283.77,20.4,55.39,292.92,358.64,313.54
43101_sd773_sl9_pd202_pl10_sv4_bp14_ba630_bp69,154.89,13.22,42.42,177.6,151.04,147.29
43102_sd629_sl8_pd209_pl5_sv8_bp12_ba600_bp56,152.2,15.45,49.59,200.98,146.62,164.99
43103_sd760_sl13_pd217_pl12_sv8_bp10_ba700_bp60,174.49,15.1,53.72,220.88,168.66,192.77
