load_case,out_oopDisp_mm_n2,out_supReac_kN_n3,out_supReac_kN_n4,out_verDisp_mm_n5,out_oopDisp_mm_n5,out_endBend_kNm_n6
09001_sd811_sl10_pd189_pl11_sv8_bp14_ba640_bp48,166.24,19.12,61.65,320.16,171.5,293.29
09002_sd721_sl7_pd181_pl12_sv7_bp11_ba740_bp50,180.28,14.55,53.31,223.46,171.84,170.76
09003_sd728_sl10_pd230_pl7_sv8_bp13_ba700_bp64,176.99,15.67,53.38,211.34,188.19,211.35
09004_sd820_sl11_pd228_pl9_sv10_bp13_ba790_bp47,201.06,16.37,61.63,242.5,199.27,275.63
09005_sd694_sl11_pd225_pl11_sv7_bp12_ba600_bp71,148.72,13.64,45.67,186.13,144.25,153.84
09006_sd819_sl12_pd184_pl13_sv7_bp11_ba720_bp61,174.61,15.27,54.9,234.86,165.52,202.28
09007_sd706_sl11_pd104_pl9_sv10_bp12_ba730_bp38,174.39,15.42,55.89,226.25,181.34,272.46
09008_sd636_sl10_pd214_pl11_sv4_bp11_ba490_bp67,115.32,11.85,35.76,149.18,102.72,119.88
09009_sd860_sl10_pd245_pl11_sv9_bp11_ba860_bp41,235.18,17.44,60.94,320.68,239.28,281.13
09010_sd788_sl8_pd216_pl10_sv8_bp12_ba610_bp48,188.58,14.61,50.71,242.94,207.39,213.27
09011_sd673_sl11_pd253_pl7_sv10_bp11_ba730_bp76,184.48,16.11,53.35,223.17,183.94,204.19
09012_sd705_sl9_pd170_pl10_sv7_bp11_ba620_bp55,152.29,13.58,45.38,174.68,143.44,168.46
09013_sd803_sl11_pd159_pl8_sv5_bp12_ba630_bp60,178.25,14.12,50.74,223.02,184.61,170.85
09014_sd638_sl11_pd160_pl8_sv11_bp12_ba740_bp82,181.08,16.6,54.63,235.94,188.54,277.48
09015_sd722_sl14_pd154_pl10_sv8_bp12_ba760_bp65,186.64,15.83,53.26,231.73,200.21,175.84
09016_sd720_sl12_pd159_pl10_sv7_bp10_ba730_bp40,178.31,13.98,49.17,215.14,178.23,160.55
09017_sd642_sl12_pd229_pl12_sv8_bp12_ba660_bp59,155.39,14.77,49.82,209.25,159.28,213.11
09018_sd725_sl8_pd279_pl9_sv7_bp12_ba710_bp71,185.67,15.38,51.37,225.31,173.19,177.34
09019_sd711_sl8_pd214_pl9_sv10_bp13_ba770_bp35,219.35,16.97,56.66,278.49,218.49,247.94
09020_sd810_sl12_pd148_pl12_sv7_bp12_ba750_bp71,183.2,15.94,55.8,220.77,186.73,172.73
09021_sd713_sl8_pd155_pl11_sv8_bp12_ba500_bp48,180.23,13.77,39.97,204.07,238.58,217.18
09022_sd657_sl10_pd165_pl9_sv8_bp13_ba940_bp45,222.97,17.28,58.46,290.07,224.03,233.6
