load_case,out_oopDisp_mm_n2,out_supReac_kN_n3,out_supReac_kN_n4,out_verDisp_mm_n5,out_oopDisp_mm_n5,out_endBend_kNm_n6
25001_sd645_sl11_pd153_pl11_sv9_bp12_ba810_bp53,191.48,18.05,61.45,285.95,195.74,275.34
25002_sd730_sl10_pd204_pl10_sv10_bp12_ba710_bp57,176.0,17.61,52.52,213.2,179.71,206.01
25003_sd805_sl10_pd241_pl7_sv7_bp14_ba820_bp57,204.5,16.65,58.21,255.56,211.26,193.17
25004_sd788_sl9_pd245_pl8_sv13_bp14_ba780_bp69,323.69,23.82,56.85,307.28,404.77,414.67
25005_sd678_sl11_pd296_pl9_sv8_bp10_ba780_bp71,193.86,16.04,55.99,239.49,194.42,203.19
25006_sd827_sl8_pd158_pl8_sv10_bp11_ba750_bp47,227.38,16.64,58.04,235.1,234.58,284.39
25007_sd602_sl8_pd209_pl11_sv7_bp9_ba520_bp48,128.74,11.67,35.63,145.63,128.73,133.98
25008_sd635_sl6_pd219_pl10_sv7_bp13_ba760_bp59,207.85,14.8,51.1,240.48,206.93,180.04
25009_sd782_sl6_pd262_pl9_sv9_bp12_ba830_bp63,228.9,21.05,63.95,303.77,225.72,294.79
25010_sd843_sl9_pd288_pl12_sv7_bp11_ba690_bp52,170.4,16.9,59.65,273.23,170.03,236.27
25011_sd843_sl10_pd179_pl9_sv5_bp12_ba760_bp86,220.5,15.81,56.47,276.05,239.61,242.64
25012_sd889_sl9_pd154_pl11_sv9_bp10_ba710_bp62,207.9,16.03,55.89,278.8,231.69,244.07
25013_sd773_sl11_pd218_pl7_sv7_bp14_ba790_bp68,201.35,15.77,59.52,251.5,210.11,208.01
25014_sd717_sl13_pd151_pl12_sv9_bp13_ba840_bp63,210.16,17.82,60.83,295.94,217.02,329.41
25015_sd702_sl10_pd164_pl7_sv5_bp12_ba600_bp65,151.27,14.18,47.9,206.73,145.58,162.23
25016_sd837_sl11_pd163_pl11_sv7_bp14_ba760_bp52,178.87,16.45,58.4,253.02,181.91,211.05
25017_sd998_sl14_pd213_pl8_sv8_bp13_ba730_bp60,229.67,17.72,58.54,275.24,256.99,281.33
25018_sd780_sl7_pd79_pl14_sv6_bp12_ba770_bp36,183.3,15.43,54.09,256.86,167.53,241.6
25019_sd762_sl8_pd118_pl9_sv4_bp14_ba790_bp45,180.93,15.01,52.68,232.3,164.16,174.61
25020_sd775_sl12_pd302_pl9_sv5_bp12_ba780_bp50,176.71,15.28,55.03,242.79,164.6,192.07
25021_sd798_sl13_pd209_pl13_sv10_bp12_ba550_bp71,152.97,14.62,47.9,196.36,156.64,234.0
25022_sd730_sl7_pd213_pl8_sv6_bp12_ba710_bp56,167.22,14.17,51.03,215.28,162.06,180.91
25023_sd736_sl9_pd174_pl12_sv10_bp11_ba490_bp66,134.04,12.71,39.12,163.41,171.93,192.74
25024_sd734_sl9_pd256_pl11_sv3_bp13_ba640_bp75,145.36,13.42,46.64,188.87,128.91,141.06
25025_sd732_sl8_pd242_pl9_sv5_bp12_ba600_bp64,145.1,13.33,42.62,173.62,134.61,141.63
25026_sd749_sl8_pd212_pl11_sv8_bp11_ba910_bp36,247.58,17.83,55.06,300.81,248.87,272.96
25027_sd775_sl12_pd210_pl10_sv6_bp12_ba820_bp67,190.88,15.38,55.31,237.39,174.2,179.02
25028_sd835_sl11_pd264_pl10_sv8_bp12_ba740_bp78,181.91,18.77,66.42,350.66,186.33,281.37
25029_sd760_sl9_pd156_pl9_sv7_bp13_ba550_bp42,130.27,12.67,39.48,173.09,136.13,164.54
25030_sd737_sl8_pd234_pl11_sv7_bp13_ba630_bp70,173.36,15.02,45.34,202.75,193.87,178.99
25031_sd898_sl12_pd171_pl12_sv11_bp13_ba610_bp76,174.81,16.94,56.4,219.39,184.38,231.58
25032_sd758_sl12_pd204_pl7_sv6_bp13_ba690_bp68,158.38,14.54,51.16,202.62,155.51,170.99
25033_sd759_sl10_pd260_pl8_sv8_bp12_ba740_bp80,195.31,15.4,54.24,211.79,184.97,200.68
25034_sd789_sl10_pd188_pl10_sv10_bp12_ba570_bp62,147.14,15.29,45.81,176.14,151.93,208.3
25035_sd762_sl12_pd177_pl8_sv7_bp13_ba590_bp64,150.49,14.71,51.0,225.87,149.01,186.72
25036_sd715_sl10_pd169_pl11_sv3_bp12_ba600_bp70,136.86,13.18,43.12,176.2,124.98,128.38
25037_sd743_sl13_pd166_pl12_sv8_bp11_ba600_bp52,151.08,14.27,48.91,211.84,150.62,168.3
25038_sd863_sl10_pd281_pl8_sv10_bp11_ba640_bp58,178.69,17.0,51.46,199.01,174.75,269.41
25039_sd700_sl7_pd143_pl15_sv9_bp12_ba730_bp60,231.21,16.8,51.78,252.72,272.98,253.61
25040_sd791_sl7_pd161_pl9_sv8_bp11_ba800_bp52,199.04,15.0,52.52,255.24,190.55,199.37
25041_sd785_sl9_pd173_pl10_sv12_bp12_ba620_bp39,184.62,16.66,57.21,241.07,220.3,346.39
25042_sd902_sl10_pd205_pl12_sv4_bp11_ba820_bp67,184.37,15.24,54.95,244.89,169.82,199.19
25043_sd718_sl8_pd105_pl7_sv8_bp12_ba870_bp71,205.96,16.31,55.04,234.0,191.19,191.01
25044_sd849_sl11_pd144_pl11_sv9_bp13_ba680_bp61,172.75,17.51,58.88,271.7,180.56,258.67
25045_sd637_sl11_pd210_pl11_sv8_bp12_ba600_bp56,149.85,16.93,58.94,293.69,144.97,263.95
25046_sd836_sl11_pd204_pl10_sv9_bp12_ba670_bp64,168.72,16.3,50.95,222.65,188.51,204.85
25047_sd637_sl10_pd151_pl8_sv8_bp12_ba720_bp59,185.73,15.38,50.4,215.81,203.26,197.13
25048_sd816_sl7_pd213_pl9_sv4_bp12_ba700_bp71,161.39,13.74,51.2,216.45,148.09,160.68
25049_sd870_sl8_pd240_pl12_sv9_bp14_ba700_bp63,208.97,15.88,53.17,240.14,243.86,270.58
25050_sd726_sl7_pd248_pl8_sv5_bp11_ba710_bp67,166.52,13.88,49.92,193.42,149.53,139.07
25051_sd713_sl7_pd186_pl11_sv8_bp12_ba780_bp57,238.97,17.04,54.69,280.79,285.1,264.12
25052_sd719_sl11_pd223_pl8_sv9_bp11_ba710_bp67,178.58,15.34,51.36,209.44,191.94,221.43
25053_sd738_sl11_pd181_pl10_sv8_bp12_ba630_bp58,156.85,16.19,56.06,264.44,149.4,224.2
25054_sd857_sl13_pd224_pl9_sv10_bp12_ba660_bp60,175.39,16.91,54.15,211.73,188.37,268.53
25055_sd769_sl9_pd185_pl8_sv8_bp11_ba680_bp57,171.35,15.6,47.04,182.42,172.5,179.27
25056_sd732_sl9_pd202_pl8_sv6_bp12_ba890_bp71,214.91,17.24,61.15,275.4,190.66,229.43
25057_sd743_sl7_pd123_pl6_sv5_bp12_ba720_bp73,168.43,13.82,51.51,211.19,152.8,162.42
25058_sd665_sl7_pd239_pl10_sv10_bp13_ba760_bp64,199.63,16.08,54.39,223.31,229.1,224.4
25059_sd720_sl12_pd250_pl13_sv10_bp12_ba760_bp58,186.76,16.06,55.97,243.89,193.21,239.16
25060_sd659_sl11_pd251_pl11_sv9_bp11_ba810_bp53,193.63,16.91,55.99,249.16,187.3,244.97
25061_sd737_sl13_pd228_pl10_sv11_bp10_ba780_bp64,186.41,18.93,62.9,266.65,218.32,333.16
25062_sd792_sl11_pd218_pl10_sv8_bp12_ba720_bp41,184.72,15.64,54.7,263.4,186.38,199.65
25063_sd805_sl8_pd182_pl7_sv6_bp13_ba770_bp62,181.9,15.56,54.49,245.06,166.77,198.7
25064_sd807_sl10_pd268_pl9_sv9_bp13_ba630_bp74,158.9,15.34,49.77,194.13,160.06,189.77
25065_sd847_sl10_pd208_pl11_sv10_bp13_ba620_bp66,156.76,15.99,48.99,199.07,162.52,211.41
25066_sd655_sl11_pd234_pl12_sv7_bp12_ba610_bp56,146.82,13.62,46.24,191.85,144.63,155.37
25067_sd831_sl14_pd282_pl9_sv7_bp12_ba770_bp55,189.0,16.37,54.53,240.9,186.85,189.46
25068_sd815_sl12_pd201_pl15_sv9_bp12_ba630_bp55,168.1,15.24,50.73,221.15,176.28,216.77
25069_sd823_sl10_pd243_pl8_sv9_bp12_ba760_bp55,186.2,15.53,57.82,233.37,190.66,240.53
25070_sd723_sl6_pd61_pl11_sv6_bp11_ba740_bp85,172.85,15.27,51.11,228.71,155.1,194.08
25071_sd647_sl15_pd215_pl10_sv6_bp10_ba850_bp51,204.01,16.16,55.11,249.04,191.69,186.62
25072_sd773_sl9_pd77_pl10_sv10_bp11_ba670_bp61,182.39,15.0,52.54,202.93,187.18,231.56
25073_sd805_sl9_pd272_pl11_sv9_bp13_ba570_bp57,163.16,14.88,46.11,184.26,162.43,205.9
25074_sd644_sl7_pd203_pl10_sv7_bp12_ba770_bp97,205.44,15.42,51.4,241.7,226.86,187.16
25075_sd702_sl11_pd183_pl11_sv9_bp11_ba560_bp54,141.67,14.53,46.3,206.46,144.63,191.45
25076_sd610_sl11_pd212_pl14_sv6_bp12_ba810_bp62,187.94,15.35,52.68,244.24,168.61,186.59
25077_sd752_sl8_pd190_pl13_sv7_bp12_ba740_bp75,175.9,15.13,51.83,224.43,157.1,173.95
25078_sd848_sl10_pd210_pl9_sv8_bp14_ba630_bp60,186.24,14.9,50.32,206.61,208.54,210.09
25079_sd666_sl14_pd249_pl9_sv6_bp12_ba710_bp66,178.23,16.28,56.83,254.87,174.09,239.65
25080_sd819_sl11_pd206_pl9_sv6_bp12_ba780_bp41,182.42,15.28,52.24,208.94,170.19,173.9
25081_sd840_sl12_pd204_pl8_sv7_bp12_ba750_bp41,185.05,15.56,55.48,245.32,178.97,202.43
25082_sd719_sl10_pd186_pl9_sv4_bp12_ba720_bp60,171.58,14.35,51.23,220.9,161.98,160.11
25083_sd593_sl9_pd190_pl8_sv4_bp13_ba780_bp52,182.1,14.47,51.32,211.42,158.91,139.21
25084_sd769_sl7_pd221_pl12_sv5_bp10_ba650_bp56,165.02,14.2,47.7,203.8,163.72,158.72
25085_sd808_sl11_pd224_pl9_sv8_bp13_ba780_bp52,212.14,16.78,56.36,254.07,244.79,224.36
25086_sd617_sl9_pd245_pl10_sv11_bp13_ba570_bp81,150.23,14.26,42.33,182.31,170.54,213.3
25087_sd682_sl12_pd177_pl13_sv6_bp11_ba800_bp34,190.84,16.43,52.61,234.83,182.3,194.48
25088_sd858_sl9_pd186_pl11_sv7_bp10_ba910_bp70,226.5,19.88,65.56,352.46,205.5,337.3
25089_sd735_sl9_pd195_pl9_sv9_bp12_ba550_bp64,143.47,14.23,43.8,162.91,144.55,166.63
25090_sd820_sl8_pd273_pl11_sv7_bp12_ba650_bp69,154.4,13.76,45.87,178.73,139.41,159.36
25091_sd684_sl6_pd170_pl6_sv4_bp12_ba670_bp69,155.07,13.67,47.95,197.17,144.04,141.94
25092_sd810_sl10_pd222_pl11_sv8_bp11_ba840_bp57,197.92,17.65,60.68,303.89,193.9,235.71
25093_sd801_sl13_pd174_pl8_sv9_bp12_ba620_bp64,197.4,16.18,53.09,259.2,228.01,231.46
25094_sd817_sl15_pd173_pl13_sv9_bp12_ba810_bp66,223.9,17.58,56.25,264.13,255.75,247.43
25095_sd850_sl10_pd174_pl12_sv6_bp11_ba860_bp35,214.5,16.81,60.29,276.07,218.14,246.59
25096_sd907_sl8_pd188_pl9_sv6_bp12_ba810_bp52,192.64,15.89,56.76,258.71,182.08,223.73
25097_sd631_sl11_pd218_pl11_sv12_bp13_ba690_bp58,173.06,15.75,55.93,243.65,179.94,237.4
25098_sd801_sl13_pd213_pl10_sv10_bp10_ba590_bp53,156.53,15.13,48.77,199.0,163.43,230.37
25099_sd841_sl10_pd188_pl13_sv7_bp11_ba770_bp56,181.55,15.63,54.52,238.72,169.09,220.07
25100_sd839_sl9_pd140_pl10_sv7_bp9_ba540_bp43,141.43,12.98,42.8,177.81,151.23,170.94
25101_sd735_sl10_pd296_pl10_sv13_bp11_ba800_bp63,219.48,17.28,62.17,268.16,277.91,473.79
25102_sd665_sl8_pd188_pl8_sv8_bp11_ba830_bp51,204.2,16.53,54.01,233.75,199.24,200.76
25103_sd693_sl11_pd187_pl8_sv9_bp13_ba710_bp41,185.11,15.66,53.85,227.79,200.48,234.44
25104_sd825_sl12_pd287_pl11_sv6_bp11_ba520_bp50,138.9,12.96,40.98,170.03,130.79,142.34
25105_sd820_sl8_pd162_pl9_sv8_bp12_ba650_bp48,176.92,14.21,44.71,209.92,176.77,214.59
25106_sd750_sl11_pd228_pl12_sv8_bp12_ba800_bp66,183.41,16.69,60.08,281.44,178.93,249.15
25107_sd801_sl10_pd105_pl11_sv9_bp11_ba580_bp47,193.15,15.92,51.49,241.53,221.22,180.58
25108_sd785_sl9_pd219_pl12_sv8_bp12_ba410_bp54,143.72,13.07,38.42,177.59,178.01,168.91
25109_sd882_sl12_pd241_pl8_sv8_bp10_ba560_bp60,207.02,15.61,52.57,246.15,242.68,221.33
25110_sd675_sl11_pd271_pl8_sv9_bp12_ba670_bp70,163.17,15.02,48.94,195.06,163.03,200.79
25111_sd707_sl6_pd142_pl10_sv7_bp11_ba720_bp58,209.59,14.52,49.77,239.85,214.67,200.28
25112_sd733_sl8_pd242_pl13_sv10_bp12_ba630_bp59,178.17,14.61,49.97,196.79,196.99,261.74
25113_sd803_sl13_pd223_pl7_sv6_bp12_ba550_bp50,137.74,13.04,40.2,175.6,128.34,159.01
25114_sd754_sl13_pd168_pl13_sv8_bp12_ba670_bp67,173.38,15.49,49.87,202.26,186.91,160.23
25115_sd739_sl9_pd159_pl11_sv7_bp11_ba840_bp62,206.72,17.92,59.41,279.59,191.43,248.48
25116_sd807_sl12_pd275_pl9_sv7_bp12_ba630_bp52,150.96,13.85,44.54,190.88,145.98,163.1
25117_sd818_sl7_pd280_pl11_sv11_bp12_ba620_bp53,163.19,17.35,55.48,249.78,187.14,239.78
25118_sd713_sl15_pd190_pl7_sv6_bp11_ba700_bp56,171.04,14.67,53.52,218.41,167.09,176.7
25119_sd707_sl10_pd171_pl6_sv8_bp13_ba680_bp58,171.66,13.99,52.02,223.5,173.68,206.71
25120_sd590_sl11_pd231_pl8_sv8_bp12_ba610_bp64,170.57,13.32,47.6,206.4,174.23,201.78
25121_sd775_sl11_pd169_pl13_sv5_bp11_ba720_bp60,169.8,14.87,51.22,221.52,155.54,169.3
25122_sd863_sl11_pd204_pl9_sv6_bp12_ba880_bp52,254.19,19.4,62.03,298.74,264.96,278.56
25123_sd689_sl13_pd236_pl9_sv7_bp12_ba640_bp51,159.41,14.03,47.13,211.48,162.08,160.54
25124_sd782_sl7_pd180_pl9_sv7_bp11_ba800_bp50,194.47,15.28,53.5,241.78,182.61,191.89
25125_sd598_sl10_pd192_pl13_sv7_bp12_ba620_bp53,147.61,13.41,45.38,193.48,152.52,146.84
25126_sd889_sl12_pd175_pl10_sv7_bp12_ba450_bp72,120.37,12.48,34.98,161.82,134.91,134.58
25127_sd742_sl14_pd181_pl8_sv9_bp13_ba810_bp67,257.1,18.11,61.9,291.55,278.98,320.17
25128_sd833_sl6_pd254_pl11_sv7_bp12_ba850_bp49,248.96,17.67,58.78,291.0,286.36,236.5
25129_sd747_sl8_pd191_pl9_sv9_bp12_ba760_bp57,186.61,16.4,54.42,231.08,197.46,198.07
25130_sd759_sl11_pd186_pl13_sv10_bp12_ba770_bp61,188.37,16.31,58.99,253.66,192.83,244.78
25131_sd768_sl9_pd221_pl8_sv5_bp10_ba840_bp48,202.91,15.7,56.3,250.9,183.21,210.75
25132_sd612_sl10_pd259_pl10_sv8_bp14_ba700_bp70,167.22,15.35,53.14,225.03,160.64,175.54
25133_sd610_sl11_pd215_pl13_sv10_bp11_ba720_bp40,172.95,15.15,52.1,226.45,177.99,210.53
25134_sd809_sl8_pd308_pl10_sv8_bp12_ba890_bp53,212.36,16.42,59.22,252.97,206.38,213.57
25135_sd761_sl11_pd214_pl10_sv6_bp12_ba530_bp72,137.66,13.24,43.86,184.13,133.85,165.28
25136_sd796_sl7_pd255_pl9_sv10_bp12_ba740_bp60,214.85,17.36,54.28,240.38,240.52,272.85
25137_sd780_sl9_pd131_pl10_sv9_bp11_ba450_bp66,121.27,12.35,35.71,132.65,137.71,161.5
25138_sd627_sl10_pd211_pl10_sv8_bp11_ba570_bp49,144.42,15.65,53.44,255.24,146.61,235.29
25139_sd751_sl10_pd266_pl10_sv6_bp13_ba810_bp50,186.33,15.08,56.08,225.44,177.57,166.64
25140_sd736_sl10_pd154_pl9_sv8_bp12_ba630_bp59,161.83,14.61,42.76,186.83,165.81,194.53
25141_sd651_sl8_pd210_pl11_sv6_bp13_ba610_bp54,144.91,12.82,42.16,176.48,132.32,136.36
25142_sd661_sl11_pd216_pl13_sv11_bp11_ba740_bp62,178.44,16.69,55.41,240.32,182.43,218.43
25143_sd803_sl10_pd206_pl9_sv7_bp11_ba660_bp62,160.62,14.12,50.42,200.57,153.58,193.81
25144_sd694_sl10_pd212_pl12_sv9_bp13_ba550_bp57,146.7,14.82,49.27,228.4,153.53,211.46
25145_sd811_sl9_pd217_pl11_sv12_bp13_ba690_bp55,189.22,18.74,58.95,275.75,250.12,389.27
25146_sd644_sl13_pd157_pl8_sv6_bp14_ba740_bp60,173.22,15.36,54.73,241.33,171.94,185.36
25147_sd768_sl8_pd199_pl8_sv8_bp11_ba730_bp60,188.48,16.24,51.15,215.24,194.45,193.66
25148_sd720_sl8_pd238_pl6_sv6_bp13_ba770_bp37,182.53,14.79,52.28,218.96,181.75,176.75
25149_sd781_sl9_pd209_pl11_sv10_bp12_ba520_bp67,149.24,14.25,40.78,157.59,153.21,232.01
25150_sd790_sl9_pd232_pl10_sv10_bp12_ba750_bp32,198.72,15.71,60.09,226.17,202.23,266.17
25151_sd686_sl9_pd202_pl5_sv3_bp12_ba690_bp64,157.94,14.42,48.3,185.88,140.22,146.44
25152_sd733_sl13_pd210_pl12_sv13_bp14_ba650_bp58,197.13,17.24,64.69,310.04,272.19,324.94
25153_sd795_sl9_pd255_pl11_sv8_bp13_ba770_bp66,218.02,17.75,58.98,277.33,244.84,217.81
25154_sd703_sl9_pd169_pl11_sv6_bp13_ba670_bp67,188.92,14.53,48.02,215.11,204.02,183.51
25155_sd676_sl8_pd197_pl8_sv8_bp14_ba860_bp49,214.58,16.32,57.3,281.37,210.42,229.68
25156_sd688_sl10_pd248_pl10_sv9_bp12_ba710_bp60,163.91,15.84,54.02,218.56,166.86,204.31
25157_sd714_sl11_pd180_pl7_sv9_bp11_ba640_bp52,161.86,14.53,45.92,196.72,173.84,219.91
25158_sd790_sl12_pd169_pl12_sv8_bp13_ba630_bp63,162.69,16.3,57.49,256.92,168.09,256.87
25159_sd799_sl11_pd200_pl11_sv7_bp12_ba850_bp64,200.72,16.26,59.53,265.76,195.53,211.62
25160_sd752_sl11_pd259_pl8_sv4_bp11_ba890_bp58,201.34,16.1,57.54,248.38,176.54,162.8
25161_sd717_sl10_pd158_pl10_sv9_bp11_ba810_bp60,185.56,17.14,56.29,240.84,197.4,232.89
25162_sd648_sl9_pd140_pl9_sv11_bp12_ba1040_bp47,279.41,20.75,62.79,339.44,294.64,409.76
25163_sd717_sl13_pd207_pl11_sv8_bp13_ba450_bp62,116.05,13.11,33.04,141.52,128.44,118.45
25164_sd801_sl16_pd282_pl12_sv6_bp11_ba820_bp58,191.34,16.77,57.06,235.99,183.7,192.57
25165_sd680_sl9_pd146_pl9_sv8_bp13_ba590_bp57,149.5,13.96,42.88,175.08,153.67,212.99
25166_sd798_sl11_pd164_pl9_sv6_bp13_ba710_bp66,168.76,14.27,50.09,216.34,162.1,171.52
25167_sd810_sl6_pd208_pl13_sv7_bp11_ba760_bp60,210.37,16.17,53.66,242.79,215.68,214.01
25168_sd797_sl10_pd120_pl8_sv8_bp12_ba410_bp76,115.17,13.45,34.6,148.17,120.06,148.63
25169_sd643_sl10_pd311_pl11_sv10_bp12_ba720_bp62,173.93,16.22,49.85,210.67,181.31,186.03
25170_sd781_sl9_pd146_pl12_sv3_bp12_ba710_bp59,161.75,14.66,49.44,204.63,148.16,134.11
25171_sd889_sl9_pd161_pl8_sv10_bp11_ba450_bp62,157.49,13.98,41.61,167.91,178.65,256.55
25172_sd788_sl11_pd156_pl8_sv9_bp14_ba740_bp52,182.31,17.1,59.42,249.05,204.28,241.54
25173_sd750_sl11_pd265_pl11_sv10_bp13_ba690_bp49,186.64,16.19,53.62,231.27,184.19,227.57
25174_sd640_sl10_pd218_pl10_sv8_bp12_ba660_bp72,161.66,15.56,55.33,265.43,155.45,213.3
25175_sd748_sl10_pd172_pl12_sv8_bp12_ba820_bp67,204.04,20.18,66.53,369.49,201.76,342.86
25176_sd541_sl10_pd188_pl8_sv10_bp12_ba790_bp52,185.15,15.27,54.74,234.21,187.1,217.95
25177_sd879_sl9_pd192_pl11_sv7_bp12_ba680_bp50,165.59,15.01,49.35,206.17,161.47,172.3
25178_sd700_sl10_pd255_pl11_sv8_bp10_ba640_bp63,154.29,16.39,57.21,276.78,153.25,240.36
25179_sd874_sl10_pd192_pl11_sv7_bp11_ba630_bp67,150.6,15.1,52.53,234.81,151.17,215.43
25180_sd739_sl10_pd143_pl8_sv8_bp12_ba720_bp61,175.86,15.48,52.38,207.95,176.11,205.49
25181_sd721_sl12_pd195_pl8_sv9_bp14_ba660_bp38,238.38,16.79,51.46,260.53,288.4,243.51
25182_sd737_sl11_pd123_pl11_sv9_bp11_ba740_bp67,178.37,17.33,61.0,299.21,169.68,248.49
25183_sd749_sl12_pd204_pl8_sv13_bp12_ba870_bp56,218.56,20.08,66.33,298.68,257.69,424.71
25184_sd608_sl7_pd182_pl13_sv10_bp12_ba650_bp66,192.3,14.46,50.59,201.41,209.93,256.45
25185_sd600_sl9_pd174_pl12_sv6_bp11_ba810_bp64,192.78,14.38,52.89,237.24,177.55,183.07
25186_sd847_sl7_pd138_pl9_sv10_bp11_ba610_bp64,215.03,16.37,46.78,215.58,228.22,248.61
25187_sd818_sl10_pd172_pl12_sv9_bp11_ba730_bp57,191.82,17.68,60.13,278.68,185.39,235.63
25188_sd767_sl13_pd167_pl12_sv9_bp13_ba680_bp34,180.65,16.02,58.52,267.94,207.2,272.86
25189_sd719_sl10_pd261_pl6_sv13_bp11_ba760_bp58,398.25,21.1,64.37,394.03,560.19,560.27
25190_sd690_sl10_pd284_pl8_sv5_bp12_ba820_bp61,194.92,15.45,54.72,225.5,174.89,166.79
25191_sd761_sl7_pd238_pl12_sv9_bp12_ba790_bp68,218.9,17.08,55.82,248.94,245.84,240.95
25192_sd738_sl10_pd169_pl12_sv9_bp12_ba640_bp66,170.18,15.38,51.2,232.48,189.02,201.19
25193_sd709_sl8_pd96_pl13_sv8_bp12_ba610_bp51,154.2,15.63,53.74,262.35,164.08,234.16
25194_sd750_sl9_pd119_pl11_sv10_bp13_ba700_bp57,197.96,15.99,52.92,218.97,184.08,291.65
25195_sd621_sl9_pd271_pl11_sv12_bp12_ba520_bp60,151.88,15.97,48.66,225.27,187.44,269.05
25196_sd798_sl9_pd192_pl11_sv8_bp12_ba570_bp77,153.5,15.01,49.77,215.28,174.12,186.08
25197_sd775_sl10_pd176_pl9_sv11_bp13_ba830_bp69,211.01,16.44,60.5,240.57,215.12,282.41
25198_sd733_sl11_pd195_pl12_sv6_bp13_ba590_bp43,144.25,13.24,44.35,176.18,131.47,158.99
25199_sd825_sl10_pd240_pl9_sv11_bp13_ba600_bp62,151.49,14.18,50.33,202.43,168.56,254.37
25200_sd733_sl11_pd263_pl11_sv7_bp13_ba820_bp49,197.89,16.31,60.1,266.29,194.13,246.25
25201_sd948_sl9_pd92_pl10_sv12_bp10_ba590_bp60,212.58,17.85,56.8,270.47,301.8,482.38
25202_sd703_sl13_pd213_pl12_sv7_bp12_ba670_bp74,168.7,14.33,49.04,206.77,161.84,174.51
25203_sd671_sl8_pd218_pl5_sv11_bp12_ba760_bp72,270.91,20.89,60.96,320.98,353.64,224.05
