load_case,out_oopDisp_mm_n2,out_supReac_kN_n3,out_supReac_kN_n4,out_verDisp_mm_n5,out_oopDisp_mm_n5,out_endBend_kNm_n6
10001_sd716_sl9_pd230_pl11_sv4_bp11_ba540_bp53,126.98,12.49,40.23,167.75,114.69,133.1
10002_sd737_sl6_pd149_pl12_sv6_bp13_ba800_bp63,184.35,14.38,52.53,216.62,172.56,179.05
10003_sd761_sl10_pd225_pl11_sv10_bp11_ba670_bp63,164.38,16.46,50.24,204.01,170.24,203.77
10004_sd696_sl9_pd194_pl10_sv8_bp11_ba860_bp46,226.56,15.9,55.62,284.95,216.44,242.3
10005_sd762_sl7_pd144_pl9_sv10_bp12_ba610_bp61,189.22,17.44,47.08,222.6,220.59,239.71
10006_sd689_sl9_pd196_pl8_sv8_bp12_ba650_bp66,162.38,14.67,46.22,184.87,161.2,168.16
10007_sd686_sl10_pd278_pl10_sv7_bp12_ba730_bp53,181.09,17.21,59.35,288.6,169.01,255.37
10008_sd765_sl8_pd255_pl10_sv10_bp13_ba560_bp73,150.26,13.82,46.51,188.41,156.34,212.56
10009_sd795_sl10_pd194_pl12_sv9_bp12_ba650_bp38,180.52,15.14,49.15,227.58,194.71,232.0
10010_sd739_sl8_pd271_pl7_sv7_bp12_ba880_bp69,206.51,16.11,56.4,241.18,182.45,182.79
10011_sd668_sl8_pd242_pl9_sv5_bp12_ba580_bp64,136.86,12.75,42.39,173.53,137.53,130.79
10012_sd707_sl10_pd242_pl12_sv9_bp11_ba590_bp52,162.8,14.88,49.31,207.64,168.48,177.97
10013_sd780_sl7_pd171_pl8_sv6_bp12_ba760_bp72,182.89,14.6,51.89,227.78,171.62,188.01
10014_sd811_sl13_pd233_pl11_sv9_bp12_ba820_bp47,196.72,18.91,65.57,333.28,198.5,283.19
10015_sd764_sl11_pd171_pl4_sv7_bp11_ba540_bp67,150.3,15.3,50.01,217.38,151.52,223.09
10016_sd675_sl12_pd216_pl9_sv5_bp14_ba810_bp69,187.78,15.33,54.0,230.02,171.16,153.06
10017_sd737_sl12_pd205_pl11_sv7_bp10_ba720_bp63,181.13,15.35,51.17,232.47,197.06,170.62
10018_sd790_sl11_pd131_pl11_sv9_bp12_ba510_bp64,135.25,15.45,46.94,222.56,146.43,190.18
10019_sd782_sl12_pd195_pl7_sv11_bp11_ba700_bp58,177.17,18.78,58.02,234.62,199.54,256.8
10020_sd756_sl9_pd185_pl11_sv3_bp11_ba820_bp64,183.52,15.12,53.05,239.07,159.14,164.71
10021_sd910_sl7_pd135_pl10_sv7_bp13_ba710_bp77,215.05,16.47,50.58,236.51,236.92,223.51
10022_sd704_sl9_pd275_pl10_sv9_bp12_ba770_bp48,186.5,16.74,57.34,225.3,187.05,251.52
10023_sd741_sl8_pd219_pl11_sv8_bp12_ba640_bp83,201.49,15.51,48.5,232.56,257.54,230.14
10024_sd777_sl8_pd192_pl6_sv10_bp13_ba610_bp54,195.52,16.12,47.59,219.08,219.91,243.21
10025_sd738_sl9_pd186_pl13_sv12_bp12_ba630_bp58,178.18,16.74,55.71,269.69,185.31,303.44
10026_sd841_sl16_pd175_pl9_sv9_bp12_ba730_bp54,181.0,16.78,58.15,260.78,196.71,269.32
10027_sd694_sl8_pd305_pl13_sv9_bp13_ba610_bp71,213.76,16.01,44.36,223.8,261.68,207.74
10028_sd719_sl8_pd241_pl10_sv7_bp14_ba620_bp47,153.31,14.69,48.2,212.2,147.56,175.01
10029_sd889_sl10_pd152_pl8_sv11_bp12_ba800_bp68,223.97,18.7,63.2,274.23,227.07,304.39
10030_sd835_sl8_pd197_pl7_sv9_bp11_ba680_bp43,191.08,15.74,48.95,201.69,208.1,213.62
10031_sd741_sl9_pd194_pl11_sv7_bp10_ba820_bp63,191.09,15.6,56.71,256.48,175.77,195.97
10032_sd712_sl9_pd207_pl14_sv9_bp13_ba600_bp55,163.86,16.12,54.39,263.04,175.44,212.89
10033_sd806_sl12_pd245_pl10_sv7_bp13_ba660_bp52,162.78,15.19,54.18,224.22,181.82,184.8
10034_sd794_sl8_pd212_pl11_sv5_bp12_ba770_bp76,188.97,14.81,52.53,225.04,184.64,162.94
10035_sd692_sl7_pd269_pl12_sv8_bp12_ba530_bp40,166.3,13.16,41.16,185.02,189.0,214.2
10036_sd720_sl10_pd121_pl10_sv8_bp12_ba620_bp48,156.4,15.89,56.36,260.16,144.63,227.69
10037_sd801_sl8_pd163_pl8_sv9_bp12_ba610_bp49,186.46,14.99,48.17,209.88,194.46,252.54
10038_sd611_sl13_pd294_pl8_sv8_bp12_ba790_bp75,202.82,16.82,57.82,277.78,204.28,246.83
10039_sd711_sl10_pd167_pl11_sv7_bp12_ba590_bp64,144.97,13.74,42.93,183.07,141.97,152.14
10040_sd680_sl13_pd203_pl12_sv6_bp14_ba670_bp49,164.53,14.33,49.77,206.13,153.81,171.25
10041_sd814_sl11_pd179_pl10_sv9_bp12_ba730_bp60,171.42,16.88,55.9,229.98,190.43,188.94
10042_sd709_sl10_pd232_pl13_sv8_bp13_ba750_bp60,180.38,16.23,55.99,269.25,173.0,251.9
10043_sd690_sl10_pd267_pl10_sv6_bp12_ba810_bp79,224.95,15.75,56.39,265.47,230.48,244.76
10044_sd807_sl8_pd170_pl11_sv9_bp13_ba730_bp71,201.17,15.6,54.93,219.0,220.12,261.72
10045_sd759_sl11_pd192_pl15_sv8_bp11_ba640_bp78,158.65,14.84,47.02,191.41,149.84,169.14
10046_sd633_sl9_pd159_pl10_sv7_bp12_ba800_bp51,189.14,15.28,52.76,232.11,171.0,197.05
10047_sd794_sl8_pd244_pl8_sv10_bp13_ba680_bp59,198.39,16.03,51.31,209.34,209.33,213.18
10048_sd726_sl11_pd111_pl13_sv7_bp12_ba590_bp68,143.64,13.74,43.4,185.66,147.25,160.54
10049_sd784_sl11_pd209_pl9_sv6_bp12_ba890_bp74,235.52,17.18,61.07,282.99,234.25,248.0
10050_sd785_sl9_pd174_pl5_sv10_bp14_ba650_bp44,203.82,16.64,47.32,239.83,226.87,242.8
10051_sd806_sl12_pd123_pl9_sv4_bp12_ba700_bp34,179.84,14.53,52.48,219.78,185.72,177.35
10052_sd806_sl11_pd147_pl9_sv7_bp13_ba720_bp57,168.23,15.32,55.19,229.32,173.18,212.54
10053_sd823_sl7_pd186_pl12_sv5_bp13_ba760_bp49,189.46,15.08,52.31,229.3,183.18,170.21
10054_sd727_sl11_pd131_pl12_sv7_bp13_ba600_bp67,150.54,13.99,44.79,191.1,152.82,146.01
10055_sd835_sl9_pd268_pl8_sv5_bp12_ba650_bp79,158.51,14.25,50.48,210.86,152.63,177.47
10056_sd789_sl12_pd235_pl13_sv8_bp11_ba630_bp58,154.66,14.29,51.81,210.34,139.06,194.56
10057_sd643_sl7_pd195_pl14_sv10_bp11_ba740_bp77,192.11,15.66,53.07,218.61,186.17,257.82
10058_sd691_sl14_pd203_pl10_sv7_bp13_ba660_bp53,163.88,14.32,49.2,205.65,174.92,163.98
10059_sd679_sl12_pd183_pl9_sv6_bp10_ba680_bp71,190.31,15.4,53.5,241.94,196.93,193.56
10060_sd650_sl9_pd242_pl7_sv4_bp13_ba660_bp56,155.22,13.58,46.69,185.52,140.53,147.33
