load_case,out_oopDisp_mm_n2,out_supReac_kN_n3,out_supReac_kN_n4,out_verDisp_mm_n5,out_oopDisp_mm_n5,out_endBend_kNm_n6
18001_sd792_sl9_pd190_pl11_sv5_bp12_ba790_bp57,184.85,14.56,52.75,228.35,174.78,190.6
18002_sd834_sl12_pd179_pl13_sv7_bp13_ba680_bp62,201.45,17.57,55.72,260.9,234.86,210.05
18003_sd703_sl13_pd188_pl11_sv9_bp12_ba700_bp46,178.32,18.57,60.53,311.82,185.9,264.11
18004_sd746_sl9_pd87_pl8_sv9_bp12_ba560_bp56,157.53,13.99,40.48,162.44,155.05,175.54
18005_sd742_sl9_pd223_pl11_sv8_bp13_ba480_bp58,140.49,14.15,38.0,178.57,165.11,149.9
18006_sd824_sl8_pd159_pl4_sv8_bp11_ba790_bp57,194.13,17.23,61.16,273.24,183.19,237.93
18007_sd826_sl10_pd231_pl10_sv7_bp13_ba570_bp60,142.72,13.44,42.04,165.65,138.88,147.05
18008_sd741_sl8_pd202_pl10_sv9_bp10_ba710_bp74,180.29,15.45,53.14,198.02,182.65,196.23
18009_sd661_sl10_pd229_pl10_sv9_bp13_ba770_bp64,178.43,15.43,56.82,227.54,170.74,220.09
18010_sd810_sl12_pd155_pl9_sv9_bp13_ba850_bp41,237.9,18.98,59.36,260.85,248.28,284.64
18011_sd675_sl9_pd222_pl8_sv7_bp11_ba560_bp36,134.49,12.69,43.88,179.8,140.9,167.72
18012_sd795_sl9_pd236_pl12_sv11_bp13_ba780_bp66,194.04,18.82,64.02,320.32,201.1,334.56
18013_sd736_sl8_pd296_pl10_sv8_bp12_ba490_bp66,128.36,12.17,33.95,144.97,132.06,135.9
18014_sd811_sl12_pd152_pl10_sv7_bp12_ba630_bp64,180.87,16.3,54.02,242.29,195.08,203.73
18015_sd908_sl14_pd194_pl9_sv5_bp13_ba640_bp52,162.3,14.84,48.16,196.08,156.1,149.89
18016_sd714_sl10_pd136_pl12_sv10_bp13_ba500_bp44,152.16,13.96,40.23,194.72,187.02,192.18
18017_sd834_sl8_pd266_pl11_sv11_bp11_ba690_bp63,187.98,19.14,58.68,284.8,211.75,300.96
18018_sd765_sl10_pd211_pl8_sv5_bp12_ba630_bp55,145.74,13.47,48.85,199.65,137.14,159.34
18019_sd680_sl12_pd316_pl6_sv7_bp12_ba610_bp60,163.23,13.72,44.48,179.21,157.99,144.21
18020_sd669_sl11_pd176_pl6_sv6_bp13_ba600_bp66,146.77,14.01,50.55,226.54,138.72,188.78
18021_sd885_sl11_pd229_pl6_sv7_bp12_ba590_bp52,193.12,15.64,53.41,239.57,240.26,225.85
18022_sd965_sl10_pd206_pl8_sv9_bp12_ba810_bp74,204.97,19.01,63.03,240.78,201.02,266.01
18023_sd769_sl9_pd221_pl6_sv6_bp12_ba590_bp71,146.18,13.51,45.68,189.88,135.01,169.95
18024_sd759_sl9_pd195_pl7_sv10_bp13_ba670_bp57,209.01,16.65,49.08,217.61,230.51,248.85
