load_case,out_oopDisp_mm_n2,out_supReac_kN_n3,out_supReac_kN_n4,out_verDisp_mm_n5,out_oopDisp_mm_n5,out_endBend_kNm_n6
16001_sd763_sl11_pd287_pl7_sv7_bp12_ba650_bp71,206.51,15.78,51.57,238.19,227.51,207.84
16002_sd726_sl10_pd212_pl6_sv10_bp12_ba630_bp70,181.21,16.43,50.21,218.94,197.93,222.06
16003_sd798_sl10_pd237_pl9_sv7_bp11_ba620_bp71,145.32,13.51,42.03,178.77,144.65,153.93
16004_sd694_sl7_pd185_pl6_sv7_bp11_ba710_bp68,171.63,15.63,52.64,244.53,164.47,192.16
16005_sd926_sl10_pd202_pl9_sv6_bp12_ba730_bp54,177.98,15.85,55.47,232.24,167.51,189.08
16006_sd685_sl11_pd176_pl9_sv10_bp12_ba680_bp55,185.75,15.27,55.66,224.46,181.94,241.46
16007_sd693_sl11_pd159_pl8_sv9_bp12_ba750_bp58,188.33,16.73,54.37,224.46,194.36,232.32
16008_sd674_sl11_pd123_pl7_sv6_bp12_ba580_bp38,146.77,12.95,44.09,184.98,147.66,147.05
16009_sd784_sl12_pd132_pl13_sv7_bp12_ba820_bp60,229.31,18.12,57.44,288.62,258.01,219.35
16010_sd783_sl6_pd262_pl9_sv9_bp13_ba820_bp66,210.45,20.44,62.5,288.09,230.07,260.4
16011_sd720_sl12_pd209_pl8_sv8_bp11_ba610_bp75,170.94,14.01,48.98,207.61,193.41,177.94
16012_sd890_sl8_pd276_pl7_sv9_bp13_ba660_bp68,193.91,16.9,51.0,214.6,200.31,238.48
16013_sd798_sl8_pd116_pl10_sv11_bp12_ba630_bp57,195.17,16.84,53.73,246.4,218.02,227.77
16014_sd644_sl9_pd229_pl10_sv7_bp12_ba600_bp67,142.73,12.74,42.22,174.04,131.66,149.16
16015_sd597_sl5_pd146_pl8_sv7_bp13_ba710_bp70,175.71,13.4,48.93,211.3,165.51,151.9
16016_sd812_sl9_pd197_pl9_sv6_bp10_ba740_bp67,172.94,14.72,52.93,234.13,162.54,201.08
16017_sd759_sl9_pd126_pl8_sv9_bp13_ba860_bp37,223.81,17.36,59.21,276.02,232.17,293.62
16018_sd729_sl11_pd218_pl10_sv10_bp11_ba780_bp65,184.13,17.33,56.31,233.02,190.84,214.07
16019_sd756_sl12_pd116_pl8_sv4_bp11_ba740_bp42,200.08,15.57,53.66,257.46,206.35,194.45
16020_sd814_sl8_pd159_pl11_sv7_bp11_ba780_bp58,205.22,17.17,55.43,252.85,194.02,206.79
16021_sd753_sl10_pd192_pl10_sv9_bp10_ba710_bp57,169.74,16.04,53.34,224.16,160.44,203.84
16022_sd757_sl11_pd213_pl9_sv8_bp11_ba720_bp65,198.43,16.07,54.95,254.09,225.67,214.3
16023_sd668_sl6_pd133_pl5_sv11_bp12_ba640_bp69,199.48,18.81,66.94,318.31,185.36,380.98
16024_sd963_sl7_pd217_pl9_sv5_bp11_ba820_bp68,191.03,15.47,56.99,254.36,177.55,216.95
16025_sd763_sl12_pd163_pl12_sv12_bp12_ba710_bp62,185.26,18.85,55.99,236.25,207.68,252.91
16026_sd726_sl9_pd264_pl6_sv7_bp11_ba830_bp69,195.03,16.01,57.29,260.46,176.2,210.58
16027_sd749_sl12_pd266_pl14_sv8_bp11_ba740_bp65,187.25,16.51,54.08,263.49,185.76,206.47
16028_sd757_sl8_pd157_pl8_sv8_bp13_ba810_bp48,212.21,16.28,53.38,228.88,208.71,197.82
16029_sd861_sl9_pd194_pl11_sv7_bp11_ba700_bp72,183.63,17.96,60.9,313.63,172.48,275.32
16030_sd783_sl12_pd176_pl12_sv8_bp11_ba580_bp55,144.17,14.52,50.55,226.34,154.92,221.7
16031_sd807_sl11_pd192_pl11_sv6_bp12_ba750_bp68,201.18,16.4,54.37,226.05,197.39,190.22
16032_sd678_sl10_pd198_pl9_sv9_bp11_ba720_bp66,170.31,15.7,51.63,205.99,177.91,205.88
16033_sd675_sl13_pd130_pl10_sv9_bp10_ba680_bp56,171.7,18.65,59.15,303.91,175.48,262.15
16034_sd887_sl6_pd221_pl8_sv8_bp13_ba950_bp42,249.0,21.97,68.34,381.64,241.53,347.11
16035_sd766_sl12_pd222_pl11_sv9_bp12_ba880_bp51,216.64,19.69,63.57,314.69,221.2,325.53
16036_sd837_sl11_pd238_pl9_sv7_bp13_ba600_bp75,145.42,14.47,48.39,198.81,142.44,194.89
16037_sd958_sl10_pd236_pl6_sv8_bp14_ba950_bp46,240.15,22.0,72.95,370.92,231.75,324.88
16038_sd793_sl10_pd163_pl10_sv7_bp12_ba920_bp65,225.94,21.06,68.35,368.06,208.51,341.07
16039_sd714_sl5_pd179_pl7_sv6_bp12_ba640_bp73,142.78,13.19,45.14,195.36,141.28,160.4
16040_sd717_sl7_pd215_pl10_sv6_bp11_ba540_bp57,132.7,12.21,36.94,165.39,125.47,134.36
16041_sd742_sl10_pd154_pl12_sv10_bp13_ba650_bp39,191.29,15.64,48.8,237.96,216.15,219.7
16042_sd783_sl8_pd288_pl12_sv12_bp12_ba680_bp64,180.9,18.89,57.93,272.01,201.82,309.6
16043_sd710_sl9_pd242_pl10_sv5_bp13_ba740_bp52,180.06,14.35,49.0,206.25,160.04,159.34
16044_sd777_sl11_pd156_pl7_sv7_bp12_ba890_bp40,244.96,17.67,60.79,320.3,281.35,283.88
16045_sd763_sl13_pd194_pl8_sv10_bp12_ba690_bp57,176.02,15.95,55.24,218.14,178.07,273.44
