load_case,out_oopDisp_mm_n2,out_supReac_kN_n3,out_supReac_kN_n4,out_verDisp_mm_n5,out_oopDisp_mm_n5,out_endBend_kNm_n6
27001_sd725_sl10_pd197_pl9_sv8_bp11_ba680_bp60,168.18,14.85,52.58,246.35,165.02,212.64
27002_sd811_sl13_pd139_pl10_sv6_bp13_ba520_bp70,128.68,13.59,43.47,182.27,127.19,169.8
27003_sd682_sl10_pd103_pl9_sv8_bp14_ba520_bp42,146.69,13.18,40.58,176.04,164.72,177.42
27004_sd801_sl12_pd232_pl12_sv8_bp11_ba780_bp67,188.35,16.24,57.05,251.27,177.3,227.42
27005_sd816_sl9_pd146_pl10_sv4_bp13_ba740_bp39,174.58,14.27,51.59,218.82,152.9,165.23
27006_sd779_sl8_pd134_pl7_sv11_bp13_ba530_bp61,258.89,17.79,45.07,243.61,345.23,356.14
27007_sd753_sl7_pd199_pl12_sv11_bp12_ba690_bp66,182.93,16.94,54.9,265.67,181.79,259.38
27008_sd770_sl11_pd147_pl9_sv9_bp11_ba840_bp66,220.86,18.77,58.52,285.54,229.84,275.3
27009_sd751_sl10_pd169_pl10_sv8_bp12_ba850_bp56,212.07,16.6,61.93,286.59,221.2,237.51
27010_sd882_sl10_pd191_pl10_sv8_bp12_ba690_bp59,172.22,17.81,63.16,315.67,168.39,281.8
27011_sd788_sl9_pd77_pl10_sv9_bp12_ba450_bp57,122.55,13.51,39.73,147.36,145.94,176.41
27012_sd721_sl11_pd193_pl13_sv10_bp13_ba590_bp65,150.07,14.51,47.24,200.64,158.35,203.16
27013_sd859_sl9_pd263_pl9_sv8_bp11_ba870_bp46,213.95,16.45,59.66,244.12,201.83,220.18
27014_sd660_sl12_pd216_pl15_sv6_bp12_ba730_bp61,182.89,15.13,50.59,220.22,180.55,173.61
27015_sd824_sl9_pd234_pl10_sv11_bp13_ba670_bp51,181.09,16.55,55.55,233.24,198.86,264.34
27016_sd885_sl9_pd270_pl11_sv7_bp10_ba780_bp69,194.55,19.39,63.84,320.13,182.95,278.16
27017_sd828_sl9_pd228_pl11_sv7_bp12_ba920_bp43,216.8,18.94,63.4,329.14,216.47,277.8
27018_sd740_sl13_pd228_pl12_sv10_bp12_ba700_bp68,181.04,16.21,55.02,236.98,191.5,241.54
27019_sd683_sl10_pd164_pl11_sv7_bp12_ba660_bp74,161.28,14.42,48.9,198.44,157.24,169.73
27020_sd890_sl11_pd145_pl9_sv9_bp11_ba590_bp58,158.84,15.69,49.68,213.22,174.74,237.95
27021_sd741_sl8_pd339_pl11_sv10_bp10_ba500_bp63,127.64,12.28,37.47,143.81,130.99,160.65
27022_sd818_sl8_pd219_pl6_sv6_bp13_ba600_bp53,152.21,13.8,44.48,190.63,154.43,160.56
27023_sd683_sl8_pd138_pl11_sv3_bp13_ba790_bp46,176.65,14.16,50.46,226.18,160.51,155.04
27024_sd841_sl12_pd250_pl11_sv7_bp11_ba700_bp62,195.27,15.78,55.53,242.75,200.28,174.49
27025_sd662_sl7_pd191_pl10_sv6_bp11_ba880_bp48,205.69,15.82,56.69,274.3,190.98,203.39
27026_sd710_sl12_pd208_pl13_sv9_bp10_ba520_bp57,134.71,14.42,45.78,211.97,145.59,176.52
27027_sd744_sl8_pd203_pl9_sv8_bp13_ba480_bp56,135.3,12.81,36.01,140.04,135.2,141.22
27028_sd699_sl8_pd217_pl11_sv7_bp11_ba710_bp62,172.76,15.18,54.32,233.92,158.16,201.64
27029_sd786_sl11_pd275_pl13_sv5_bp10_ba730_bp72,167.69,14.54,51.76,211.49,151.36,168.34
27030_sd897_sl10_pd233_pl9_sv7_bp12_ba730_bp54,174.8,15.4,53.88,235.11,169.43,197.94
27031_sd809_sl11_pd228_pl9_sv6_bp11_ba850_bp52,195.84,15.82,57.36,265.18,186.15,221.31
27032_sd741_sl10_pd206_pl5_sv10_bp12_ba780_bp77,230.5,16.66,53.44,255.78,237.29,239.8
27033_sd816_sl12_pd140_pl11_sv9_bp11_ba780_bp63,193.21,18.21,60.43,306.09,199.22,290.51
27034_sd788_sl11_pd310_pl8_sv9_bp13_ba710_bp63,172.71,16.31,55.64,224.02,193.75,211.97
27035_sd822_sl12_pd236_pl8_sv7_bp15_ba660_bp47,170.18,14.61,49.4,222.44,171.8,190.93
27036_sd812_sl12_pd243_pl8_sv10_bp11_ba730_bp42,203.2,16.42,55.6,237.8,218.34,300.01
27037_sd751_sl7_pd267_pl7_sv6_bp12_ba790_bp59,189.01,15.0,54.4,249.14,160.51,190.0
27038_sd767_sl6_pd132_pl13_sv7_bp12_ba590_bp79,173.01,13.48,43.73,189.51,201.61,181.7
