load_case,out_oopDisp_mm_n2,out_supReac_kN_n3,out_supReac_kN_n4,out_verDisp_mm_n5,out_oopDisp_mm_n5,out_endBend_kNm_n6
08001_sd624_sl8_pd152_pl13_sv4_bp12_ba640_bp54,148.56,12.88,45.24,181.82,135.69,135.97
08002_sd690_sl10_pd260_pl10_sv8_bp12_ba590_bp54,144.83,14.47,51.49,226.86,139.78,209.85
08003_sd788_sl7_pd237_pl7_sv7_bp12_ba590_bp48,152.76,13.48,43.88,178.03,150.37,157.41
08004_sd597_sl12_pd91_pl11_sv8_bp12_ba690_bp88,169.5,15.88,54.42,240.58,164.27,221.51
08005_sd703_sl10_pd135_pl13_sv6_bp12_ba820_bp65,195.62,15.72,56.35,239.98,175.62,209.56
08006_sd727_sl10_pd294_pl12_sv8_bp13_ba860_bp59,200.92,17.7,62.81,319.32,188.64,266.32
08007_sd836_sl8_pd166_pl5_sv8_bp13_ba720_bp64,190.48,16.61,60.75,258.23,204.59,247.07
08008_sd601_sl8_pd299_pl13_sv8_bp12_ba780_bp48,181.99,16.07,57.31,270.99,178.35,223.81
08009_sd736_sl11_pd173_pl12_sv10_bp12_ba790_bp85,187.71,16.36,54.49,244.07,191.69,202.18
08010_sd835_sl7_pd221_pl11_sv8_bp12_ba940_bp61,296.83,21.33,64.23,358.63,336.55,367.08
08011_sd741_sl13_pd194_pl10_sv9_bp10_ba790_bp48,199.45,18.33,64.81,330.2,189.24,308.59
08012_sd783_sl15_pd194_pl11_sv10_bp13_ba640_bp64,174.32,16.24,50.05,206.72,186.63,208.67
08013_sd973_sl15_pd180_pl11_sv9_bp13_ba650_bp57,178.23,15.99,55.95,229.61,199.17,238.68
08014_sd769_sl5_pd214_pl10_sv10_bp12_ba740_bp55,237.86,19.3,54.59,264.76,284.49,260.13
08015_sd662_sl10_pd151_pl11_sv10_bp11_ba630_bp66,157.57,14.78,47.13,200.62,156.57,197.7
08016_sd788_sl9_pd231_pl12_sv9_bp12_ba650_bp71,174.93,14.99,47.74,206.41,186.9,216.98
