load_case,out_oopDisp_mm_n2,out_supReac_kN_n3,out_supReac_kN_n4,out_verDisp_mm_n5,out_oopDisp_mm_n5,out_endBend_kNm_n6
48001_sd595_sl13_pd270_pl10_sv6_bp12_ba720_bp63,166.17,14.05,52.04,221.32,154.82,165.19
48002_sd750_sl12_pd231_pl8_sv8_bp13_ba740_bp69,206.85,16.77,55.68,259.34,212.9,268.83
48003_sd782_sl10_pd144_pl10_sv6_bp14_ba720_bp48,182.42,14.84,53.37,218.83,180.96,184.74
48004_sd695_sl12_pd253_pl11_sv6_bp11_ba590_bp60,167.43,13.72,41.86,196.02,175.05,151.15
48005_sd746_sl11_pd170_pl9_sv7_bp12_ba700_bp57,173.25,14.69,54.44,233.08,174.95,166.92
48006_sd725_sl9_pd162_pl10_sv4_bp12_ba750_bp79,168.71,14.38,51.21,217.76,152.06,164.11
48007_sd624_sl13_pd211_pl12_sv7_bp12_ba680_bp56,169.99,13.93,46.9,216.26,174.51,159.28
48008_sd739_sl9_pd175_pl10_sv2_bp12_ba540_bp60,122.16,12.11,38.7,157.68,110.28,120.69
48009_sd702_sl11_pd178_pl9_sv8_bp14_ba770_bp61,208.77,16.69,56.32,249.36,226.96,243.35
48010_sd674_sl8_pd181_pl10_sv5_bp12_ba550_bp59,138.59,12.38,36.86,158.74,126.67,116.07
48011_sd683_sl10_pd206_pl12_sv9_bp13_ba570_bp72,181.27,15.3,44.59,212.62,204.02,180.15
48012_sd870_sl9_pd157_pl14_sv7_bp11_ba840_bp59,202.63,16.24,56.24,248.89,188.93,204.76
48013_sd807_sl11_pd166_pl8_sv12_bp12_ba660_bp75,203.04,16.53,55.42,231.05,258.46,442.09
48014_sd740_sl10_pd146_pl12_sv6_bp12_ba670_bp59,161.64,13.45,44.63,198.56,164.33,137.81
48015_sd570_sl12_pd262_pl13_sv6_bp11_ba650_bp65,157.04,13.95,46.91,185.63,142.73,148.6
48016_sd656_sl11_pd204_pl9_sv11_bp13_ba760_bp60,186.14,16.91,60.26,258.69,174.98,273.31
48017_sd862_sl11_pd273_pl8_sv8_bp12_ba640_bp58,211.33,16.01,51.33,238.26,259.2,230.84
48018_sd717_sl12_pd152_pl15_sv5_bp12_ba760_bp61,181.64,15.67,52.89,215.59,166.84,168.07
48019_sd736_sl8_pd162_pl11_sv9_bp11_ba480_bp77,141.02,12.05,35.24,163.4,173.03,210.34
48020_sd823_sl8_pd218_pl9_sv7_bp12_ba640_bp60,191.98,15.46,47.28,222.78,197.47,188.58
48021_sd662_sl10_pd165_pl10_sv7_bp12_ba810_bp53,186.96,15.4,55.79,245.05,178.44,203.77
48022_sd640_sl13_pd229_pl8_sv4_bp13_ba900_bp61,225.22,16.47,57.32,276.52,220.34,220.05
48023_sd695_sl10_pd81_pl10_sv12_bp11_ba800_bp59,204.16,16.21,55.49,263.75,234.99,379.37
48024_sd773_sl14_pd128_pl8_sv8_bp11_ba640_bp57,173.31,14.61,49.42,198.29,169.78,172.93
48025_sd762_sl9_pd200_pl8_sv6_bp13_ba790_bp74,194.53,17.0,60.9,298.35,170.33,248.35
48026_sd753_sl7_pd196_pl14_sv9_bp12_ba740_bp59,261.47,18.67,53.61,286.85,327.44,259.82
48027_sd693_sl9_pd188_pl10_sv9_bp12_ba700_bp65,177.43,14.41,49.01,198.31,176.83,209.25
48028_sd795_sl10_pd205_pl7_sv12_bp12_ba680_bp69,255.86,20.37,56.74,270.75,332.9,368.76
48029_sd757_sl10_pd129_pl11_sv7_bp12_ba620_bp63,148.01,14.53,48.53,206.65,149.14,185.24
