load_case,out_oopDisp_mm_n2,out_supReac_kN_n3,out_supReac_kN_n4,out_verDisp_mm_n5,out_oopDisp_mm_n5,out_endBend_kNm_n6
01001_sd777_sl7_pd218_pl12_sv10_bp11_ba730_bp52,181.63,15.63,60.96,236.43,182.13,285.28
01002_sd791_sl13_pd249_pl7_sv8_bp11_ba590_bp60,169.86,16.01,52.35,224.59,182.3,187.26
01003_sd757_sl10_pd196_pl11_sv8_bp12_ba660_bp52,168.88,19.17,61.6,339.94,170.85,299.12
01004_sd685_sl7_pd265_pl13_sv8_bp12_ba720_bp61,216.95,15.35,53.06,254.22,252.49,217.98
01005_sd696_sl10_pd173_pl10_sv9_bp11_ba610_bp53,157.07,14.09,49.09,218.95,160.87,176.38
01006_sd673_sl13_pd254_pl14_sv6_bp11_ba790_bp48,188.34,15.92,52.81,242.64,167.63,193.56
01007_sd807_sl14_pd216_pl11_sv8_bp11_ba540_bp60,135.89,13.52,43.28,202.35,154.2,170.67
01008_sd627_sl11_pd184_pl6_sv6_bp12_ba610_bp65,155.12,13.64,47.25,194.92,143.88,155.65
01009_sd763_sl10_pd111_pl7_sv6_bp11_ba850_bp61,206.45,15.74,57.0,262.17,186.98,229.23
01010_sd803_sl10_pd269_pl12_sv7_bp14_ba610_bp48,145.32,14.33,46.72,195.26,147.76,166.41
01011_sd727_sl10_pd157_pl12_sv11_bp11_ba740_bp55,183.02,16.92,59.04,251.75,194.29,265.65
01012_sd777_sl11_pd178_pl13_sv8_bp12_ba860_bp44,204.44,19.58,68.29,355.01,197.46,303.55
01013_sd680_sl12_pd194_pl10_sv9_bp14_ba490_bp82,168.5,14.43,43.96,202.28,195.91,197.11
01014_sd645_sl9_pd136_pl14_sv2_bp11_ba610_bp61,138.22,12.92,42.0,169.75,126.28,126.25
01015_sd844_sl12_pd165_pl9_sv4_bp12_ba530_bp82,151.24,13.79,42.93,190.84,162.63,151.32
01016_sd758_sl12_pd267_pl9_sv6_bp12_ba660_bp57,161.27,14.15,47.26,205.24,157.73,169.56
01017_sd669_sl7_pd237_pl12_sv7_bp13_ba700_bp66,186.42,14.69,49.78,216.66,203.98,177.85
01018_sd832_sl10_pd142_pl11_sv6_bp13_ba810_bp59,205.1,15.46,56.06,246.03,197.13,211.49
01019_sd667_sl7_pd170_pl9_sv6_bp14_ba610_bp57,151.02,14.07,48.01,210.89,137.01,175.62
01020_sd794_sl8_pd174_pl10_sv9_bp14_ba600_bp63,164.0,15.09,47.08,194.13,178.08,222.79
01021_sd739_sl7_pd272_pl11_sv8_bp13_ba620_bp52,210.8,15.31,47.16,240.51,255.0,231.89
01022_sd699_sl11_pd227_pl10_sv7_bp10_ba670_bp67,162.91,14.48,51.53,208.53,153.09,176.05
01023_sd660_sl9_pd209_pl13_sv4_bp12_ba780_bp40,178.5,14.86,53.0,234.84,160.54,170.89
01024_sd714_sl12_pd129_pl8_sv5_bp12_ba650_bp49,174.68,14.51,51.95,226.06,175.29,183.41
01025_sd674_sl9_pd142_pl9_sv8_bp13_ba730_bp69,178.33,14.84,49.92,201.66,169.98,208.78
01026_sd742_sl12_pd187_pl12_sv10_bp14_ba690_bp53,182.06,15.61,53.88,231.63,177.54,234.03
01027_sd708_sl6_pd194_pl6_sv7_bp12_ba710_bp60,174.72,14.22,52.07,205.19,170.4,194.23
01028_sd803_sl10_pd144_pl8_sv8_bp12_ba640_bp56,175.37,15.56,47.56,205.38,196.38,208.26
01029_sd749_sl9_pd240_pl12_sv8_bp13_ba710_bp57,184.23,17.65,62.93,315.75,172.41,298.12
01030_sd678_sl11_pd237_pl12_sv8_bp11_ba790_bp72,193.31,19.33,63.98,347.0,181.6,273.97
01031_sd777_sl11_pd229_pl12_sv9_bp12_ba650_bp55,157.65,16.0,54.34,227.63,172.77,214.64
01032_sd746_sl13_pd253_pl10_sv12_bp13_ba670_bp63,177.03,19.03,63.49,307.61,200.63,341.96
01033_sd701_sl14_pd220_pl12_sv11_bp11_ba750_bp48,199.29,16.21,56.59,240.4,235.85,303.11
01034_sd873_sl9_pd198_pl13_sv9_bp13_ba780_bp59,217.14,19.3,61.81,315.99,239.97,249.56
01035_sd930_sl9_pd185_pl10_sv11_bp13_ba630_bp49,173.11,18.07,61.24,270.66,199.42,335.14
01036_sd764_sl11_pd173_pl11_sv8_bp11_ba630_bp73,165.66,18.34,61.24,316.95,165.43,286.1
01037_sd817_sl10_pd205_pl9_sv8_bp11_ba540_bp62,151.14,13.82,44.85,195.23,149.22,185.48
01038_sd766_sl13_pd177_pl11_sv7_bp12_ba660_bp59,178.19,15.48,52.85,218.23,180.53,182.48
01039_sd803_sl14_pd136_pl14_sv10_bp12_ba720_bp52,200.4,17.95,55.76,236.81,226.73,268.98
01040_sd827_sl12_pd215_pl8_sv9_bp12_ba580_bp63,169.49,14.59,44.58,183.71,198.25,244.86
01041_sd718_sl9_pd224_pl14_sv6_bp13_ba820_bp64,193.67,17.34,59.14,285.51,177.15,249.88
01042_sd757_sl10_pd150_pl7_sv11_bp12_ba790_bp78,256.54,19.62,54.59,252.79,282.44,307.97
01043_sd608_sl8_pd107_pl10_sv9_bp11_ba770_bp46,183.86,15.63,50.4,226.9,196.59,215.82
01044_sd784_sl8_pd160_pl12_sv6_bp12_ba740_bp59,177.03,15.16,52.65,227.63,177.04,184.32
01045_sd889_sl12_pd177_pl11_sv10_bp11_ba640_bp41,194.45,16.18,55.2,245.26,198.66,242.45
01046_sd820_sl12_pd239_pl8_sv5_bp12_ba610_bp49,147.2,13.42,43.98,178.19,140.54,129.21
01047_sd718_sl12_pd192_pl10_sv6_bp13_ba690_bp63,186.55,15.68,55.68,258.36,199.08,190.74
01048_sd687_sl11_pd233_pl7_sv10_bp13_ba720_bp73,196.23,17.21,52.36,202.42,188.53,207.95
01049_sd758_sl9_pd220_pl10_sv9_bp13_ba700_bp48,176.03,16.51,55.2,211.3,188.93,205.85
01050_sd756_sl9_pd201_pl11_sv9_bp12_ba740_bp58,227.38,16.43,55.06,268.16,258.19,223.12
01051_sd771_sl10_pd217_pl9_sv9_bp11_ba660_bp49,163.91,14.76,45.24,180.49,149.48,185.1
01052_sd658_sl10_pd217_pl11_sv8_bp12_ba890_bp64,210.75,18.05,62.5,322.7,199.24,267.17
01053_sd786_sl10_pd241_pl7_sv7_bp12_ba810_bp50,223.58,16.13,56.81,264.88,224.9,222.85
01054_sd599_sl8_pd191_pl10_sv6_bp11_ba530_bp43,128.93,12.02,37.59,155.2,125.46,128.56
01055_sd782_sl9_pd215_pl10_sv10_bp14_ba820_bp84,195.7,16.99,58.17,255.2,189.12,273.27
01056_sd712_sl10_pd195_pl10_sv8_bp13_ba800_bp74,199.71,20.09,65.91,347.3,191.56,333.34
01057_sd715_sl8_pd189_pl14_sv8_bp13_ba600_bp52,167.97,15.02,50.15,236.42,197.68,218.72
01058_sd896_sl11_pd257_pl10_sv9_bp11_ba640_bp62,201.04,16.4,56.92,257.48,230.39,257.65
01059_sd753_sl11_pd249_pl8_sv4_bp10_ba680_bp69,161.07,14.01,50.16,199.58,145.46,147.05
01060_sd767_sl6_pd193_pl9_sv9_bp14_ba640_bp60,181.82,18.66,53.8,230.4,200.29,204.97
01061_sd661_sl12_pd257_pl12_sv9_bp12_ba740_bp57,185.58,16.44,55.78,245.5,194.36,236.35
01062_sd891_sl9_pd168_pl15_sv8_bp11_ba790_bp62,191.73,16.64,55.76,245.64,190.09,230.28
01063_sd729_sl10_pd184_pl12_sv8_bp12_ba740_bp66,174.18,17.69,61.01,309.57,173.71,272.19
01064_sd704_sl10_pd257_pl10_sv4_bp11_ba800_bp76,182.5,15.46,54.21,246.23,160.01,180.05
01065_sd759_sl8_pd202_pl13_sv8_bp13_ba860_bp48,248.89,19.72,61.75,315.74,285.23,247.56
01066_sd829_sl9_pd128_pl10_sv5_bp13_ba610_bp69,149.03,13.62,44.33,181.87,143.37,130.61
01067_sd662_sl10_pd128_pl11_sv7_bp11_ba800_bp51,192.81,15.37,54.93,257.67,191.98,193.71
01068_sd737_sl13_pd227_pl4_sv7_bp13_ba510_bp56,172.2,14.45,36.66,179.83,197.6,164.72
01069_sd824_sl12_pd219_pl10_sv10_bp14_ba620_bp65,156.99,16.07,52.07,216.64,183.99,216.45
01070_sd872_sl11_pd197_pl10_sv10_bp12_ba860_bp46,221.52,19.48,64.17,293.8,214.75,306.24
01071_sd824_sl8_pd151_pl11_sv12_bp11_ba710_bp52,221.25,17.83,60.15,297.96,283.64,371.12
01072_sd776_sl12_pd212_pl9_sv7_bp12_ba680_bp63,168.45,14.74,53.05,217.3,158.77,196.02
01073_sd748_sl7_pd220_pl9_sv13_bp14_ba660_bp76,363.57,21.97,58.28,349.94,518.62,457.09
01074_sd811_sl9_pd197_pl12_sv9_bp12_ba620_bp71,199.85,15.13,45.65,220.39,234.45,239.39
01075_sd726_sl13_pd235_pl10_sv10_bp11_ba760_bp47,187.75,17.31,55.87,242.67,190.56,242.89
01076_sd695_sl11_pd185_pl9_sv9_bp12_ba670_bp63,174.83,15.43,51.98,217.26,188.8,228.1
01077_sd781_sl7_pd227_pl7_sv8_bp12_ba750_bp58,202.12,14.92,53.48,226.16,206.27,188.01
01078_sd798_sl11_pd245_pl13_sv4_bp12_ba810_bp57,183.55,16.26,55.54,240.42,164.69,200.48
01079_sd608_sl12_pd264_pl10_sv9_bp12_ba590_bp81,156.43,14.7,48.68,214.93,159.99,200.88
01080_sd702_sl9_pd153_pl11_sv6_bp11_ba660_bp68,168.25,13.64,43.1,187.49,172.95,141.25
01081_sd673_sl7_pd214_pl11_sv8_bp12_ba600_bp60,194.26,14.37,44.14,222.71,244.86,217.48
01082_sd792_sl8_pd196_pl10_sv8_bp11_ba810_bp65,225.03,16.0,56.9,278.09,232.08,234.63
01083_sd768_sl8_pd254_pl9_sv8_bp13_ba750_bp67,201.15,15.62,51.71,211.07,193.44,188.39
01084_sd776_sl10_pd241_pl13_sv6_bp11_ba710_bp55,171.4,14.44,51.26,207.7,153.72,177.17
01085_sd679_sl9_pd121_pl9_sv10_bp13_ba640_bp62,184.47,14.81,46.79,182.5,192.92,233.94
01086_sd689_sl10_pd175_pl14_sv7_bp13_ba590_bp46,163.05,14.43,43.1,197.45,172.63,163.25
01087_sd637_sl10_pd132_pl11_sv8_bp12_ba770_bp61,187.89,18.48,61.84,337.84,178.24,309.77
01088_sd690_sl11_pd178_pl10_sv9_bp11_ba670_bp53,168.73,15.04,52.77,224.04,170.44,198.38
01089_sd740_sl10_pd149_pl10_sv10_bp10_ba830_bp72,206.3,16.92,57.19,239.25,209.14,212.93
01090_sd732_sl8_pd244_pl11_sv11_bp11_ba780_bp62,207.9,17.74,60.91,273.67,202.99,281.28
01091_sd832_sl10_pd217_pl12_sv9_bp14_ba710_bp56,183.81,17.36,58.89,274.82,177.25,250.25
01092_sd723_sl12_pd195_pl10_sv8_bp12_ba730_bp55,175.19,15.99,54.01,246.62,170.25,247.23
01093_sd717_sl12_pd267_pl9_sv8_bp11_ba830_bp56,212.81,18.15,63.88,293.76,202.38,244.43
01094_sd730_sl12_pd209_pl8_sv6_bp13_ba760_bp61,197.75,15.65,55.97,257.09,199.17,211.6
01095_sd812_sl12_pd108_pl12_sv8_bp14_ba750_bp60,185.35,16.58,56.97,257.04,194.82,256.37
