load_case,out_oopDisp_mm_n2,out_supReac_kN_n3,out_supReac_kN_n4,out_verDisp_mm_n5,out_oopDisp_mm_n5,out_endBend_kNm_n6
00001_sd786_sl6_pd234_pl10_sv6_bp13_ba850_bp74,197.45,16.22,56.42,248.24,180.47,198.49
00002_sd705_sl10_pd190_pl11_sv7_bp12_ba800_bp59,186.85,15.97,58.86,262.33,178.72,238.07
00003_sd742_sl12_pd159_pl13_sv7_bp12_ba650_bp65,155.47,14.29,48.63,220.89,163.53,180.64
00004_sd732_sl9_pd168_pl10_sv10_bp11_ba670_bp68,169.47,15.18,48.72,188.47,163.76,233.31
00005_sd669_sl11_pd214_pl9_sv8_bp13_ba810_bp57,223.64,16.9,58.51,271.74,242.37,219.33
00006_sd773_sl8_pd255_pl11_sv9_bp12_ba520_bp63,141.81,13.22,38.67,162.56,155.81,202.38
00007_sd719_sl8_pd182_pl4_sv7_bp12_ba760_bp41,183.12,14.98,55.97,234.15,169.95,200.57
00008_sd801_sl9_pd169_pl10_sv8_bp11_ba610_bp58,147.54,13.92,47.72,192.98,146.89,182.89
00009_sd811_sl10_pd137_pl9_sv8_bp13_ba740_bp51,187.33,15.59,58.37,235.09,179.95,240.37
00010_sd724_sl11_pd123_pl11_sv10_bp13_ba770_bp60,199.34,17.74,55.08,236.76,198.02,218.57
00011_sd785_sl10_pd195_pl10_sv9_bp13_ba790_bp56,186.02,16.52,62.39,250.58,174.97,240.72
00012_sd671_sl6_pd248_pl9_sv6_bp11_ba630_bp45,158.04,13.45,44.28,179.54,147.2,150.44
00013_sd738_sl11_pd208_pl8_sv10_bp11_ba700_bp60,183.03,15.97,54.64,219.6,188.05,244.52
00014_sd752_sl13_pd291_pl9_sv7_bp12_ba630_bp70,151.42,14.0,42.65,189.35,147.56,138.97
00015_sd783_sl9_pd132_pl6_sv9_bp13_ba910_bp74,238.76,21.1,63.46,330.0,240.18,276.67
00016_sd674_sl11_pd277_pl9_sv12_bp12_ba620_bp27,156.48,15.0,50.99,205.19,181.21,297.38
