load_case,out_oopDisp_mm_n2,out_supReac_kN_n3,out_supReac_kN_n4,out_verDisp_mm_n5,out_oopDisp_mm_n5,out_endBend_kNm_n6
37001_sd880_sl14_pd151_pl9_sv11_bp11_ba640_bp67,171.93,15.93,58.44,242.5,205.58,265.14
37002_sd645_sl11_pd245_pl8_sv8_bp11_ba730_bp44,198.46,15.77,54.43,242.43,205.2,194.48
37003_sd785_sl9_pd322_pl11_sv10_bp13_ba670_bp60,178.88,15.25,51.96,201.15,186.45,238.58
37004_sd702_sl10_pd225_pl7_sv6_bp12_ba700_bp54,169.83,14.29,49.53,211.56,155.82,166.68
37005_sd891_sl11_pd304_pl10_sv7_bp12_ba690_bp70,165.99,16.56,59.83,262.94,168.57,241.28
37006_sd761_sl10_pd226_pl7_sv5_bp13_ba680_bp68,164.33,15.29,54.29,226.43,158.48,188.17
37007_sd820_sl10_pd216_pl12_sv9_bp13_ba580_bp55,174.31,15.15,46.67,215.0,197.66,196.04
37008_sd707_sl9_pd165_pl10_sv7_bp13_ba650_bp82,155.93,13.86,47.23,189.65,143.38,166.68
37009_sd538_sl12_pd323_pl11_sv11_bp10_ba560_bp49,132.51,14.3,45.05,194.3,146.46,202.82
37010_sd658_sl16_pd219_pl10_sv6_bp11_ba610_bp72,146.54,13.54,42.37,177.95,134.32,140.94
37011_sd637_sl9_pd194_pl12_sv8_bp10_ba940_bp50,229.36,17.17,58.37,328.44,220.76,289.54
37012_sd617_sl10_pd252_pl10_sv9_bp13_ba730_bp79,174.65,15.18,50.54,210.7,169.27,178.27
37013_sd789_sl8_pd191_pl14_sv8_bp12_ba740_bp67,183.17,15.47,51.39,235.83,185.99,188.91
37014_sd805_sl9_pd237_pl9_sv10_bp13_ba700_bp63,180.72,15.23,53.12,215.21,193.3,248.68
37015_sd799_sl10_pd216_pl12_sv8_bp12_ba540_bp64,137.79,17.34,61.84,301.9,150.32,275.9
37016_sd691_sl11_pd165_pl8_sv8_bp12_ba750_bp40,213.28,16.0,52.23,231.05,229.53,214.88
37017_sd699_sl11_pd168_pl8_sv7_bp12_ba700_bp50,166.6,15.56,54.52,233.52,159.27,208.11
37018_sd720_sl7_pd125_pl13_sv7_bp12_ba610_bp54,146.51,12.67,41.32,175.58,148.18,152.38
37019_sd742_sl10_pd118_pl9_sv11_bp12_ba590_bp42,177.06,14.78,53.27,223.98,200.66,232.19
37020_sd653_sl11_pd174_pl12_sv7_bp12_ba720_bp49,173.64,15.08,52.95,221.93,165.98,190.07
37021_sd833_sl10_pd243_pl11_sv7_bp10_ba540_bp61,133.7,14.5,51.56,229.37,143.75,206.79
37022_sd717_sl10_pd183_pl11_sv9_bp12_ba760_bp58,182.14,15.56,53.29,237.38,191.13,223.41
37023_sd844_sl9_pd189_pl12_sv9_bp11_ba670_bp71,244.4,17.41,52.89,285.39,288.18,256.78
37024_sd777_sl9_pd225_pl10_sv8_bp13_ba490_bp51,130.34,12.73,35.12,138.6,144.99,156.49
37025_sd730_sl13_pd174_pl10_sv6_bp12_ba640_bp66,156.93,14.23,48.18,212.07,160.21,168.02
37026_sd760_sl13_pd190_pl9_sv6_bp12_ba660_bp60,163.3,14.68,52.65,216.45,155.57,182.89
37027_sd782_sl14_pd202_pl10_sv8_bp12_ba630_bp54,159.36,15.14,46.68,209.32,168.07,186.61
37028_sd787_sl9_pd198_pl11_sv8_bp13_ba680_bp62,174.45,15.99,56.93,258.35,156.66,242.05
37029_sd844_sl9_pd212_pl9_sv9_bp11_ba660_bp59,163.47,15.94,48.19,181.34,165.4,193.92
37030_sd729_sl11_pd145_pl9_sv11_bp13_ba620_bp71,151.81,15.22,54.06,214.05,168.85,237.51
37031_sd663_sl8_pd152_pl10_sv8_bp11_ba770_bp66,201.22,15.48,54.2,235.2,213.2,208.02
37032_sd729_sl7_pd86_pl7_sv11_bp12_ba750_bp68,273.56,19.48,58.53,287.92,346.21,312.42
37033_sd755_sl10_pd174_pl11_sv6_bp11_ba670_bp53,175.25,15.05,52.62,215.09,177.38,174.26
37034_sd788_sl8_pd231_pl14_sv8_bp11_ba510_bp51,135.12,12.46,40.82,169.23,141.56,163.4
37035_sd774_sl10_pd206_pl11_sv9_bp11_ba670_bp65,173.3,15.16,52.05,244.81,194.31,205.92
37036_sd646_sl12_pd220_pl13_sv9_bp13_ba730_bp57,176.73,15.29,56.02,262.44,200.02,266.45
37037_sd855_sl10_pd276_pl8_sv6_bp9_ba850_bp50,201.13,16.22,59.62,239.9,175.62,190.96
37038_sd845_sl10_pd188_pl7_sv4_bp11_ba720_bp79,168.17,14.56,52.18,196.3,155.4,136.02
37039_sd778_sl10_pd289_pl11_sv4_bp14_ba780_bp61,178.33,15.27,53.93,239.62,160.11,179.35
37040_sd846_sl10_pd154_pl10_sv12_bp13_ba830_bp61,217.42,19.63,64.51,289.52,257.0,415.99
37041_sd732_sl11_pd144_pl13_sv8_bp13_ba630_bp73,153.73,15.09,54.66,240.68,155.16,237.59
37042_sd818_sl9_pd301_pl10_sv7_bp11_ba730_bp58,175.46,15.06,50.76,210.78,166.88,175.37
37043_sd917_sl10_pd235_pl9_sv6_bp12_ba740_bp62,198.9,16.11,59.05,262.08,212.46,205.14
37044_sd776_sl12_pd176_pl9_sv6_bp11_ba590_bp48,171.52,14.54,46.7,224.18,186.21,183.53
37045_sd832_sl12_pd185_pl14_sv7_bp12_ba740_bp63,177.93,15.88,52.91,207.52,155.88,166.26
37046_sd718_sl11_pd313_pl8_sv6_bp12_ba840_bp60,197.08,15.56,57.39,237.06,179.34,179.46
37047_sd736_sl9_pd111_pl9_sv6_bp11_ba660_bp78,159.14,13.77,48.37,194.34,153.65,161.07
37048_sd748_sl14_pd181_pl9_sv5_bp13_ba790_bp62,187.94,15.52,54.29,239.62,171.17,183.39
37049_sd806_sl12_pd233_pl6_sv7_bp14_ba650_bp65,203.02,15.33,46.63,220.84,240.58,183.62
37050_sd779_sl10_pd119_pl10_sv10_bp11_ba860_bp73,213.8,17.55,61.65,270.83,211.77,240.94
37051_sd637_sl10_pd311_pl10_sv13_bp12_ba840_bp55,223.28,18.78,64.86,289.42,238.03,391.58
37052_sd842_sl11_pd166_pl10_sv10_bp12_ba720_bp53,169.9,18.58,60.31,247.37,173.97,223.11
37053_sd695_sl9_pd302_pl13_sv6_bp12_ba820_bp63,201.53,16.46,56.73,262.12,192.28,214.81
37054_sd765_sl8_pd237_pl14_sv4_bp13_ba680_bp52,164.88,13.52,46.3,191.48,147.27,143.34
37055_sd732_sl11_pd231_pl7_sv12_bp13_ba730_bp54,216.66,17.14,55.21,230.72,250.09,307.76
37056_sd706_sl12_pd152_pl10_sv9_bp13_ba690_bp74,199.61,16.93,55.98,248.8,216.3,212.23
37057_sd754_sl9_pd234_pl10_sv7_bp12_ba640_bp69,152.65,14.14,51.0,216.52,139.85,187.86
37058_sd669_sl8_pd212_pl10_sv6_bp11_ba540_bp71,128.21,12.23,39.34,167.95,116.48,133.21
