load_case,out_oopDisp_mm_n2,out_supReac_kN_n3,out_supReac_kN_n4,out_verDisp_mm_n5,out_oopDisp_mm_n5,out_endBend_kNm_n6
40053_sd696_sl8_pd208_pl11_sv6_bp11_ba810_bp71,193.2,15.09,54.26,232.13,179.34,163.21
40054_sd784_sl10_pd279_pl12_sv7_bp13_ba690_bp50,164.13,14.3,50.17,199.24,170.37,164.91
40055_sd774_sl13_pd195_pl9_sv9_bp11_ba680_bp54,182.56,17.61,57.44,261.36,190.73,226.25
40056_sd785_sl10_pd162_pl10_sv8_bp13_ba670_bp64,170.67,16.49,56.29,252.12,170.84,229.23
40057_sd658_sl9_pd237_pl10_sv7_bp12_ba740_bp73,186.84,14.09,50.85,223.92,181.4,189.29
40058_sd790_sl7_pd192_pl12_sv9_bp12_ba810_bp52,227.85,17.61,56.22,266.17,252.55,264.34
40059_sd768_sl9_pd168_pl11_sv4_bp13_ba810_bp76,184.61,14.82,52.94,219.04,164.91,161.5
40060_sd707_sl11_pd136_pl9_sv7_bp11_ba470_bp59,113.97,12.01,33.61,136.08,113.62,122.43
40061_sd706_sl13_pd305_pl9_sv9_bp12_ba710_bp82,200.38,17.01,55.25,250.42,223.46,238.03
40062_sd835_sl14_pd239_pl10_sv7_bp12_ba760_bp67,180.64,16.44,53.93,234.04,182.68,208.4
40063_sd718_sl10_pd234_pl11_sv7_bp13_ba650_bp58,162.83,14.3,47.7,202.05,161.65,152.4
40064_sd856_sl9_pd217_pl11_sv8_bp10_ba850_bp55,221.25,17.97,61.41,288.67,231.94,221.12
40065_sd630_sl7_pd174_pl9_sv10_bp10_ba880_bp48,228.79,17.64,56.75,266.92,229.7,245.17
40066_sd640_sl9_pd202_pl10_sv6_bp11_ba770_bp74,203.86,15.41,52.59,234.53,213.37,173.11
40067_sd870_sl10_pd189_pl8_sv7_bp12_ba700_bp73,205.87,15.45,53.63,243.29,213.36,226.44
40068_sd735_sl10_pd114_pl10_sv8_bp11_ba760_bp64,189.44,19.04,62.07,327.01,189.91,306.77
40069_sd586_sl10_pd231_pl13_sv9_bp11_ba1020_bp59,238.69,18.44,61.67,313.82,229.65,256.46
40070_sd749_sl12_pd198_pl7_sv9_bp12_ba750_bp70,206.76,16.79,53.83,233.15,214.91,295.56
40071_sd707_sl14_pd259_pl10_sv9_bp13_ba580_bp52,155.61,15.41,47.48,208.85,157.78,201.43
40072_sd797_sl11_pd138_pl10_sv10_bp13_ba540_bp69,139.97,16.16,44.36,176.98,150.92,216.63
40073_sd797_sl10_pd250_pl8_sv5_bp14_ba710_bp49,167.53,14.69,53.87,220.63,165.79,177.13
40074_sd554_sl10_pd239_pl10_sv10_bp11_ba780_bp59,186.05,15.97,54.86,231.16,179.66,202.46
40075_sd760_sl11_pd185_pl13_sv9_bp12_ba590_bp59,155.17,16.56,59.53,282.73,176.56,279.31
40076_sd729_sl4_pd220_pl7_sv8_bp14_ba620_bp57,181.87,14.71,50.15,228.05,210.37,194.83
40077_sd945_sl11_pd178_pl11_sv9_bp12_ba640_bp56,165.02,15.6,49.45,222.01,199.4,210.41
40078_sd785_sl9_pd189_pl10_sv8_bp13_ba750_bp45,218.2,15.67,53.99,237.31,229.79,240.44
40079_sd696_sl10_pd179_pl8_sv9_bp14_ba970_bp65,231.65,18.0,61.08,296.31,223.93,257.21
40080_sd876_sl8_pd116_pl11_sv6_bp12_ba830_bp58,203.13,16.0,55.89,256.19,188.26,217.99
40081_sd809_sl8_pd235_pl10_sv9_bp12_ba600_bp83,162.7,13.77,46.01,176.44,172.36,189.77
40082_sd806_sl12_pd213_pl9_sv7_bp12_ba750_bp52,186.4,18.46,62.52,308.67,192.27,271.48
40083_sd863_sl8_pd209_pl11_sv9_bp13_ba700_bp46,193.46,15.6,52.5,229.54,211.66,281.91
40084_sd822_sl11_pd267_pl10_sv8_bp11_ba590_bp59,157.03,17.04,59.95,283.07,156.75,262.11
40085_sd694_sl14_pd242_pl6_sv7_bp12_ba800_bp60,185.03,15.64,54.5,227.0,171.33,178.35
40086_sd792_sl9_pd191_pl10_sv6_bp11_ba850_bp53,207.64,16.32,56.16,258.53,203.46,201.27
40087_sd739_sl7_pd247_pl8_sv7_bp13_ba690_bp57,169.49,14.0,44.2,191.29,165.77,144.21
40088_sd648_sl10_pd265_pl13_sv9_bp13_ba820_bp54,197.75,17.05,57.61,262.51,210.76,234.58
40089_sd815_sl11_pd119_pl11_sv8_bp11_ba540_bp49,135.28,14.75,53.12,225.87,154.36,220.51
40090_sd807_sl11_pd219_pl6_sv7_bp13_ba610_bp62,168.37,14.4,43.89,193.57,172.59,178.65
40091_sd644_sl11_pd212_pl10_sv6_bp13_ba760_bp78,179.96,14.59,51.65,222.21,167.62,186.44
40092_sd843_sl14_pd260_pl10_sv7_bp11_ba560_bp53,142.63,14.86,48.55,210.86,140.33,178.86
40093_sd835_sl12_pd206_pl10_sv9_bp10_ba520_bp45,164.62,14.87,44.05,196.88,201.14,185.5
40094_sd637_sl8_pd206_pl12_sv11_bp13_ba760_bp58,187.04,17.24,57.66,277.22,193.21,267.37
40095_sd694_sl16_pd176_pl14_sv5_bp12_ba760_bp46,181.99,15.1,53.27,227.03,174.77,186.64
40096_sd804_sl3_pd251_pl7_sv8_bp11_ba810_bp55,301.82,19.47,59.96,327.57,385.08,291.62
40097_sd663_sl6_pd218_pl12_sv8_bp11_ba790_bp49,214.5,15.68,53.12,266.0,215.46,218.01
40098_sd749_sl11_pd205_pl12_sv8_bp12_ba650_bp59,164.09,18.03,63.02,313.25,166.22,278.67
40099_sd730_sl11_pd168_pl8_sv9_bp11_ba610_bp54,151.48,14.23,45.46,176.89,166.85,234.88
40100_sd710_sl7_pd140_pl5_sv10_bp13_ba800_bp67,276.88,20.0,58.35,274.64,321.51,308.55
40101_sd629_sl9_pd311_pl10_sv6_bp11_ba750_bp64,176.71,14.36,52.44,224.65,157.04,173.76
40102_sd728_sl13_pd196_pl11_sv6_bp12_ba570_bp54,139.81,13.83,41.69,180.25,134.58,147.01
40103_sd761_sl9_pd212_pl9_sv8_bp11_ba650_bp59,163.8,14.32,47.62,192.5,161.65,194.27
40104_sd727_sl11_pd107_pl9_sv8_bp12_ba570_bp59,156.71,13.96,45.35,207.62,168.06,192.1
40105_sd791_sl11_pd101_pl10_sv10_bp11_ba640_bp77,154.17,17.3,52.11,214.59,162.67,199.6
40106_sd746_sl10_pd246_pl9_sv11_bp13_ba690_bp62,177.29,15.85,50.74,212.02,185.05,243.83
40107_sd734_sl11_pd234_pl13_sv8_bp13_ba770_bp61,180.86,16.19,56.16,242.25,178.32,244.54
40108_sd709_sl8_pd235_pl8_sv6_bp12_ba730_bp68,172.86,15.78,57.21,254.23,165.07,199.5
40109_sd823_sl11_pd276_pl11_sv9_bp11_ba780_bp50,193.43,16.69,56.74,266.58,200.14,271.05
40110_sd713_sl8_pd174_pl11_sv8_bp13_ba680_bp80,182.32,15.77,51.23,224.8,194.02,185.4
40111_sd761_sl9_pd164_pl11_sv3_bp12_ba650_bp48,150.54,13.29,46.14,185.82,132.92,126.71
40112_sd696_sl10_pd182_pl9_sv5_bp13_ba700_bp65,170.69,14.16,50.34,206.27,166.94,141.58
40113_sd711_sl11_pd272_pl8_sv6_bp12_ba730_bp59,174.88,14.65,54.6,230.86,162.48,180.68
40114_sd779_sl9_pd214_pl8_sv8_bp13_ba790_bp54,196.0,16.08,59.17,237.14,176.39,239.31
40115_sd633_sl13_pd199_pl11_sv11_bp12_ba670_bp67,173.19,15.48,50.1,205.13,165.76,206.99
40116_sd806_sl14_pd134_pl8_sv8_bp11_ba830_bp58,213.06,18.2,61.28,294.28,226.19,246.87
40117_sd711_sl11_pd215_pl11_sv8_bp11_ba720_bp52,183.47,19.64,63.9,337.15,177.79,290.05
40118_sd849_sl14_pd254_pl10_sv9_bp12_ba610_bp55,166.18,18.1,56.96,262.1,177.19,232.47
40119_sd706_sl7_pd146_pl11_sv9_bp12_ba770_bp58,206.67,15.25,52.93,243.68,205.37,226.78
40120_sd745_sl8_pd196_pl9_sv9_bp11_ba760_bp57,204.7,16.77,55.36,225.85,210.63,240.87
40121_sd762_sl8_pd231_pl11_sv7_bp11_ba830_bp76,198.67,16.7,55.3,255.09,203.08,211.38
40122_sd853_sl12_pd200_pl9_sv8_bp11_ba710_bp71,183.47,20.11,65.76,344.98,194.58,294.75
40123_sd736_sl8_pd172_pl11_sv11_bp12_ba480_bp58,142.01,15.7,44.71,205.5,162.59,226.25
40124_sd744_sl13_pd216_pl8_sv9_bp13_ba880_bp55,242.73,18.78,63.54,283.15,256.44,290.22
40125_sd734_sl10_pd220_pl13_sv8_bp14_ba560_bp58,143.22,16.07,57.06,280.38,156.48,252.36
40126_sd777_sl5_pd168_pl10_sv9_bp12_ba610_bp55,179.1,18.77,60.85,342.19,193.36,298.63
40127_sd858_sl10_pd283_pl10_sv10_bp13_ba820_bp77,207.63,18.0,57.66,241.86,200.44,221.22
40128_sd650_sl7_pd218_pl10_sv6_bp12_ba680_bp63,161.83,13.85,47.22,195.62,145.59,159.16
40129_sd708_sl8_pd160_pl11_sv11_bp12_ba810_bp50,208.22,17.63,59.59,274.65,210.39,256.09
40130_sd710_sl8_pd188_pl12_sv4_bp11_ba610_bp41,145.74,12.81,44.22,179.18,136.28,135.23
40131_sd760_sl12_pd254_pl11_sv6_bp14_ba620_bp61,149.71,14.22,46.82,196.2,139.75,160.67
40132_sd728_sl8_pd247_pl10_sv8_bp13_ba780_bp59,194.98,16.25,57.76,236.66,216.12,218.02
40133_sd769_sl8_pd217_pl11_sv7_bp13_ba430_bp79,109.27,12.0,33.92,141.92,106.2,128.73
40134_sd875_sl10_pd201_pl12_sv10_bp12_ba720_bp66,176.16,17.64,56.77,232.1,188.23,240.63
