load_case,out_oopDisp_mm_n2,out_supReac_kN_n3,out_supReac_kN_n4,out_verDisp_mm_n5,out_oopDisp_mm_n5,out_endBend_kNm_n6
49001_sd661_sl11_pd173_pl9_sv6_bp12_ba700_bp58,193.58,14.98,52.75,226.02,197.87,190.74
49002_sd700_sl11_pd186_pl9_sv5_bp12_ba720_bp53,171.72,13.62,49.76,195.31,157.95,157.27
49003_sd729_sl11_pd195_pl11_sv10_bp12_ba760_bp56,176.24,17.45,58.75,255.14,179.3,228.94
49004_sd692_sl9_pd251_pl14_sv10_bp12_ba670_bp62,172.87,15.1,46.3,206.28,179.81,207.08
49005_sd809_sl11_pd61_pl8_sv4_bp12_ba820_bp58,194.33,15.15,56.36,248.17,171.73,178.19
49006_sd694_sl11_pd179_pl9_sv8_bp14_ba590_bp68,150.29,15.2,50.42,217.69,160.8,191.01
49007_sd699_sl12_pd147_pl9_sv11_bp13_ba660_bp54,174.63,16.26,57.44,225.73,174.73,275.88
49008_sd605_sl11_pd159_pl10_sv9_bp11_ba810_bp48,190.68,17.23,53.85,232.2,201.79,214.51
49009_sd794_sl10_pd251_pl8_sv6_bp12_ba530_bp61,124.41,12.29,34.09,154.88,120.88,136.24
49010_sd667_sl7_pd212_pl8_sv6_bp10_ba670_bp71,166.51,13.74,48.07,192.67,156.83,146.51
49011_sd820_sl8_pd310_pl9_sv11_bp12_ba590_bp61,194.02,17.34,49.82,214.07,234.65,284.34
49012_sd766_sl12_pd199_pl7_sv12_bp11_ba500_bp47,146.87,15.67,44.35,193.43,193.22,301.43
49013_sd712_sl7_pd170_pl12_sv7_bp13_ba870_bp87,206.69,15.64,54.5,249.52,193.8,192.74
49014_sd784_sl14_pd195_pl11_sv9_bp12_ba660_bp66,162.42,14.13,49.46,201.23,171.49,201.37
49015_sd753_sl7_pd145_pl11_sv11_bp12_ba720_bp68,188.0,16.66,56.57,239.75,201.61,245.01
49016_sd641_sl14_pd140_pl11_sv8_bp12_ba670_bp60,160.83,15.13,49.04,194.53,166.64,168.18
49017_sd802_sl13_pd112_pl10_sv7_bp11_ba660_bp60,163.06,14.64,49.4,205.4,172.05,198.9
49018_sd759_sl11_pd204_pl10_sv6_bp12_ba800_bp63,195.35,16.19,57.63,262.99,190.12,214.12
49019_sd761_sl8_pd158_pl14_sv8_bp11_ba660_bp52,165.05,15.04,50.71,224.05,167.02,180.15
49020_sd853_sl9_pd242_pl13_sv7_bp13_ba710_bp50,169.74,15.84,57.56,263.94,173.92,233.54
49021_sd831_sl12_pd151_pl10_sv11_bp12_ba760_bp58,187.69,18.5,63.66,274.55,206.56,325.48
49022_sd736_sl9_pd171_pl12_sv7_bp11_ba790_bp50,191.28,17.89,63.06,309.39,185.48,275.6
49023_sd830_sl10_pd178_pl11_sv6_bp12_ba660_bp46,171.17,13.42,43.02,182.96,171.45,158.89
49024_sd593_sl8_pd231_pl9_sv10_bp11_ba620_bp74,160.2,14.35,46.81,195.06,164.02,166.54
49025_sd766_sl9_pd178_pl8_sv8_bp11_ba700_bp54,187.82,14.75,47.13,203.48,167.73,189.06
49026_sd792_sl7_pd205_pl11_sv9_bp11_ba640_bp60,168.52,13.95,48.21,190.04,169.67,190.72
49027_sd697_sl9_pd219_pl12_sv9_bp13_ba610_bp67,175.25,15.62,48.01,220.76,181.17,187.9
49028_sd788_sl10_pd233_pl11_sv8_bp11_ba640_bp91,164.91,18.18,60.11,304.45,149.13,259.24
49029_sd701_sl10_pd172_pl10_sv13_bp13_ba700_bp79,187.35,15.64,55.15,239.34,252.54,381.14
49030_sd689_sl7_pd361_pl13_sv9_bp12_ba650_bp89,190.89,15.28,47.0,205.1,210.15,208.13
49031_sd823_sl13_pd220_pl10_sv8_bp12_ba670_bp58,165.3,15.79,56.32,246.98,176.71,244.92
49032_sd620_sl10_pd186_pl7_sv6_bp12_ba700_bp66,166.49,13.73,46.74,196.58,160.03,147.89
49033_sd744_sl6_pd206_pl7_sv9_bp12_ba720_bp70,203.07,15.37,52.65,226.38,219.41,228.05
49034_sd738_sl10_pd128_pl10_sv7_bp11_ba820_bp81,197.6,19.02,62.43,328.51,191.89,278.84
49035_sd781_sl6_pd215_pl9_sv10_bp12_ba810_bp62,236.45,18.54,56.54,263.38,260.79,261.67
49036_sd791_sl7_pd203_pl11_sv8_bp12_ba660_bp38,208.78,15.92,46.56,227.28,240.61,246.15
49037_sd723_sl9_pd242_pl9_sv8_bp12_ba730_bp57,187.07,15.21,50.77,207.36,179.82,195.23
49038_sd763_sl11_pd263_pl9_sv3_bp11_ba660_bp61,147.94,13.7,47.93,190.16,137.02,131.71
49039_sd782_sl10_pd181_pl8_sv9_bp12_ba870_bp36,212.27,16.76,58.48,259.01,216.98,273.93
49040_sd798_sl7_pd275_pl11_sv7_bp11_ba750_bp71,182.31,15.83,53.06,220.94,172.13,177.62
49041_sd830_sl11_pd194_pl9_sv4_bp12_ba690_bp59,165.5,14.73,52.43,216.83,160.62,178.85
49042_sd820_sl10_pd281_pl13_sv9_bp11_ba670_bp68,188.14,16.55,54.18,230.13,192.25,187.11
49043_sd673_sl9_pd232_pl10_sv7_bp14_ba790_bp43,187.33,15.26,53.74,236.95,167.04,200.47
49044_sd703_sl6_pd246_pl10_sv13_bp11_ba680_bp57,393.8,22.57,61.35,409.6,567.01,425.3
49045_sd716_sl10_pd210_pl10_sv5_bp12_ba490_bp46,119.73,11.78,36.88,153.98,118.37,135.9
49046_sd835_sl7_pd194_pl9_sv9_bp11_ba750_bp61,199.55,15.43,52.51,220.06,195.04,201.41
49047_sd667_sl11_pd236_pl11_sv8_bp12_ba720_bp69,165.74,15.31,54.53,218.96,161.82,188.88
49048_sd727_sl11_pd223_pl13_sv7_bp12_ba690_bp73,184.13,15.37,52.24,230.2,193.9,183.94
49049_sd810_sl8_pd162_pl9_sv6_bp13_ba700_bp64,171.35,14.8,54.03,223.27,166.86,197.81
49050_sd765_sl15_pd264_pl14_sv5_bp12_ba610_bp62,144.79,15.08,46.75,199.08,135.59,157.37
49051_sd665_sl11_pd132_pl12_sv9_bp13_ba870_bp50,218.51,17.43,60.95,299.08,218.08,272.9
49052_sd735_sl10_pd213_pl8_sv7_bp12_ba620_bp48,161.55,14.36,47.35,188.82,154.46,160.61
49053_sd687_sl6_pd173_pl9_sv8_bp13_ba630_bp68,170.59,14.4,50.66,237.03,161.9,216.61
49054_sd839_sl9_pd203_pl9_sv5_bp13_ba890_bp59,214.91,16.74,57.25,253.02,196.16,200.69
49055_sd699_sl10_pd165_pl11_sv8_bp12_ba600_bp63,149.25,15.0,48.57,222.11,156.97,195.03
49056_sd833_sl11_pd221_pl6_sv5_bp12_ba700_bp58,169.72,14.71,50.31,202.27,160.31,173.94
49057_sd695_sl4_pd246_pl9_sv7_bp10_ba810_bp57,197.35,17.39,60.07,295.78,195.71,238.09
49058_sd741_sl12_pd190_pl8_sv6_bp11_ba680_bp39,173.23,13.99,48.97,208.09,170.9,155.57
49059_sd733_sl8_pd177_pl9_sv6_bp13_ba620_bp62,144.9,15.64,54.97,249.43,153.59,215.53
49060_sd776_sl11_pd200_pl11_sv6_bp13_ba670_bp65,191.22,14.37,48.78,219.84,202.43,177.05
49061_sd829_sl10_pd178_pl12_sv9_bp11_ba640_bp75,158.59,16.73,58.55,264.79,162.52,220.41
49062_sd815_sl12_pd183_pl11_sv10_bp14_ba720_bp58,210.44,17.44,58.28,256.65,220.08,229.92
49063_sd671_sl11_pd181_pl13_sv6_bp10_ba820_bp78,188.54,15.28,53.15,236.46,168.69,183.65
49064_sd665_sl11_pd139_pl14_sv7_bp10_ba730_bp78,203.0,16.49,53.47,252.57,204.2,198.37
49065_sd559_sl14_pd201_pl10_sv8_bp13_ba610_bp87,147.44,12.82,41.53,168.68,136.93,131.73
49066_sd826_sl8_pd226_pl11_sv7_bp14_ba850_bp60,199.6,16.12,55.77,242.03,195.65,201.9
49067_sd765_sl10_pd220_pl10_sv10_bp11_ba700_bp43,170.63,17.94,54.88,223.55,179.9,232.45
49068_sd692_sl8_pd153_pl12_sv11_bp13_ba640_bp60,163.92,15.18,50.79,221.34,164.69,267.84
49069_sd712_sl15_pd328_pl10_sv8_bp12_ba780_bp53,185.92,15.69,54.83,226.79,183.48,176.07
49070_sd664_sl7_pd252_pl12_sv10_bp12_ba800_bp66,202.18,16.42,55.36,262.21,190.27,246.71
49071_sd828_sl13_pd265_pl12_sv9_bp11_ba680_bp49,176.2,17.32,58.65,270.14,181.45,219.98
49072_sd815_sl9_pd206_pl11_sv6_bp11_ba700_bp58,172.4,14.54,52.46,216.0,169.84,189.43
49073_sd798_sl8_pd231_pl10_sv9_bp12_ba600_bp52,153.57,13.89,45.48,176.84,162.58,207.49
49074_sd784_sl12_pd239_pl9_sv9_bp12_ba820_bp59,244.2,18.47,61.46,289.54,275.03,310.24
49075_sd639_sl13_pd176_pl11_sv7_bp11_ba740_bp75,193.11,15.22,53.49,241.55,206.18,178.83
49076_sd746_sl7_pd163_pl12_sv5_bp13_ba550_bp53,134.23,12.15,41.18,171.58,124.55,135.11
49077_sd872_sl11_pd176_pl9_sv9_bp12_ba820_bp73,208.85,18.03,59.33,244.61,198.13,241.37
49078_sd672_sl9_pd164_pl9_sv8_bp11_ba650_bp59,158.37,14.01,49.72,200.55,154.97,185.29
49079_sd757_sl12_pd219_pl10_sv7_bp11_ba760_bp60,190.8,15.5,56.59,244.26,185.17,189.67
49080_sd802_sl11_pd223_pl8_sv7_bp12_ba820_bp45,198.45,15.98,58.24,241.97,188.61,207.3
49081_sd715_sl9_pd219_pl14_sv7_bp11_ba690_bp57,180.67,16.22,53.71,242.41,175.22,204.94
49082_sd682_sl10_pd169_pl8_sv9_bp13_ba890_bp57,215.75,18.57,63.68,286.41,214.58,289.52
49083_sd797_sl8_pd157_pl10_sv9_bp12_ba760_bp72,201.81,16.27,54.68,216.32,210.64,233.49
49084_sd792_sl7_pd206_pl12_sv9_bp12_ba720_bp75,208.49,15.67,52.38,234.89,240.69,267.29
49085_sd609_sl10_pd223_pl11_sv5_bp11_ba660_bp63,154.18,13.87,46.05,184.48,134.21,134.88
49086_sd805_sl9_pd153_pl12_sv10_bp13_ba740_bp68,196.59,16.38,54.75,229.12,216.42,243.87
49087_sd762_sl11_pd234_pl11_sv5_bp11_ba690_bp55,160.63,14.63,50.6,212.06,149.35,161.24
49088_sd774_sl10_pd208_pl10_sv9_bp12_ba620_bp75,152.08,14.15,46.41,181.68,149.75,174.14
49089_sd881_sl10_pd189_pl11_sv8_bp13_ba720_bp67,179.59,19.8,61.76,307.98,190.18,268.73
49090_sd656_sl9_pd235_pl13_sv6_bp12_ba690_bp48,175.5,15.04,53.18,236.58,177.88,186.08
49091_sd742_sl11_pd230_pl12_sv11_bp10_ba770_bp78,185.98,16.96,56.26,250.17,184.75,230.97
49092_sd582_sl11_pd238_pl13_sv10_bp11_ba750_bp59,187.42,15.43,51.98,220.43,184.45,205.48
49093_sd677_sl11_pd95_pl9_sv9_bp13_ba700_bp74,213.81,16.23,54.48,249.85,251.73,228.8
49094_sd858_sl6_pd227_pl11_sv10_bp10_ba720_bp67,204.18,18.01,58.81,289.02,216.23,250.1
49095_sd782_sl12_pd169_pl10_sv9_bp11_ba580_bp58,159.49,16.54,53.31,258.69,165.44,233.68
49096_sd666_sl8_pd212_pl7_sv7_bp12_ba810_bp50,190.46,15.86,54.27,222.12,190.19,175.0
49097_sd807_sl11_pd136_pl12_sv9_bp12_ba740_bp69,183.37,18.46,60.62,306.22,204.79,272.07
49098_sd867_sl11_pd223_pl10_sv8_bp11_ba810_bp67,203.7,20.18,66.3,352.28,202.82,296.68
49099_sd803_sl13_pd292_pl13_sv6_bp11_ba670_bp59,161.19,16.1,49.36,222.74,147.19,184.15
49100_sd694_sl10_pd163_pl13_sv10_bp12_ba550_bp47,168.8,13.95,42.82,201.18,194.01,197.22
49101_sd726_sl13_pd186_pl10_sv11_bp13_ba700_bp51,176.86,16.47,58.71,250.37,207.4,259.96
49102_sd708_sl11_pd215_pl12_sv6_bp13_ba730_bp67,200.51,16.08,53.76,247.53,201.94,192.62
49103_sd701_sl11_pd250_pl14_sv10_bp12_ba560_bp59,144.42,13.96,44.57,189.62,156.02,199.07
49104_sd723_sl12_pd295_pl8_sv7_bp14_ba840_bp56,188.41,15.77,56.22,243.45,173.95,201.16
49105_sd702_sl10_pd159_pl14_sv7_bp14_ba500_bp37,124.35,12.51,38.2,174.18,134.22,152.77
49106_sd717_sl8_pd193_pl6_sv8_bp12_ba780_bp60,190.19,16.67,59.99,263.99,190.8,233.56
49107_sd811_sl10_pd232_pl8_sv11_bp10_ba630_bp51,209.99,18.1,50.31,220.41,240.67,305.85
49108_sd822_sl11_pd161_pl11_sv10_bp13_ba610_bp51,151.72,16.0,48.68,205.03,163.85,240.75
49109_sd778_sl11_pd195_pl7_sv11_bp13_ba620_bp73,177.69,17.71,50.41,185.71,174.56,220.2
49110_sd913_sl11_pd358_pl7_sv10_bp13_ba670_bp63,177.18,16.61,57.75,251.52,192.62,244.96
49111_sd804_sl10_pd170_pl10_sv7_bp12_ba570_bp52,150.19,17.92,58.05,283.18,154.23,271.35
49112_sd741_sl7_pd237_pl10_sv6_bp14_ba630_bp56,149.38,13.17,48.9,200.01,143.74,169.5
49113_sd808_sl10_pd221_pl9_sv6_bp13_ba680_bp32,168.79,13.99,50.29,214.0,175.68,180.34
49114_sd675_sl9_pd192_pl12_sv8_bp12_ba830_bp74,212.88,17.95,59.25,294.81,212.92,236.43
49115_sd728_sl11_pd131_pl11_sv9_bp12_ba840_bp57,204.57,17.38,59.87,292.03,214.63,280.15
49116_sd667_sl10_pd189_pl13_sv9_bp12_ba690_bp66,180.04,16.47,58.41,287.94,188.79,258.64
49117_sd814_sl9_pd147_pl7_sv7_bp12_ba630_bp60,167.48,13.79,46.3,192.87,149.84,159.68
49118_sd848_sl10_pd189_pl9_sv7_bp12_ba670_bp57,159.93,14.21,52.75,229.45,168.51,207.39
49119_sd758_sl9_pd206_pl12_sv10_bp12_ba620_bp86,189.01,14.83,45.16,213.21,220.9,198.2
49120_sd663_sl9_pd290_pl10_sv8_bp12_ba610_bp63,155.97,13.38,45.46,191.34,159.21,183.24
49121_sd653_sl6_pd217_pl11_sv9_bp13_ba690_bp52,176.08,14.69,51.15,209.15,173.84,186.42
49122_sd757_sl9_pd173_pl8_sv4_bp10_ba650_bp64,150.08,13.39,47.42,190.76,136.12,145.81
