load_case,out_oopDisp_mm_n2,out_supReac_kN_n3,out_supReac_kN_n4,out_verDisp_mm_n5,out_oopDisp_mm_n5,out_endBend_kNm_n6
26001_sd726_sl13_pd253_pl10_sv5_bp12_ba660_bp51,153.93,13.89,46.43,199.75,144.46,153.74
26002_sd825_sl8_pd236_pl12_sv8_bp13_ba790_bp69,209.18,18.48,61.67,296.2,196.12,263.26
26003_sd759_sl12_pd198_pl13_sv9_bp13_ba750_bp68,187.79,16.56,59.05,274.6,184.43,282.11
26004_sd692_sl9_pd224_pl8_sv10_bp11_ba900_bp68,238.91,18.39,61.95,294.77,225.11,313.24
26005_sd813_sl12_pd226_pl8_sv17_bp14_ba670_bp46,393.28,20.04,61.6,315.9,504.5,558.16
26006_sd747_sl13_pd248_pl12_sv7_bp11_ba650_bp52,173.65,15.38,51.15,214.99,168.56,181.63
26007_sd782_sl10_pd214_pl11_sv9_bp11_ba830_bp60,205.92,18.74,54.26,241.37,214.53,234.66
26008_sd842_sl7_pd226_pl13_sv11_bp13_ba710_bp52,188.39,17.59,57.85,281.67,173.3,325.75
26009_sd797_sl7_pd232_pl11_sv10_bp13_ba670_bp77,186.66,15.86,56.08,232.54,180.39,247.36
26010_sd787_sl7_pd219_pl10_sv5_bp10_ba830_bp55,193.9,15.3,55.66,260.85,179.31,195.98
26011_sd708_sl14_pd153_pl7_sv9_bp10_ba600_bp54,251.18,15.98,54.06,278.54,323.32,273.44
26012_sd760_sl9_pd136_pl11_sv6_bp11_ba690_bp51,203.62,14.36,51.92,232.84,219.43,215.65
26013_sd871_sl11_pd233_pl12_sv9_bp11_ba610_bp69,156.75,17.84,60.6,297.54,164.92,254.2
26014_sd759_sl10_pd222_pl13_sv12_bp12_ba850_bp70,232.3,20.21,69.13,373.79,257.56,390.92
26015_sd634_sl12_pd250_pl14_sv9_bp13_ba710_bp75,169.45,14.88,51.26,216.7,159.22,175.4
26016_sd826_sl6_pd141_pl11_sv6_bp13_ba590_bp51,139.74,12.34,40.68,174.04,134.47,134.36
26017_sd784_sl8_pd175_pl11_sv6_bp13_ba740_bp66,175.3,14.19,50.96,204.6,171.47,155.16
26018_sd613_sl7_pd148_pl9_sv4_bp11_ba610_bp55,168.19,13.16,42.5,193.07,176.51,142.54
26019_sd613_sl8_pd147_pl8_sv9_bp12_ba740_bp59,193.09,14.62,52.52,217.32,178.77,187.88
26020_sd802_sl11_pd229_pl6_sv8_bp12_ba690_bp66,177.67,16.19,51.68,228.3,197.21,207.9
26021_sd623_sl7_pd206_pl7_sv10_bp11_ba640_bp52,195.1,15.41,50.25,226.55,237.19,244.07
26022_sd766_sl9_pd298_pl11_sv7_bp12_ba660_bp61,155.29,14.34,47.28,192.64,147.62,176.1
26023_sd682_sl11_pd168_pl11_sv9_bp12_ba700_bp54,170.42,16.71,56.24,262.35,176.87,241.4
26024_sd850_sl9_pd233_pl13_sv7_bp10_ba640_bp46,169.6,15.24,49.04,210.8,170.82,160.84
26025_sd643_sl8_pd302_pl6_sv10_bp12_ba590_bp50,174.82,13.96,45.91,198.55,186.67,214.99
26026_sd763_sl7_pd155_pl7_sv11_bp12_ba920_bp83,333.73,22.4,65.88,361.6,424.05,351.36
26027_sd691_sl4_pd145_pl10_sv8_bp13_ba820_bp68,213.57,21.75,66.21,394.91,219.68,346.91
26028_sd704_sl10_pd269_pl12_sv7_bp12_ba630_bp70,153.36,14.39,49.19,214.52,143.03,187.81
26029_sd775_sl9_pd181_pl12_sv13_bp11_ba780_bp63,221.07,23.78,64.78,375.52,300.28,381.98
26030_sd945_sl8_pd140_pl8_sv8_bp11_ba800_bp70,202.61,16.37,55.53,214.66,204.19,218.11
