load_case,out_oopDisp_mm_n2,out_supReac_kN_n3,out_supReac_kN_n4,out_verDisp_mm_n5,out_oopDisp_mm_n5,out_endBend_kNm_n6
15001_sd791_sl12_pd134_pl10_sv8_bp11_ba640_bp60,167.29,17.79,62.03,318.14,170.3,286.77
15002_sd809_sl11_pd219_pl5_sv11_bp14_ba610_bp62,241.08,16.42,44.09,250.75,298.78,287.13
15003_sd650_sl11_pd238_pl13_sv8_bp12_ba600_bp62,140.27,14.07,45.87,191.99,144.5,171.15
15004_sd739_sl10_pd303_pl9_sv9_bp12_ba680_bp56,160.95,15.64,48.9,206.45,174.7,211.34
15005_sd721_sl11_pd150_pl7_sv15_bp13_ba640_bp62,400.24,21.43,54.91,319.76,515.16,500.08
15006_sd748_sl12_pd228_pl10_sv5_bp12_ba840_bp44,191.11,15.79,55.93,252.62,171.34,191.39
15007_sd681_sl8_pd247_pl11_sv9_bp11_ba700_bp60,178.85,14.58,49.38,209.56,197.19,188.35
15008_sd773_sl13_pd201_pl13_sv7_bp12_ba630_bp69,178.57,15.55,50.98,233.33,188.49,200.07
15009_sd701_sl10_pd239_pl7_sv7_bp12_ba690_bp52,167.76,13.93,51.95,222.79,159.35,186.34
15010_sd673_sl11_pd214_pl8_sv10_bp12_ba780_bp54,197.64,15.42,57.16,242.99,193.57,251.25
15011_sd689_sl11_pd143_pl10_sv7_bp13_ba820_bp49,196.43,17.17,60.45,289.09,195.18,269.78
15012_sd698_sl10_pd183_pl12_sv7_bp13_ba780_bp61,185.32,15.65,54.36,240.28,180.88,190.24
15013_sd686_sl13_pd219_pl10_sv9_bp13_ba680_bp63,175.73,16.66,60.0,292.51,173.91,267.82
15014_sd818_sl10_pd360_pl8_sv10_bp12_ba760_bp48,197.51,16.73,60.85,240.45,206.08,279.3
15015_sd738_sl7_pd205_pl10_sv5_bp12_ba770_bp78,181.94,15.14,52.12,228.88,162.48,177.88
15016_sd724_sl10_pd242_pl12_sv5_bp12_ba820_bp61,188.74,15.14,53.4,231.58,174.37,169.43
15017_sd772_sl10_pd153_pl8_sv8_bp13_ba700_bp57,174.57,15.18,52.03,205.81,178.86,210.2
15018_sd690_sl11_pd206_pl8_sv9_bp13_ba660_bp53,188.93,14.54,48.83,207.5,196.63,220.1
15019_sd872_sl12_pd198_pl8_sv13_bp13_ba570_bp56,189.81,17.14,49.59,228.03,251.22,432.37
15020_sd622_sl7_pd309_pl7_sv9_bp13_ba690_bp49,175.72,15.66,51.07,225.84,182.36,199.82
15021_sd811_sl7_pd232_pl10_sv11_bp11_ba730_bp63,222.32,18.53,57.85,288.35,246.06,269.28
15022_sd926_sl11_pd165_pl8_sv5_bp12_ba800_bp41,191.44,16.38,59.22,260.05,183.12,205.97
15023_sd830_sl10_pd225_pl8_sv6_bp12_ba700_bp60,162.99,14.69,48.37,207.62,149.05,183.87
15024_sd798_sl12_pd209_pl11_sv7_bp12_ba670_bp76,192.75,16.09,55.21,251.11,198.54,214.99
15025_sd875_sl10_pd163_pl8_sv5_bp12_ba500_bp66,142.68,13.21,43.81,199.54,154.77,156.41
15026_sd756_sl8_pd167_pl11_sv7_bp11_ba620_bp61,148.55,13.73,44.54,199.08,144.03,181.42
15027_sd878_sl10_pd291_pl10_sv8_bp11_ba800_bp66,193.13,16.23,57.15,261.68,177.0,245.1
15028_sd769_sl11_pd270_pl13_sv7_bp12_ba940_bp58,228.14,17.57,58.39,264.19,198.73,238.56
15029_sd719_sl9_pd236_pl11_sv7_bp13_ba570_bp59,144.29,13.23,43.2,171.85,143.2,137.67
15030_sd830_sl7_pd211_pl10_sv8_bp12_ba580_bp47,159.98,13.37,40.85,179.19,164.38,185.81
15031_sd701_sl9_pd152_pl14_sv7_bp11_ba590_bp69,149.3,13.88,45.8,203.34,151.95,151.0
