load_case,out_oopDisp_mm_n2,out_supReac_kN_n3,out_supReac_kN_n4,out_verDisp_mm_n5,out_oopDisp_mm_n5,out_endBend_kNm_n6
07001_sd647_sl9_pd129_pl11_sv7_bp12_ba480_bp68,121.48,12.41,36.91,156.63,121.02,122.93
07002_sd751_sl10_pd218_pl7_sv6_bp12_ba600_bp66,145.69,13.04,40.42,171.24,139.54,139.23
07003_sd850_sl7_pd379_pl11_sv9_bp10_ba580_bp61,153.88,14.16,43.77,174.77,175.56,167.9
07004_sd712_sl11_pd125_pl10_sv8_bp12_ba640_bp50,165.9,19.08,59.61,333.03,168.75,272.58
07005_sd796_sl8_pd120_pl9_sv9_bp12_ba650_bp61,170.56,15.08,48.0,185.73,177.28,225.86
07006_sd809_sl6_pd128_pl9_sv6_bp11_ba790_bp50,194.46,15.22,53.95,227.25,185.9,201.08
07007_sd889_sl8_pd145_pl13_sv10_bp11_ba780_bp72,232.51,18.32,56.97,248.95,259.13,304.63
07008_sd648_sl7_pd171_pl12_sv4_bp12_ba600_bp63,142.85,12.43,41.67,170.87,129.07,124.01
07009_sd751_sl11_pd144_pl10_sv8_bp13_ba670_bp53,167.06,16.53,55.88,268.57,177.53,238.92
07010_sd821_sl9_pd145_pl8_sv11_bp12_ba740_bp52,227.46,17.31,58.14,263.71,251.33,318.8
07011_sd774_sl9_pd262_pl10_sv8_bp10_ba740_bp49,184.37,15.22,55.0,211.14,174.39,195.23
07012_sd800_sl8_pd262_pl8_sv6_bp10_ba740_bp58,173.71,15.6,54.57,233.26,173.56,196.75
07013_sd773_sl9_pd241_pl11_sv5_bp13_ba630_bp53,151.58,13.57,41.35,186.0,143.81,129.92
07014_sd752_sl9_pd234_pl11_sv8_bp12_ba600_bp58,167.08,14.25,44.3,196.76,184.57,179.47
07015_sd759_sl11_pd153_pl11_sv11_bp13_ba610_bp76,164.9,16.95,48.33,195.17,158.53,197.93
07016_sd777_sl10_pd235_pl12_sv7_bp12_ba730_bp51,175.64,15.81,53.69,218.96,173.11,196.35
07017_sd643_sl13_pd221_pl8_sv7_bp12_ba650_bp42,154.23,13.58,43.99,180.61,143.89,142.12
07018_sd573_sl8_pd143_pl12_sv10_bp11_ba510_bp69,140.53,11.74,37.51,162.48,142.82,223.42
07019_sd632_sl10_pd206_pl8_sv10_bp11_ba850_bp70,212.5,16.01,57.05,251.48,212.1,223.68
07020_sd688_sl11_pd244_pl10_sv8_bp12_ba680_bp46,169.31,18.25,61.95,309.44,167.2,289.15
07021_sd604_sl10_pd262_pl7_sv6_bp12_ba690_bp80,163.38,13.97,50.27,203.88,148.03,160.78
07022_sd711_sl12_pd170_pl12_sv9_bp12_ba850_bp56,211.1,19.47,67.01,357.21,217.19,333.73
07023_sd680_sl12_pd143_pl10_sv12_bp12_ba670_bp60,184.31,16.65,57.49,258.06,191.77,283.04
07024_sd863_sl12_pd220_pl8_sv8_bp10_ba720_bp71,216.45,17.08,57.4,256.46,250.77,189.96
07025_sd701_sl11_pd205_pl9_sv9_bp13_ba710_bp60,186.96,15.93,54.29,224.4,176.33,203.39
