load_case,out_oopDisp_mm_n2,out_supReac_kN_n3,out_supReac_kN_n4,out_verDisp_mm_n5,out_oopDisp_mm_n5,out_endBend_kNm_n6
36001_sd742_sl12_pd240_pl10_sv7_bp13_ba750_bp55,184.56,15.59,56.2,245.63,195.16,188.83
36002_sd810_sl9_pd234_pl11_sv7_bp12_ba620_bp55,155.0,16.07,55.87,249.45,157.19,236.41
36003_sd800_sl13_pd290_pl14_sv8_bp12_ba630_bp48,171.48,14.85,44.38,220.97,187.49,182.43
36004_sd668_sl9_pd188_pl11_sv10_bp10_ba740_bp65,176.55,15.75,53.19,214.98,177.97,226.68
36005_sd755_sl10_pd186_pl10_sv9_bp13_ba760_bp58,190.57,16.18,57.47,224.72,183.51,223.4
36006_sd807_sl10_pd156_pl10_sv8_bp11_ba570_bp75,150.77,17.1,59.93,289.21,145.23,284.16
36007_sd869_sl8_pd192_pl9_sv8_bp12_ba820_bp66,211.78,16.43,56.2,235.9,219.37,217.89
36008_sd713_sl7_pd232_pl12_sv12_bp12_ba630_bp57,173.71,16.6,51.64,221.87,205.85,243.1
36009_sd801_sl8_pd177_pl8_sv9_bp10_ba760_bp57,216.78,15.39,54.22,239.79,202.9,216.54
36010_sd612_sl11_pd209_pl10_sv9_bp11_ba650_bp51,170.11,14.27,49.8,230.6,176.83,185.3
36011_sd686_sl10_pd135_pl12_sv10_bp13_ba700_bp57,182.44,15.48,52.28,222.68,198.41,221.76
36012_sd828_sl12_pd227_pl10_sv8_bp9_ba660_bp60,171.07,19.3,64.45,347.12,191.81,286.96
36013_sd619_sl12_pd236_pl11_sv9_bp12_ba770_bp48,185.25,15.51,54.02,237.98,199.79,209.2
36014_sd554_sl12_pd195_pl11_sv8_bp11_ba720_bp59,172.65,16.77,57.7,282.92,167.29,240.47
36015_sd785_sl8_pd186_pl7_sv9_bp12_ba670_bp70,194.96,16.66,52.01,230.87,211.25,242.03
36016_sd655_sl11_pd184_pl10_sv7_bp12_ba630_bp57,155.12,14.07,47.67,202.5,155.59,152.93
36017_sd711_sl10_pd219_pl9_sv10_bp13_ba740_bp50,197.0,15.84,54.02,235.56,188.65,229.25
36018_sd897_sl10_pd272_pl7_sv4_bp12_ba830_bp67,190.51,16.09,57.06,225.31,167.67,173.1
36019_sd844_sl10_pd267_pl10_sv13_bp13_ba760_bp70,228.46,18.38,64.18,270.18,296.89,450.56
36020_sd766_sl10_pd218_pl9_sv9_bp14_ba570_bp60,152.41,14.08,44.74,165.39,146.66,182.23
36021_sd766_sl5_pd82_pl9_sv9_bp12_ba610_bp83,189.24,17.35,49.44,232.96,211.17,177.47
36022_sd805_sl12_pd214_pl9_sv9_bp10_ba770_bp54,196.9,17.1,57.76,254.23,204.98,250.31
36023_sd722_sl10_pd164_pl11_sv8_bp11_ba610_bp54,148.9,16.8,57.07,276.73,150.81,238.85
36024_sd553_sl10_pd225_pl9_sv8_bp12_ba710_bp69,173.74,13.76,50.11,218.88,164.01,204.96
36025_sd874_sl9_pd202_pl11_sv5_bp14_ba830_bp68,195.62,15.49,55.15,254.19,185.96,192.08
36026_sd839_sl7_pd126_pl13_sv5_bp11_ba710_bp80,173.08,14.16,47.38,200.14,163.92,152.09
36027_sd638_sl13_pd183_pl9_sv10_bp10_ba600_bp63,159.06,14.31,47.59,200.55,168.0,219.66
36028_sd768_sl10_pd183_pl12_sv5_bp10_ba610_bp66,145.4,13.56,42.71,175.72,137.38,146.44
36029_sd760_sl7_pd92_pl12_sv7_bp10_ba600_bp89,174.51,14.32,47.2,206.28,183.85,176.67
36030_sd706_sl9_pd215_pl6_sv10_bp12_ba540_bp69,167.57,14.59,42.32,191.34,194.93,239.2
36031_sd739_sl12_pd228_pl8_sv11_bp12_ba750_bp49,198.59,18.2,65.96,332.98,208.54,340.49
36032_sd667_sl11_pd294_pl12_sv8_bp10_ba700_bp68,166.81,14.24,53.03,211.93,150.7,183.35
36033_sd730_sl7_pd149_pl15_sv9_bp11_ba840_bp61,257.84,16.83,57.37,312.64,300.61,328.49
36034_sd681_sl12_pd196_pl8_sv6_bp12_ba660_bp68,159.11,13.74,48.09,197.4,147.98,151.37
36035_sd794_sl12_pd205_pl9_sv5_bp13_ba630_bp61,152.32,13.86,46.9,186.52,141.95,132.8
36036_sd635_sl7_pd181_pl8_sv7_bp12_ba820_bp52,189.98,15.24,53.57,219.04,181.17,164.18
36037_sd821_sl10_pd196_pl11_sv7_bp13_ba610_bp59,152.37,15.65,56.85,245.17,156.42,243.05
36038_sd817_sl13_pd220_pl9_sv9_bp13_ba610_bp81,175.55,16.26,47.11,209.22,202.12,236.2
36039_sd727_sl9_pd199_pl8_sv10_bp12_ba740_bp48,206.94,16.66,57.06,238.27,209.47,280.44
36040_sd587_sl9_pd258_pl11_sv7_bp12_ba740_bp74,171.06,14.17,50.7,208.34,157.0,161.46
36041_sd796_sl7_pd154_pl12_sv9_bp11_ba670_bp60,186.93,15.13,48.98,215.44,207.68,229.84
36042_sd718_sl11_pd168_pl13_sv7_bp11_ba740_bp68,170.58,15.04,52.99,237.59,164.81,179.56
36043_sd793_sl11_pd156_pl9_sv13_bp14_ba710_bp61,203.56,17.84,58.12,255.66,265.76,436.75
36044_sd649_sl14_pd137_pl13_sv9_bp11_ba550_bp52,148.18,14.04,41.67,181.31,160.79,163.12
36045_sd898_sl11_pd163_pl8_sv8_bp14_ba590_bp69,200.87,15.83,49.91,223.17,255.45,226.27
36046_sd695_sl9_pd117_pl11_sv10_bp11_ba630_bp55,160.9,15.75,50.23,210.01,178.56,221.47
36047_sd751_sl12_pd205_pl9_sv6_bp10_ba670_bp65,161.38,14.02,51.1,210.4,150.76,176.76
36048_sd690_sl11_pd243_pl7_sv9_bp12_ba440_bp63,115.95,12.41,32.69,136.23,129.58,147.94
36049_sd787_sl10_pd249_pl15_sv5_bp12_ba740_bp32,195.84,15.91,52.56,238.45,200.3,170.27
36050_sd791_sl14_pd260_pl9_sv11_bp12_ba640_bp60,163.46,15.69,56.52,229.69,198.16,208.3
36051_sd785_sl11_pd294_pl12_sv9_bp12_ba640_bp55,165.96,15.12,47.82,216.93,169.67,220.15
36052_sd813_sl12_pd157_pl6_sv6_bp11_ba620_bp65,155.35,13.95,44.36,193.38,148.05,166.85
36053_sd754_sl10_pd188_pl10_sv6_bp12_ba620_bp61,156.48,13.57,47.9,198.5,161.28,174.23
36054_sd871_sl11_pd237_pl9_sv9_bp12_ba600_bp65,154.64,16.5,47.75,188.62,152.03,186.35
36055_sd656_sl12_pd233_pl11_sv8_bp13_ba840_bp67,196.48,16.89,57.52,269.64,199.86,237.5
36056_sd807_sl10_pd248_pl8_sv10_bp13_ba790_bp41,217.2,20.2,62.54,274.49,225.2,298.24
36057_sd842_sl9_pd237_pl11_sv10_bp12_ba770_bp57,207.2,16.79,59.43,236.46,199.92,306.87
36058_sd773_sl10_pd152_pl11_sv5_bp12_ba660_bp67,152.51,13.88,48.22,195.4,141.11,139.62
36059_sd717_sl10_pd115_pl12_sv8_bp11_ba640_bp63,163.2,17.01,56.42,281.05,169.46,252.04
36060_sd706_sl8_pd165_pl8_sv7_bp11_ba740_bp62,182.1,14.97,51.54,232.22,192.53,193.7
36061_sd814_sl10_pd100_pl10_sv6_bp11_ba750_bp67,183.14,14.98,54.13,240.65,175.05,198.95
36062_sd843_sl14_pd288_pl12_sv6_bp10_ba880_bp61,211.74,17.11,59.67,256.12,187.25,206.96
36063_sd641_sl14_pd187_pl12_sv8_bp11_ba840_bp68,204.71,16.69,53.7,260.67,220.67,211.12
36064_sd816_sl10_pd236_pl10_sv10_bp13_ba600_bp35,170.28,15.32,52.56,214.32,167.52,242.6
36065_sd734_sl8_pd91_pl10_sv6_bp12_ba800_bp59,189.73,14.96,53.42,234.15,175.33,177.74
36066_sd635_sl12_pd185_pl13_sv11_bp12_ba630_bp57,158.92,14.67,48.45,199.49,160.24,202.21
36067_sd683_sl9_pd244_pl16_sv9_bp13_ba630_bp69,153.63,13.91,49.95,204.53,154.51,185.62
36068_sd865_sl12_pd156_pl8_sv6_bp12_ba750_bp57,179.3,15.4,55.22,241.94,170.08,209.52
36069_sd738_sl12_pd316_pl12_sv8_bp14_ba710_bp51,175.29,15.58,57.52,262.1,170.54,272.19
36070_sd822_sl14_pd248_pl11_sv8_bp11_ba710_bp48,179.7,15.85,56.76,252.52,173.04,202.77
36071_sd736_sl10_pd133_pl10_sv10_bp13_ba800_bp68,192.78,17.06,58.7,263.23,213.4,262.28
36072_sd811_sl11_pd214_pl6_sv6_bp11_ba510_bp83,122.86,13.01,41.37,176.03,125.34,155.82
36073_sd637_sl9_pd238_pl10_sv6_bp12_ba680_bp62,164.66,13.95,46.5,189.28,153.12,160.29
36074_sd723_sl13_pd195_pl9_sv7_bp12_ba830_bp59,197.59,15.83,58.26,241.39,182.98,189.9
36075_sd768_sl11_pd210_pl12_sv8_bp11_ba850_bp48,205.18,19.54,68.11,329.0,196.25,314.87
