load_case,out_oopDisp_mm_n2,out_supReac_kN_n3,out_supReac_kN_n4,out_verDisp_mm_n5,out_oopDisp_mm_n5,out_endBend_kNm_n6
03001_sd845_sl10_pd168_pl9_sv11_bp13_ba540_bp58,164.2,14.3,43.72,174.7,198.26,233.3
03002_sd759_sl11_pd245_pl11_sv7_bp13_ba590_bp70,140.56,14.06,48.26,186.27,140.08,181.23
03003_sd733_sl10_pd160_pl7_sv8_bp12_ba520_bp58,140.81,13.38,37.23,164.96,147.59,167.89
03004_sd815_sl5_pd242_pl12_sv9_bp10_ba870_bp48,212.87,16.13,59.81,295.79,207.03,275.03
03005_sd667_sl11_pd177_pl14_sv8_bp12_ba660_bp54,167.99,14.47,46.0,214.15,177.33,177.03
03006_sd659_sl12_pd268_pl8_sv8_bp13_ba740_bp50,207.56,15.9,52.86,244.76,233.63,215.6
03007_sd836_sl9_pd235_pl12_sv4_bp12_ba800_bp80,202.68,15.73,55.01,236.26,196.35,177.18
03008_sd749_sl13_pd314_pl8_sv10_bp14_ba770_bp50,217.33,16.77,58.07,237.82,226.21,296.85
03009_sd712_sl10_pd104_pl9_sv8_bp12_ba790_bp60,202.38,15.4,52.8,224.49,207.43,209.26
03010_sd853_sl10_pd203_pl14_sv10_bp11_ba730_bp62,185.42,16.66,58.14,243.6,185.6,237.37
03011_sd883_sl6_pd155_pl11_sv14_bp11_ba790_bp75,492.55,29.7,67.13,483.24,691.97,588.65
03012_sd699_sl11_pd218_pl12_sv10_bp11_ba810_bp61,206.5,16.92,55.2,261.34,220.66,247.51
03013_sd854_sl10_pd154_pl10_sv6_bp10_ba650_bp64,171.54,14.31,44.36,196.39,163.34,152.6
03014_sd789_sl13_pd175_pl10_sv10_bp11_ba720_bp56,209.85,17.12,56.47,271.59,218.85,255.87
03015_sd811_sl12_pd165_pl10_sv10_bp14_ba770_bp53,206.86,18.3,59.17,263.84,217.71,271.4
03016_sd781_sl9_pd167_pl8_sv4_bp12_ba830_bp58,186.63,15.13,55.92,256.63,167.56,186.84
03017_sd735_sl10_pd252_pl11_sv11_bp11_ba700_bp53,166.76,16.15,55.35,240.9,169.73,242.62
03018_sd746_sl11_pd176_pl9_sv8_bp11_ba680_bp52,191.33,15.3,52.95,223.3,208.68,183.09
03019_sd686_sl10_pd223_pl12_sv6_bp11_ba690_bp70,177.3,13.66,49.86,205.83,170.63,161.06
03020_sd715_sl12_pd177_pl11_sv11_bp11_ba560_bp92,140.41,15.41,47.23,182.11,149.26,186.77
03021_sd784_sl12_pd273_pl9_sv7_bp13_ba810_bp59,193.39,15.41,57.34,240.58,189.93,168.71
03022_sd843_sl12_pd221_pl10_sv6_bp12_ba770_bp61,222.33,17.32,61.23,283.96,232.78,226.28
03023_sd861_sl9_pd232_pl13_sv4_bp13_ba830_bp62,188.85,15.4,55.32,249.83,169.07,173.54
03024_sd653_sl10_pd175_pl11_sv9_bp12_ba460_bp39,132.9,12.22,34.74,155.48,152.98,163.64
03025_sd735_sl10_pd151_pl11_sv8_bp12_ba830_bp61,198.13,18.08,61.93,307.12,193.25,238.56
03026_sd732_sl11_pd224_pl11_sv8_bp11_ba570_bp59,141.16,14.35,47.96,213.41,131.18,190.68
03027_sd719_sl11_pd244_pl10_sv4_bp13_ba710_bp77,166.41,14.65,51.37,206.62,153.12,145.7
03028_sd660_sl10_pd172_pl11_sv8_bp12_ba690_bp73,175.09,15.73,54.61,240.9,175.92,191.39
03029_sd766_sl11_pd151_pl11_sv6_bp13_ba710_bp61,175.4,15.08,50.58,207.1,168.62,171.52
03030_sd845_sl8_pd198_pl12_sv11_bp13_ba590_bp66,159.83,18.57,61.57,277.88,185.82,315.15
03031_sd754_sl12_pd243_pl6_sv6_bp11_ba630_bp61,156.62,13.69,50.12,207.11,151.67,171.5
03032_sd810_sl11_pd188_pl10_sv10_bp12_ba700_bp65,164.83,18.07,52.44,212.23,170.02,200.84
03033_sd673_sl12_pd212_pl10_sv7_bp13_ba650_bp58,160.73,14.37,50.24,212.86,172.02,163.87
03034_sd716_sl7_pd216_pl13_sv6_bp12_ba620_bp73,146.53,13.46,43.45,186.14,140.1,148.94
03035_sd781_sl12_pd141_pl12_sv8_bp14_ba520_bp70,127.13,13.55,45.95,201.03,131.3,201.54
03036_sd781_sl13_pd160_pl6_sv9_bp11_ba840_bp52,246.76,20.21,59.05,302.11,278.15,307.78
03037_sd745_sl11_pd215_pl12_sv5_bp12_ba870_bp68,197.08,16.04,56.1,263.76,170.06,208.04
03038_sd821_sl11_pd142_pl7_sv10_bp13_ba630_bp48,179.14,17.3,55.18,235.06,197.9,268.06
03039_sd733_sl9_pd264_pl5_sv5_bp12_ba690_bp56,157.62,14.02,48.81,186.44,145.83,142.39
03040_sd643_sl11_pd147_pl9_sv9_bp14_ba780_bp49,198.67,16.85,55.49,242.72,198.41,242.35
03041_sd701_sl11_pd146_pl4_sv10_bp12_ba660_bp36,203.39,15.18,50.63,234.25,208.83,264.58
03042_sd677_sl10_pd290_pl11_sv7_bp13_ba710_bp69,167.79,14.05,48.82,196.95,158.18,151.5
03043_sd777_sl12_pd158_pl7_sv10_bp11_ba670_bp62,181.81,18.52,57.57,217.61,190.85,255.44
