load_case,out_oopDisp_mm_n2,out_supReac_kN_n3,out_supReac_kN_n4,out_verDisp_mm_n5,out_oopDisp_mm_n5,out_endBend_kNm_n6
24001_sd665_sl6_pd206_pl16_sv7_bp11_ba580_bp49,143.42,12.98,43.81,175.79,141.92,156.33
24002_sd666_sl11_pd238_pl13_sv8_bp11_ba750_bp63,177.77,14.86,52.65,229.36,160.45,198.94
24003_sd771_sl14_pd131_pl5_sv6_bp11_ba770_bp64,188.86,15.38,56.03,237.75,176.02,177.12
24004_sd670_sl11_pd235_pl6_sv7_bp11_ba710_bp47,199.57,14.93,52.98,216.86,200.7,162.42
24005_sd579_sl12_pd143_pl11_sv7_bp12_ba730_bp63,173.82,14.4,51.41,215.71,172.21,162.98
24006_sd775_sl9_pd323_pl10_sv9_bp12_ba590_bp57,154.66,14.8,46.14,172.06,154.84,171.12
24007_sd733_sl15_pd221_pl10_sv9_bp11_ba950_bp66,228.46,17.34,62.56,309.79,214.6,263.55
24008_sd741_sl9_pd81_pl8_sv12_bp13_ba740_bp39,258.47,20.71,55.8,282.37,307.66,363.88
24009_sd725_sl9_pd232_pl10_sv6_bp11_ba710_bp60,167.54,14.73,53.66,227.8,155.69,163.59
24010_sd809_sl10_pd121_pl9_sv9_bp14_ba540_bp60,144.07,15.13,46.6,187.04,149.34,210.97
24011_sd784_sl8_pd190_pl10_sv7_bp11_ba760_bp44,185.3,15.36,53.37,231.17,178.73,184.46
24012_sd769_sl14_pd173_pl7_sv8_bp12_ba750_bp59,234.3,16.45,58.1,283.67,264.44,249.15
24013_sd787_sl10_pd227_pl9_sv6_bp12_ba710_bp79,167.95,14.39,53.12,224.19,161.22,184.4
24014_sd827_sl10_pd186_pl11_sv7_bp11_ba720_bp71,173.81,16.79,59.52,275.59,173.28,261.13
24015_sd717_sl12_pd173_pl9_sv7_bp12_ba600_bp64,149.52,13.7,47.81,199.62,149.61,168.99
24016_sd764_sl9_pd227_pl14_sv9_bp11_ba530_bp80,162.59,15.47,44.79,209.76,196.27,166.42
24017_sd787_sl13_pd202_pl11_sv9_bp12_ba750_bp53,194.09,17.97,56.19,247.91,216.52,247.21
24018_sd830_sl6_pd183_pl9_sv8_bp12_ba810_bp42,218.68,18.2,61.88,313.21,200.54,266.31
24019_sd711_sl11_pd230_pl11_sv6_bp13_ba810_bp33,203.83,15.92,56.94,257.92,201.23,216.27
24020_sd800_sl9_pd190_pl10_sv9_bp12_ba550_bp48,140.86,13.44,42.96,161.07,147.62,180.12
24021_sd856_sl13_pd114_pl8_sv6_bp13_ba600_bp69,174.64,15.72,51.43,243.03,173.95,219.45
24022_sd799_sl8_pd235_pl10_sv9_bp12_ba870_bp63,213.82,17.08,60.82,259.39,211.81,221.62
24023_sd830_sl10_pd246_pl14_sv9_bp13_ba830_bp53,210.02,17.91,58.39,267.22,221.38,253.98
24024_sd839_sl10_pd165_pl11_sv7_bp12_ba670_bp61,164.61,15.93,56.08,240.42,159.9,236.4
24025_sd788_sl8_pd146_pl12_sv7_bp13_ba670_bp54,158.78,14.18,51.22,209.79,157.42,173.68
24026_sd820_sl9_pd96_pl11_sv7_bp13_ba670_bp73,164.24,14.96,53.56,232.83,164.24,221.8
24027_sd706_sl8_pd135_pl6_sv6_bp14_ba740_bp50,188.87,14.88,50.13,214.75,194.22,155.81
24028_sd768_sl12_pd221_pl13_sv11_bp12_ba820_bp59,210.9,17.46,61.23,251.2,208.62,278.24
24029_sd804_sl8_pd241_pl9_sv7_bp12_ba650_bp71,166.46,14.38,43.98,192.97,183.19,185.95
24030_sd734_sl11_pd151_pl12_sv8_bp11_ba730_bp64,177.07,19.52,63.48,314.24,176.04,279.48
24031_sd785_sl12_pd156_pl8_sv10_bp12_ba830_bp59,221.59,16.31,60.14,266.39,207.82,316.95
24032_sd798_sl9_pd296_pl8_sv9_bp12_ba660_bp55,179.24,15.27,51.27,213.78,187.53,240.05
24033_sd626_sl10_pd220_pl6_sv11_bp12_ba850_bp38,247.38,18.86,56.93,270.1,283.26,329.89
24034_sd767_sl8_pd171_pl10_sv7_bp10_ba710_bp63,169.08,14.93,51.01,225.71,158.01,166.3
24035_sd764_sl9_pd88_pl10_sv8_bp13_ba820_bp74,201.13,17.56,58.77,263.84,220.21,259.44
24036_sd722_sl9_pd218_pl11_sv11_bp12_ba810_bp79,200.14,16.95,56.56,276.93,197.89,271.52
24037_sd645_sl12_pd236_pl11_sv8_bp13_ba690_bp57,162.74,14.5,51.89,218.84,167.68,222.94
24038_sd820_sl10_pd227_pl11_sv11_bp13_ba780_bp56,192.24,16.4,59.8,252.7,203.85,295.1
24039_sd686_sl11_pd199_pl7_sv12_bp11_ba800_bp51,230.41,17.91,58.98,281.34,261.73,392.22
24040_sd769_sl13_pd263_pl15_sv7_bp11_ba560_bp80,144.23,13.55,39.56,175.29,148.52,148.06
24041_sd641_sl8_pd132_pl6_sv8_bp13_ba800_bp62,203.16,17.76,59.64,289.71,202.25,240.82
24042_sd728_sl8_pd249_pl12_sv7_bp11_ba670_bp49,158.15,13.55,44.48,184.93,142.77,153.57
24043_sd708_sl11_pd179_pl10_sv9_bp11_ba670_bp52,158.95,15.86,54.58,229.96,165.68,201.42
24044_sd678_sl8_pd147_pl10_sv6_bp13_ba660_bp78,153.85,13.64,49.86,218.46,136.98,169.62
