load_case,out_oopDisp_mm_n2,out_supReac_kN_n3,out_supReac_kN_n4,out_verDisp_mm_n5,out_oopDisp_mm_n5,out_endBend_kNm_n6
29001_sd827_sl12_pd213_pl12_sv10_bp13_ba700_bp53,186.35,16.36,56.44,253.12,185.0,242.71
29002_sd763_sl6_pd196_pl11_sv8_bp12_ba680_bp64,183.4,14.62,49.01,203.16,191.43,208.52
29003_sd696_sl8_pd199_pl9_sv6_bp11_ba560_bp45,134.35,13.9,47.85,216.75,133.49,181.95
29004_sd822_sl7_pd204_pl8_sv7_bp11_ba740_bp78,179.86,14.68,51.94,206.23,170.34,196.62
29005_sd687_sl12_pd102_pl12_sv9_bp13_ba580_bp66,155.66,17.29,55.19,281.41,152.61,250.99
29006_sd825_sl12_pd223_pl8_sv12_bp11_ba640_bp57,186.8,17.05,55.87,224.92,205.44,339.96
29007_sd728_sl10_pd233_pl11_sv8_bp14_ba610_bp64,145.4,15.5,53.59,240.32,152.43,204.66
29008_sd703_sl9_pd189_pl12_sv7_bp13_ba800_bp63,189.92,15.82,56.07,262.31,172.68,200.47
29009_sd716_sl10_pd184_pl13_sv10_bp12_ba680_bp61,195.52,15.34,50.15,219.44,215.99,218.98
29010_sd770_sl8_pd232_pl10_sv8_bp12_ba630_bp71,162.1,14.33,43.3,187.12,162.82,175.04
29011_sd834_sl11_pd153_pl11_sv8_bp11_ba790_bp55,195.66,21.38,68.53,379.39,196.57,342.91
29012_sd751_sl12_pd184_pl10_sv13_bp11_ba650_bp70,206.88,17.11,64.47,286.62,267.67,374.23
29013_sd676_sl10_pd106_pl8_sv9_bp15_ba810_bp68,208.49,16.27,56.98,246.4,195.61,227.47
29014_sd809_sl11_pd249_pl9_sv5_bp14_ba730_bp61,171.42,15.17,53.08,217.62,162.82,159.4
29015_sd675_sl8_pd118_pl14_sv13_bp11_ba770_bp78,215.62,26.1,70.15,463.9,247.98,384.88
29016_sd797_sl10_pd315_pl10_sv6_bp11_ba610_bp73,147.97,13.6,45.97,182.52,142.34,148.33
29017_sd873_sl11_pd119_pl9_sv8_bp12_ba630_bp57,202.47,15.67,49.87,227.61,245.65,222.38
29018_sd699_sl8_pd280_pl10_sv9_bp12_ba750_bp61,183.68,15.74,52.04,223.64,183.94,187.11
29019_sd817_sl11_pd240_pl11_sv11_bp13_ba590_bp68,165.23,17.15,53.22,225.59,196.19,253.53
29020_sd732_sl10_pd230_pl12_sv10_bp12_ba630_bp66,156.03,15.49,48.63,196.3,168.33,222.61
29021_sd630_sl11_pd234_pl8_sv9_bp12_ba730_bp54,183.67,15.91,53.17,223.46,193.88,228.6
29022_sd800_sl10_pd235_pl13_sv7_bp13_ba660_bp71,159.81,14.67,51.42,210.39,153.65,184.77
29023_sd707_sl10_pd86_pl9_sv10_bp12_ba720_bp74,177.59,15.37,53.51,198.53,175.36,240.76
29024_sd794_sl11_pd329_pl12_sv9_bp13_ba680_bp81,158.59,15.87,53.36,239.48,151.44,195.77
29025_sd845_sl6_pd203_pl12_sv9_bp13_ba770_bp70,204.37,16.79,55.32,263.6,214.47,268.33
29026_sd775_sl11_pd200_pl9_sv7_bp13_ba670_bp58,159.9,14.48,50.53,204.23,160.84,175.24
29027_sd768_sl9_pd272_pl11_sv7_bp11_ba740_bp60,178.66,15.09,52.46,227.34,170.29,189.18
29028_sd767_sl9_pd300_pl9_sv5_bp11_ba600_bp76,147.03,12.89,43.44,172.76,134.92,132.16
29029_sd832_sl12_pd236_pl6_sv10_bp13_ba540_bp55,155.24,15.83,52.27,235.48,170.44,238.4
29030_sd719_sl9_pd186_pl9_sv9_bp10_ba820_bp53,204.99,15.81,55.32,229.89,206.78,232.75
29031_sd858_sl8_pd120_pl11_sv5_bp11_ba660_bp58,155.74,13.41,48.62,198.02,151.06,165.16
29032_sd820_sl10_pd246_pl12_sv10_bp11_ba920_bp59,247.1,18.58,62.2,295.56,269.94,288.31
29033_sd672_sl12_pd253_pl7_sv7_bp12_ba730_bp56,187.45,14.71,54.48,235.77,209.85,189.09
29034_sd801_sl8_pd199_pl6_sv5_bp14_ba790_bp65,186.69,15.76,55.76,253.34,166.0,210.44
29035_sd720_sl7_pd218_pl12_sv5_bp11_ba640_bp55,147.18,13.21,46.95,186.98,136.86,145.02
29036_sd748_sl13_pd187_pl12_sv9_bp12_ba700_bp55,181.06,17.04,57.69,260.32,198.99,261.82
29037_sd668_sl7_pd169_pl9_sv10_bp12_ba780_bp58,213.17,17.78,54.88,250.75,232.09,289.42
29038_sd768_sl6_pd176_pl9_sv7_bp12_ba920_bp35,225.27,16.71,59.23,291.7,226.42,229.91
29039_sd703_sl11_pd173_pl11_sv11_bp11_ba730_bp70,173.72,16.98,57.65,228.35,177.78,251.5
29040_sd905_sl12_pd265_pl12_sv8_bp11_ba710_bp56,172.36,16.0,54.84,252.85,183.77,213.09
29041_sd814_sl7_pd178_pl10_sv6_bp13_ba640_bp85,155.83,16.19,55.21,254.73,157.42,216.59
29042_sd629_sl12_pd181_pl7_sv10_bp12_ba590_bp60,152.26,14.0,46.76,180.27,159.3,203.6
29043_sd767_sl11_pd194_pl9_sv11_bp13_ba730_bp69,190.28,15.44,61.91,245.65,220.93,382.87
29044_sd856_sl11_pd265_pl6_sv8_bp12_ba720_bp63,184.12,17.05,52.33,245.8,213.15,228.11
29045_sd573_sl10_pd255_pl10_sv6_bp12_ba540_bp53,136.15,12.34,39.84,170.71,132.59,130.75
29046_sd802_sl9_pd156_pl9_sv8_bp13_ba880_bp66,210.37,17.07,60.45,258.21,198.93,229.32
29047_sd696_sl10_pd196_pl11_sv6_bp13_ba900_bp71,211.34,17.31,59.16,276.45,200.12,221.69
29048_sd785_sl10_pd235_pl11_sv7_bp9_ba760_bp58,178.34,16.39,58.52,253.09,188.78,214.15
29049_sd741_sl10_pd223_pl9_sv6_bp13_ba770_bp73,186.51,15.03,52.0,227.03,177.27,162.13
29050_sd701_sl10_pd212_pl16_sv9_bp13_ba730_bp50,184.88,15.17,54.25,237.92,184.99,205.79
29051_sd779_sl8_pd208_pl12_sv6_bp13_ba690_bp59,170.52,14.44,48.64,202.57,163.74,155.55
29052_sd760_sl8_pd222_pl10_sv8_bp13_ba750_bp44,185.69,15.89,57.5,222.29,192.89,207.87
29053_sd786_sl10_pd298_pl8_sv8_bp12_ba710_bp61,190.86,15.25,54.28,224.53,192.41,241.98
29054_sd664_sl8_pd270_pl8_sv8_bp12_ba540_bp45,136.37,12.96,36.77,149.17,139.56,142.94
29055_sd857_sl14_pd287_pl12_sv6_bp11_ba560_bp79,133.87,13.81,42.51,169.88,125.67,133.29
29056_sd785_sl11_pd129_pl10_sv10_bp11_ba570_bp58,144.17,15.38,45.02,170.64,150.84,227.87
29057_sd758_sl13_pd278_pl12_sv6_bp12_ba810_bp75,183.14,15.0,54.56,241.77,169.12,185.43
