load_case,out_oopDisp_mm_n2,out_supReac_kN_n3,out_supReac_kN_n4,out_verDisp_mm_n5,out_oopDisp_mm_n5,out_endBend_kNm_n6
19001_sd807_sl9_pd242_pl10_sv8_bp12_ba670_bp70,181.6,15.12,54.03,244.79,187.35,207.69
19002_sd621_sl7_pd147_pl12_sv8_bp13_ba680_bp59,207.34,14.27,49.31,230.52,249.07,235.3
19003_sd764_sl9_pd234_pl12_sv8_bp10_ba500_bp53,136.32,16.27,54.38,275.08,147.11,253.16
19004_sd866_sl9_pd300_pl10_sv10_bp11_ba760_bp71,198.9,15.75,56.55,211.04,210.17,215.32
19005_sd729_sl12_pd127_pl13_sv6_bp12_ba750_bp59,176.15,15.54,52.43,221.28,164.57,188.86
19006_sd756_sl8_pd128_pl10_sv9_bp12_ba580_bp53,161.42,13.81,44.01,166.71,162.28,216.28
19007_sd817_sl11_pd214_pl12_sv9_bp13_ba920_bp59,228.35,18.61,65.67,332.67,224.6,285.17
19008_sd727_sl13_pd127_pl9_sv9_bp11_ba830_bp65,225.15,17.47,57.85,311.36,239.32,276.48
19009_sd780_sl6_pd226_pl13_sv8_bp10_ba840_bp66,282.71,19.55,59.05,332.54,344.29,321.58
19010_sd759_sl12_pd133_pl11_sv6_bp14_ba640_bp43,170.86,14.03,45.42,190.71,172.71,159.27
19011_sd723_sl12_pd180_pl11_sv7_bp11_ba800_bp73,196.78,16.05,56.13,251.14,185.76,212.44
19012_sd600_sl12_pd265_pl14_sv8_bp12_ba740_bp60,172.49,14.7,50.41,206.3,159.53,161.36
19013_sd839_sl10_pd240_pl10_sv8_bp11_ba680_bp71,165.15,15.06,52.93,230.43,160.41,202.72
19014_sd745_sl9_pd176_pl8_sv8_bp12_ba700_bp51,177.28,15.71,48.38,196.44,172.62,189.29
19015_sd614_sl7_pd131_pl7_sv9_bp12_ba860_bp68,223.69,16.94,58.93,271.15,217.94,247.07
19016_sd895_sl11_pd200_pl8_sv10_bp11_ba720_bp49,176.93,15.83,57.84,226.14,185.48,316.11
19017_sd770_sl14_pd252_pl8_sv10_bp10_ba840_bp43,221.47,17.38,58.09,242.85,228.43,276.27
19018_sd735_sl9_pd188_pl8_sv9_bp12_ba910_bp57,224.65,18.99,62.73,283.36,200.6,275.5
19019_sd878_sl10_pd137_pl14_sv11_bp13_ba770_bp72,207.44,17.58,62.98,276.72,207.57,327.61
19020_sd728_sl8_pd259_pl11_sv7_bp11_ba690_bp55,170.55,16.25,55.3,243.8,167.96,206.01
19021_sd732_sl9_pd203_pl9_sv3_bp13_ba790_bp63,177.3,14.95,53.3,236.52,158.77,175.72
19022_sd891_sl11_pd293_pl9_sv9_bp12_ba890_bp49,214.3,18.81,60.8,269.6,222.62,283.42
19023_sd820_sl8_pd150_pl7_sv8_bp10_ba630_bp63,173.51,15.3,46.67,205.76,183.62,191.39
19024_sd667_sl10_pd135_pl14_sv12_bp12_ba610_bp67,155.83,14.66,52.67,204.32,194.69,249.4
19025_sd659_sl10_pd223_pl13_sv9_bp12_ba600_bp55,155.58,15.12,46.25,215.31,172.83,198.93
19026_sd862_sl7_pd243_pl12_sv8_bp13_ba580_bp60,212.43,15.91,51.71,245.29,276.21,243.56
19027_sd597_sl9_pd222_pl10_sv7_bp11_ba580_bp49,145.26,14.88,46.29,212.61,137.95,189.13
19028_sd776_sl10_pd223_pl11_sv9_bp11_ba690_bp53,191.19,15.92,52.65,252.47,214.01,206.94
19029_sd779_sl11_pd163_pl9_sv11_bp12_ba610_bp55,160.44,14.75,54.37,215.09,186.44,275.1
19030_sd855_sl9_pd290_pl13_sv10_bp13_ba740_bp55,212.21,15.85,57.79,236.49,217.85,270.94
19031_sd819_sl18_pd229_pl8_sv11_bp11_ba750_bp66,263.02,20.02,64.92,329.23,360.91,298.56
