load_case,out_oopDisp_mm_n2,out_supReac_kN_n3,out_supReac_kN_n4,out_verDisp_mm_n5,out_oopDisp_mm_n5,out_endBend_kNm_n6
42001_sd865_sl9_pd223_pl7_sv8_bp11_ba740_bp61,189.68,16.05,54.24,226.24,187.97,208.76
42002_sd788_sl13_pd178_pl15_sv8_bp12_ba660_bp80,199.23,17.38,53.69,281.72,243.71,249.94
42003_sd817_sl9_pd170_pl8_sv7_bp11_ba800_bp62,198.93,16.72,58.17,245.34,179.86,206.69
42004_sd689_sl10_pd189_pl10_sv7_bp11_ba830_bp59,188.57,15.4,55.13,251.56,181.02,209.22
42005_sd852_sl11_pd247_pl9_sv6_bp11_ba580_bp52,170.76,13.95,43.3,194.94,177.55,169.12
42006_sd807_sl7_pd143_pl13_sv3_bp12_ba820_bp63,186.02,15.19,52.82,245.97,164.01,162.78
42007_sd772_sl10_pd157_pl10_sv9_bp13_ba560_bp49,134.11,13.24,44.96,170.26,141.56,165.52
42008_sd870_sl12_pd165_pl10_sv8_bp12_ba820_bp54,214.04,19.57,63.87,348.07,215.97,302.72
42009_sd718_sl9_pd238_pl10_sv8_bp12_ba700_bp60,172.62,14.02,51.24,214.03,172.43,206.66
42010_sd736_sl12_pd184_pl9_sv8_bp11_ba740_bp58,200.45,17.05,56.33,267.54,217.34,203.48
42011_sd878_sl12_pd119_pl16_sv7_bp12_ba820_bp61,220.22,17.64,56.49,281.83,232.9,254.42
42012_sd828_sl9_pd224_pl9_sv6_bp10_ba520_bp59,130.8,12.58,39.83,162.1,121.54,143.65
42013_sd846_sl10_pd211_pl9_sv5_bp12_ba640_bp63,169.23,14.12,45.22,196.99,170.96,141.08
42014_sd826_sl7_pd221_pl12_sv7_bp11_ba780_bp69,190.36,15.3,53.78,218.15,179.47,174.69
42015_sd720_sl8_pd202_pl11_sv5_bp13_ba850_bp51,197.7,15.25,53.82,244.83,180.15,178.18
42016_sd724_sl10_pd177_pl13_sv9_bp13_ba830_bp51,214.98,17.85,58.45,274.66,221.68,254.7
42017_sd762_sl10_pd163_pl12_sv3_bp11_ba590_bp51,137.27,13.22,42.28,177.57,124.23,131.86
42018_sd660_sl5_pd264_pl10_sv12_bp13_ba860_bp66,328.91,22.72,59.09,342.51,412.42,344.26
42019_sd786_sl13_pd310_pl8_sv6_bp10_ba860_bp66,195.91,16.06,56.81,241.8,174.9,166.06
42020_sd615_sl10_pd205_pl15_sv9_bp11_ba620_bp68,156.73,14.78,53.59,237.95,162.15,212.98
42021_sd582_sl9_pd263_pl10_sv9_bp12_ba600_bp51,143.46,13.72,41.85,171.57,151.76,164.94
42022_sd694_sl13_pd197_pl10_sv11_bp11_ba800_bp69,196.83,17.43,61.22,274.19,203.11,250.35
42023_sd701_sl9_pd192_pl10_sv7_bp12_ba720_bp74,172.92,15.0,53.18,230.03,169.36,191.93
42024_sd705_sl13_pd278_pl11_sv12_bp11_ba620_bp72,169.1,16.91,51.37,218.52,213.18,228.41
42025_sd621_sl8_pd122_pl12_sv5_bp12_ba750_bp51,173.81,14.02,50.88,218.15,156.2,150.22
42026_sd769_sl10_pd198_pl10_sv8_bp12_ba570_bp76,144.39,14.81,48.23,209.99,143.42,191.68
42027_sd778_sl10_pd114_pl9_sv10_bp14_ba720_bp59,187.07,15.69,54.01,222.6,189.26,221.9
42028_sd741_sl10_pd193_pl10_sv7_bp10_ba660_bp59,155.29,14.6,50.55,208.24,150.54,181.25
42029_sd902_sl11_pd140_pl12_sv9_bp10_ba430_bp46,116.25,15.21,46.69,237.12,134.02,215.41
42030_sd764_sl11_pd242_pl10_sv10_bp13_ba780_bp50,200.83,18.32,59.59,246.6,196.82,226.96
42031_sd772_sl10_pd137_pl10_sv8_bp12_ba540_bp46,138.13,15.99,56.18,254.53,133.92,232.89
42032_sd699_sl10_pd276_pl11_sv8_bp10_ba740_bp60,174.43,17.75,60.66,304.86,168.69,250.91
42033_sd700_sl10_pd195_pl11_sv8_bp13_ba880_bp58,210.25,18.52,61.45,292.01,225.43,239.97
42034_sd926_sl4_pd148_pl10_sv12_bp11_ba740_bp61,376.06,25.0,64.82,430.22,535.46,537.32
42035_sd749_sl8_pd254_pl11_sv6_bp11_ba570_bp46,142.23,12.94,41.37,170.91,132.73,134.03
42036_sd735_sl8_pd162_pl11_sv11_bp11_ba670_bp52,180.74,16.93,56.17,263.65,200.72,237.98
42037_sd614_sl11_pd247_pl11_sv6_bp12_ba840_bp59,196.84,15.59,53.99,232.28,187.46,186.72
42038_sd873_sl8_pd168_pl11_sv4_bp11_ba670_bp73,155.14,13.7,48.58,194.36,138.17,149.48
42039_sd732_sl11_pd139_pl12_sv4_bp13_ba520_bp68,128.3,12.35,37.71,154.09,124.63,108.27
42040_sd756_sl7_pd218_pl9_sv10_bp13_ba810_bp43,233.48,17.73,58.19,250.62,248.48,246.26
42041_sd770_sl8_pd213_pl11_sv8_bp13_ba910_bp75,272.45,19.54,62.23,330.92,313.34,295.36
42042_sd720_sl11_pd143_pl8_sv11_bp12_ba690_bp57,180.69,16.92,54.71,230.38,195.21,258.61
42043_sd872_sl10_pd240_pl10_sv8_bp15_ba670_bp74,164.28,16.16,56.42,245.37,166.42,204.11
42044_sd770_sl11_pd145_pl7_sv7_bp11_ba710_bp55,195.91,15.62,53.42,223.25,203.69,194.03
42045_sd882_sl10_pd88_pl11_sv11_bp13_ba630_bp63,148.06,16.98,53.08,215.72,173.07,254.67
42046_sd768_sl10_pd161_pl9_sv8_bp14_ba710_bp49,171.93,15.11,54.05,209.7,172.12,221.47
42047_sd795_sl12_pd159_pl12_sv9_bp12_ba780_bp50,186.26,17.68,63.01,310.93,192.32,245.57
42048_sd844_sl11_pd264_pl13_sv8_bp12_ba510_bp50,126.96,12.88,38.86,169.84,123.08,178.52
42049_sd869_sl10_pd317_pl11_sv4_bp11_ba610_bp67,150.42,13.89,45.82,190.83,150.89,138.21
42050_sd718_sl11_pd139_pl5_sv9_bp14_ba550_bp45,159.65,18.52,61.81,302.4,177.23,279.81
42051_sd650_sl12_pd161_pl10_sv10_bp11_ba800_bp78,202.41,17.97,58.35,250.18,198.18,244.04
42052_sd660_sl10_pd175_pl9_sv10_bp12_ba770_bp65,205.28,15.32,55.15,240.34,197.64,247.4
42053_sd771_sl12_pd176_pl13_sv8_bp11_ba560_bp45,144.4,13.47,42.64,190.26,149.45,165.95
