load_case,out_oopDisp_mm_n2,out_supReac_kN_n3,out_supReac_kN_n4,out_verDisp_mm_n5,out_oopDisp_mm_n5,out_endBend_kNm_n6
13001_sd741_sl9_pd146_pl10_sv9_bp13_ba650_bp62,175.11,15.46,49.55,193.78,176.99,217.4
13002_sd799_sl8_pd216_pl10_sv8_bp12_ba610_bp65,175.85,14.1,43.32,203.48,199.74,204.64
13003_sd763_sl8_pd234_pl11_sv9_bp13_ba670_bp68,180.88,14.64,48.46,205.79,193.75,196.17
13004_sd723_sl9_pd139_pl9_sv6_bp13_ba610_bp45,149.74,13.18,40.85,171.91,146.73,153.37
13005_sd795_sl8_pd153_pl11_sv10_bp11_ba590_bp48,154.73,14.88,47.1,201.9,179.33,266.75
13006_sd822_sl12_pd165_pl11_sv7_bp12_ba750_bp70,182.43,15.33,53.84,246.12,201.86,190.62
13007_sd719_sl8_pd223_pl9_sv13_bp11_ba690_bp65,354.51,24.21,61.2,332.9,476.87,451.84
13008_sd665_sl9_pd140_pl6_sv6_bp12_ba670_bp74,160.69,14.57,49.6,204.83,153.74,159.26
13009_sd716_sl12_pd168_pl10_sv9_bp12_ba690_bp84,183.13,17.71,57.52,256.01,197.26,228.26
13010_sd923_sl9_pd96_pl10_sv10_bp12_ba740_bp63,209.65,16.99,57.6,225.98,208.96,281.44
13011_sd715_sl11_pd218_pl12_sv12_bp13_ba760_bp52,202.41,16.99,58.21,248.47,217.82,263.23
13012_sd717_sl8_pd118_pl13_sv9_bp12_ba750_bp53,222.1,18.38,56.19,272.04,247.94,241.82
13013_sd670_sl8_pd217_pl16_sv11_bp13_ba700_bp59,188.47,16.12,55.4,240.99,186.91,236.5
13014_sd742_sl11_pd233_pl10_sv10_bp11_ba630_bp46,165.85,15.85,45.4,192.14,188.69,226.54
13015_sd924_sl10_pd119_pl12_sv11_bp11_ba800_bp63,196.46,18.63,63.02,285.63,210.11,319.07
13016_sd692_sl7_pd210_pl12_sv11_bp11_ba690_bp72,188.99,17.92,55.11,271.53,201.85,281.82
13017_sd691_sl7_pd312_pl9_sv5_bp13_ba610_bp48,143.98,13.02,39.61,171.27,137.18,132.0
13018_sd835_sl11_pd82_pl11_sv9_bp9_ba820_bp65,201.2,18.38,59.5,293.75,212.58,236.13
13019_sd783_sl12_pd160_pl10_sv9_bp12_ba730_bp67,193.41,18.54,61.44,294.62,187.4,273.34
13020_sd818_sl9_pd112_pl9_sv5_bp11_ba690_bp70,179.48,14.13,45.7,196.45,164.5,148.99
13021_sd613_sl14_pd170_pl6_sv7_bp11_ba690_bp70,172.01,14.17,46.48,194.29,162.03,147.58
13022_sd810_sl9_pd141_pl9_sv9_bp11_ba730_bp66,188.4,16.69,52.86,206.74,194.25,214.3
