load_case,out_oopDisp_mm_n2,out_supReac_kN_n3,out_supReac_kN_n4,out_verDisp_mm_n5,out_oopDisp_mm_n5,out_endBend_kNm_n6
34001_sd832_sl11_pd204_pl7_sv7_bp12_ba510_bp55,172.6,14.27,40.92,193.63,217.62,190.31
34002_sd726_sl11_pd155_pl7_sv7_bp11_ba720_bp68,230.28,16.8,54.44,284.74,262.82,206.69
34003_sd690_sl13_pd222_pl9_sv9_bp11_ba560_bp71,179.26,15.11,47.78,226.95,196.95,229.58
34004_sd727_sl8_pd250_pl9_sv4_bp14_ba600_bp74,142.81,13.05,43.98,175.7,131.83,141.06
34005_sd724_sl9_pd261_pl11_sv7_bp12_ba560_bp63,139.53,14.15,46.69,206.21,143.98,182.07
34006_sd788_sl13_pd211_pl11_sv8_bp11_ba600_bp60,152.45,14.73,48.15,193.53,152.6,184.1
34007_sd652_sl13_pd150_pl15_sv5_bp11_ba920_bp67,215.54,16.46,55.33,266.4,192.42,199.86
34008_sd742_sl7_pd206_pl7_sv10_bp12_ba670_bp75,213.38,16.54,50.09,218.29,246.0,280.22
34009_sd694_sl8_pd153_pl9_sv12_bp11_ba700_bp59,241.76,20.76,51.15,262.24,272.36,322.23
34010_sd740_sl9_pd272_pl11_sv7_bp12_ba690_bp64,161.8,14.22,48.04,202.14,146.51,170.79
34011_sd788_sl10_pd221_pl11_sv7_bp11_ba770_bp74,181.96,16.26,57.07,257.7,181.44,223.73
34012_sd908_sl8_pd163_pl10_sv7_bp12_ba810_bp74,191.2,17.84,60.33,282.82,185.77,222.22
34013_sd646_sl10_pd194_pl11_sv7_bp12_ba640_bp52,151.49,14.2,50.1,208.49,150.98,185.08
34014_sd817_sl5_pd162_pl12_sv7_bp11_ba640_bp70,213.98,15.14,50.51,232.52,245.09,211.09
34015_sd758_sl12_pd226_pl8_sv6_bp13_ba670_bp74,170.62,14.19,46.57,209.19,166.79,153.61
34016_sd745_sl13_pd218_pl9_sv9_bp13_ba800_bp55,245.18,18.26,60.01,285.81,282.13,278.23
34017_sd713_sl9_pd205_pl15_sv8_bp12_ba680_bp54,167.38,14.7,50.8,226.48,162.69,211.89
34018_sd781_sl7_pd185_pl10_sv5_bp12_ba700_bp72,165.74,13.83,49.13,202.22,144.36,150.44
34019_sd838_sl10_pd253_pl9_sv9_bp10_ba780_bp55,198.51,16.83,55.2,227.99,194.27,222.67
34020_sd787_sl12_pd197_pl14_sv8_bp12_ba780_bp78,191.27,15.42,55.01,241.65,193.09,174.63
34021_sd787_sl11_pd178_pl10_sv7_bp11_ba690_bp50,173.8,15.65,53.92,227.88,177.45,209.02
34022_sd735_sl8_pd101_pl9_sv11_bp12_ba670_bp46,248.07,20.87,51.98,228.53,290.16,340.17
34023_sd593_sl10_pd120_pl12_sv8_bp14_ba610_bp63,151.6,14.54,50.37,218.16,150.93,202.7
34024_sd711_sl10_pd224_pl9_sv11_bp12_ba500_bp62,136.57,12.99,42.66,186.41,150.5,236.86
34025_sd615_sl10_pd222_pl13_sv4_bp13_ba690_bp72,158.97,13.97,47.16,190.96,147.87,134.78
34026_sd687_sl7_pd194_pl12_sv8_bp13_ba650_bp72,222.15,15.11,49.68,248.96,275.31,238.75
34027_sd828_sl10_pd132_pl10_sv5_bp11_ba820_bp64,212.55,15.41,53.56,237.42,200.69,171.96
34028_sd876_sl7_pd167_pl15_sv9_bp14_ba770_bp64,231.54,17.58,57.09,283.32,271.43,232.61
34029_sd911_sl9_pd136_pl8_sv12_bp12_ba710_bp78,305.85,22.53,58.45,310.26,411.09,445.7
34030_sd729_sl10_pd195_pl7_sv7_bp13_ba700_bp67,178.97,15.04,50.37,213.23,161.27,180.87
34031_sd748_sl10_pd158_pl16_sv8_bp13_ba700_bp66,180.06,15.6,51.33,217.58,180.68,193.13
34032_sd771_sl12_pd221_pl11_sv8_bp12_ba750_bp59,183.47,15.81,53.66,236.53,196.47,180.29
34033_sd847_sl14_pd227_pl10_sv6_bp10_ba540_bp64,134.04,14.24,40.3,170.43,117.57,147.02
34034_sd751_sl6_pd272_pl8_sv11_bp13_ba730_bp43,326.96,21.62,61.99,401.06,476.51,348.0
34035_sd718_sl8_pd208_pl8_sv10_bp11_ba700_bp51,220.28,15.0,53.44,241.9,225.41,279.02
34036_sd712_sl8_pd239_pl13_sv9_bp12_ba630_bp49,205.11,15.6,53.23,242.73,240.5,192.64
34037_sd614_sl6_pd219_pl15_sv9_bp12_ba700_bp50,250.95,16.62,51.78,283.69,308.04,257.93
34038_sd748_sl10_pd179_pl10_sv9_bp12_ba590_bp53,144.39,13.97,42.53,180.01,166.75,171.49
34039_sd750_sl10_pd132_pl8_sv11_bp14_ba700_bp62,190.03,16.88,55.57,227.15,227.71,327.67
34040_sd746_sl11_pd145_pl9_sv9_bp11_ba700_bp65,174.9,16.42,51.97,216.37,186.69,203.77
34041_sd738_sl11_pd240_pl9_sv8_bp12_ba670_bp48,174.3,14.91,53.3,246.81,180.29,178.13
