load_case,out_oopDisp_mm_n2,out_supReac_kN_n3,out_supReac_kN_n4,out_verDisp_mm_n5,out_oopDisp_mm_n5,out_endBend_kNm_n6
32001_sd654_sl8_pd171_pl12_sv8_bp13_ba770_bp55,190.4,15.98,54.17,259.6,196.7,211.81
32002_sd695_sl12_pd286_pl12_sv6_bp11_ba850_bp56,199.48,15.77,55.72,252.13,187.29,212.88
32003_sd666_sl10_pd280_pl10_sv8_bp12_ba600_bp57,146.85,13.49,47.45,204.33,140.23,188.09
32004_sd642_sl9_pd225_pl11_sv6_bp12_ba700_bp64,174.37,14.3,51.27,214.94,176.61,170.84
32005_sd778_sl12_pd344_pl9_sv9_bp12_ba750_bp51,214.44,16.6,56.95,260.73,241.57,271.83
32006_sd749_sl6_pd164_pl10_sv8_bp12_ba630_bp52,164.22,14.22,47.6,201.16,171.95,164.4
32007_sd706_sl11_pd121_pl10_sv3_bp15_ba880_bp39,201.11,15.65,55.04,262.12,179.35,184.56
32008_sd724_sl8_pd174_pl10_sv10_bp10_ba650_bp55,163.85,14.25,53.51,187.58,164.11,229.6
32009_sd864_sl7_pd244_pl13_sv8_bp11_ba730_bp49,214.23,14.61,53.4,237.33,245.41,230.86
32010_sd652_sl11_pd230_pl10_sv9_bp10_ba610_bp61,154.09,14.87,47.45,198.66,148.62,167.49
32011_sd729_sl10_pd240_pl11_sv10_bp13_ba770_bp62,184.25,17.72,55.93,233.73,180.77,191.57
32012_sd877_sl12_pd191_pl9_sv7_bp11_ba570_bp70,146.34,14.61,48.6,218.71,160.21,188.49
32013_sd785_sl5_pd164_pl14_sv10_bp12_ba670_bp55,210.58,16.84,51.14,238.75,244.38,259.03
32014_sd742_sl6_pd171_pl7_sv9_bp9_ba460_bp61,142.0,12.81,38.7,158.74,157.93,158.66
32015_sd696_sl10_pd155_pl10_sv8_bp13_ba610_bp59,152.89,15.21,50.13,218.46,149.07,211.96
32016_sd598_sl8_pd270_pl11_sv11_bp12_ba640_bp68,160.19,14.14,47.78,195.43,152.8,194.14
32017_sd805_sl12_pd174_pl7_sv5_bp13_ba720_bp59,175.92,14.85,55.12,238.97,167.19,184.56
32018_sd854_sl11_pd207_pl10_sv5_bp13_ba730_bp59,169.55,14.81,52.56,203.96,150.97,155.86
32019_sd877_sl9_pd106_pl11_sv9_bp12_ba700_bp68,188.83,15.55,53.3,227.24,200.95,260.99
32020_sd806_sl9_pd230_pl9_sv6_bp11_ba600_bp53,142.05,13.5,48.19,197.81,136.17,167.43
32021_sd727_sl9_pd244_pl10_sv6_bp12_ba600_bp78,143.42,13.42,43.26,181.23,138.53,150.26
32022_sd742_sl10_pd273_pl10_sv8_bp11_ba900_bp65,217.63,18.17,61.44,315.47,201.76,267.27
32023_sd697_sl7_pd220_pl11_sv5_bp12_ba660_bp62,153.6,13.54,46.8,191.65,146.93,136.2
32024_sd868_sl13_pd171_pl8_sv8_bp13_ba930_bp78,263.32,21.62,67.74,343.13,281.87,304.56
32025_sd929_sl9_pd110_pl5_sv10_bp11_ba810_bp76,251.51,19.83,61.22,310.68,287.96,361.31
32026_sd770_sl11_pd190_pl9_sv6_bp11_ba620_bp63,188.33,14.83,50.98,226.18,204.48,182.52
32027_sd741_sl12_pd211_pl10_sv9_bp11_ba690_bp63,189.38,17.39,55.17,249.35,202.8,243.98
32028_sd791_sl10_pd286_pl8_sv7_bp11_ba580_bp56,160.29,14.46,47.17,205.92,172.63,186.29
32029_sd903_sl7_pd196_pl14_sv11_bp12_ba400_bp54,146.22,13.19,52.02,207.52,149.35,353.04
32030_sd853_sl11_pd264_pl10_sv10_bp14_ba650_bp49,166.62,15.86,53.28,204.75,174.19,233.02
32031_sd703_sl5_pd240_pl11_sv9_bp10_ba680_bp53,182.02,17.41,56.47,272.78,182.91,205.62
32032_sd683_sl9_pd212_pl10_sv8_bp14_ba630_bp68,189.79,14.55,45.12,210.77,221.94,200.35
32033_sd697_sl8_pd190_pl11_sv12_bp13_ba750_bp67,200.9,18.07,57.55,261.44,244.95,312.96
32034_sd626_sl11_pd202_pl12_sv8_bp12_ba680_bp74,169.37,16.98,60.5,293.34,161.87,284.09
32035_sd849_sl14_pd206_pl14_sv9_bp13_ba710_bp50,189.6,15.99,49.76,229.16,211.06,223.7
32036_sd786_sl8_pd182_pl9_sv8_bp13_ba720_bp53,183.25,15.53,54.19,214.46,177.81,206.88
32037_sd646_sl12_pd168_pl11_sv10_bp14_ba670_bp46,176.25,16.37,52.36,209.63,182.08,212.91
32038_sd678_sl8_pd209_pl10_sv8_bp11_ba830_bp69,212.13,15.34,54.12,249.04,205.01,201.32
32039_sd857_sl10_pd178_pl9_sv6_bp13_ba850_bp67,197.74,15.83,57.16,240.03,180.65,217.14
32040_sd870_sl11_pd215_pl9_sv8_bp12_ba590_bp61,169.82,14.79,53.74,246.83,188.25,215.85
32041_sd783_sl9_pd164_pl10_sv8_bp12_ba810_bp58,208.09,15.85,56.0,254.2,207.33,226.92
32042_sd683_sl11_pd165_pl9_sv7_bp15_ba630_bp63,151.7,14.38,46.01,195.57,148.27,166.32
32043_sd777_sl10_pd176_pl12_sv9_bp12_ba800_bp70,202.12,17.45,59.26,269.5,202.76,231.3
32044_sd730_sl12_pd221_pl4_sv10_bp11_ba590_bp60,176.19,14.57,48.68,202.99,185.26,244.11
32045_sd791_sl10_pd265_pl7_sv5_bp12_ba820_bp58,188.61,15.5,56.32,248.51,162.9,180.38
32046_sd747_sl9_pd216_pl10_sv6_bp10_ba720_bp73,171.32,14.64,50.59,210.56,166.56,154.86
32047_sd715_sl11_pd181_pl7_sv8_bp11_ba620_bp69,168.85,14.38,48.89,217.28,176.29,196.19
32048_sd715_sl12_pd197_pl7_sv10_bp12_ba670_bp69,165.07,15.03,53.11,183.57,172.93,252.47
32049_sd767_sl8_pd138_pl14_sv5_bp12_ba660_bp60,158.46,13.43,46.51,196.45,146.64,148.72
32050_sd897_sl11_pd142_pl12_sv6_bp13_ba880_bp52,219.56,16.45,59.36,253.6,202.06,225.2
32051_sd622_sl10_pd160_pl12_sv7_bp11_ba620_bp47,160.46,14.79,45.75,199.42,174.19,156.98
32052_sd861_sl10_pd148_pl9_sv8_bp11_ba980_bp62,258.06,19.05,63.72,316.67,238.4,297.57
32053_sd785_sl9_pd229_pl8_sv12_bp12_ba700_bp66,237.47,20.03,57.47,257.37,291.11,351.32
32054_sd743_sl14_pd139_pl14_sv9_bp13_ba430_bp55,129.03,14.31,35.34,164.73,148.56,182.16
