load_case,out_oopDisp_mm_n2,out_supReac_kN_n3,out_supReac_kN_n4,out_verDisp_mm_n5,out_oopDisp_mm_n5,out_endBend_kNm_n6
02001_sd791_sl10_pd188_pl14_sv11_bp11_ba610_bp77,169.89,15.31,55.16,238.48,197.09,227.11
02002_sd825_sl11_pd201_pl7_sv5_bp12_ba660_bp54,167.87,14.02,50.49,209.8,163.08,176.26
02003_sd773_sl7_pd153_pl9_sv10_bp13_ba680_bp54,210.98,15.86,52.29,221.39,244.29,226.63
02004_sd774_sl12_pd207_pl10_sv8_bp13_ba750_bp71,193.49,18.69,64.03,320.18,188.41,305.93
02005_sd755_sl9_pd280_pl9_sv10_bp10_ba820_bp47,204.36,17.99,56.48,248.05,201.54,260.46
02006_sd768_sl13_pd228_pl9_sv9_bp13_ba690_bp68,229.0,17.37,56.07,265.18,273.24,279.71
02007_sd816_sl8_pd93_pl6_sv10_bp13_ba850_bp61,304.62,22.53,65.59,332.0,380.01,368.53
02008_sd735_sl9_pd178_pl11_sv7_bp12_ba670_bp60,166.03,14.4,52.59,217.53,157.28,205.49
02009_sd698_sl10_pd251_pl11_sv10_bp13_ba820_bp63,208.24,17.16,59.03,247.45,194.85,233.99
02010_sd846_sl14_pd267_pl10_sv10_bp13_ba660_bp59,186.48,17.09,50.73,218.55,212.82,227.63
02011_sd575_sl14_pd183_pl9_sv11_bp12_ba720_bp40,172.33,16.1,61.87,247.36,205.38,279.13
02012_sd707_sl10_pd304_pl5_sv9_bp12_ba900_bp39,229.55,18.5,60.26,311.95,211.04,269.53
02013_sd714_sl11_pd146_pl10_sv9_bp11_ba710_bp54,195.61,16.71,53.84,266.12,223.99,242.14
02014_sd721_sl7_pd185_pl9_sv11_bp12_ba810_bp59,227.7,17.71,56.94,281.98,234.15,257.43
02015_sd829_sl15_pd261_pl7_sv6_bp10_ba740_bp65,175.53,17.42,60.71,280.17,176.76,245.34
02016_sd835_sl9_pd290_pl10_sv11_bp11_ba880_bp53,232.18,17.72,63.38,275.65,236.03,382.81
02017_sd670_sl10_pd324_pl8_sv12_bp13_ba650_bp71,187.63,15.57,51.33,206.64,201.82,250.56
02018_sd757_sl6_pd239_pl9_sv8_bp10_ba860_bp57,220.12,19.53,63.31,335.37,213.39,291.42
02019_sd773_sl12_pd129_pl6_sv7_bp13_ba760_bp64,182.38,15.72,54.98,235.82,176.97,198.78
02020_sd789_sl14_pd263_pl11_sv11_bp13_ba780_bp57,198.28,17.15,58.73,250.53,210.45,290.94
02021_sd896_sl9_pd186_pl13_sv9_bp13_ba770_bp56,276.91,19.56,58.98,281.14,342.04,294.77
