load_case,out_oopDisp_mm_n2,out_supReac_kN_n3,out_supReac_kN_n4,out_verDisp_mm_n5,out_oopDisp_mm_n5,out_endBend_kNm_n6
05001_sd772_sl10_pd365_pl9_sv9_bp11_ba480_bp49,114.41,13.68,36.39,154.13,131.25,156.66
05002_sd677_sl5_pd251_pl11_sv8_bp12_ba730_bp62,181.69,15.37,52.88,230.38,182.14,184.58
05003_sd835_sl10_pd275_pl6_sv5_bp13_ba730_bp67,169.62,14.68,50.62,199.44,152.31,164.22
05004_sd797_sl7_pd120_pl13_sv11_bp11_ba690_bp54,206.93,17.53,58.78,276.84,205.51,348.39
05005_sd830_sl14_pd225_pl10_sv7_bp13_ba680_bp76,183.54,16.21,49.95,221.32,188.8,177.01
05006_sd780_sl10_pd123_pl11_sv13_bp14_ba660_bp50,194.96,19.83,55.69,265.86,275.93,430.25
05007_sd729_sl11_pd226_pl8_sv9_bp11_ba360_bp61,104.99,10.27,30.1,133.24,119.0,175.91
05008_sd856_sl8_pd218_pl13_sv9_bp11_ba690_bp64,232.35,15.99,52.63,231.33,273.33,245.93
05009_sd770_sl8_pd227_pl14_sv5_bp13_ba690_bp61,162.53,14.37,49.14,205.37,159.84,153.87
05010_sd726_sl12_pd234_pl13_sv9_bp11_ba690_bp63,167.31,15.32,50.88,213.23,176.0,210.64
05011_sd641_sl10_pd209_pl10_sv9_bp11_ba890_bp59,222.51,17.58,58.47,289.02,199.68,263.22
05012_sd739_sl12_pd237_pl9_sv8_bp12_ba700_bp59,188.45,18.06,62.8,317.85,193.16,266.51
05013_sd730_sl12_pd225_pl12_sv10_bp11_ba720_bp45,179.95,15.91,54.79,244.78,183.25,221.01
05014_sd785_sl9_pd253_pl11_sv5_bp13_ba700_bp58,166.96,13.92,45.1,201.01,155.25,147.4
05015_sd875_sl11_pd257_pl10_sv8_bp15_ba680_bp46,173.25,15.74,54.17,230.63,175.61,219.44
05016_sd802_sl8_pd322_pl11_sv9_bp12_ba750_bp60,195.84,15.99,53.51,218.09,196.98,236.85
05017_sd660_sl10_pd256_pl9_sv8_bp12_ba700_bp58,167.52,14.29,50.66,216.49,154.94,185.15
05018_sd837_sl9_pd288_pl8_sv7_bp13_ba770_bp41,187.98,15.31,54.28,229.96,177.15,191.53
05019_sd767_sl14_pd238_pl11_sv6_bp12_ba650_bp53,155.83,14.57,45.64,199.45,148.65,156.5
05020_sd670_sl9_pd278_pl12_sv11_bp12_ba580_bp37,147.21,14.37,51.25,196.95,159.82,216.85
05021_sd716_sl13_pd310_pl10_sv8_bp11_ba850_bp44,212.52,19.46,64.71,326.49,201.58,269.65
05022_sd566_sl10_pd214_pl8_sv3_bp13_ba590_bp64,136.3,12.6,41.54,169.19,125.15,113.17
05023_sd753_sl7_pd189_pl9_sv8_bp14_ba750_bp73,192.81,15.45,54.76,240.5,201.74,233.74
05024_sd624_sl7_pd267_pl12_sv8_bp13_ba660_bp47,225.32,16.01,48.29,245.43,266.28,213.83
05025_sd796_sl8_pd114_pl9_sv9_bp11_ba430_bp68,145.08,13.44,37.91,168.58,157.6,188.32
05026_sd671_sl10_pd207_pl9_sv10_bp12_ba690_bp69,184.99,14.97,50.19,193.55,171.94,220.61
05027_sd559_sl8_pd214_pl8_sv5_bp11_ba680_bp64,156.84,13.47,49.14,197.73,142.47,135.71
05028_sd762_sl9_pd172_pl11_sv9_bp11_ba780_bp52,206.99,16.6,55.0,235.38,230.7,288.72
05029_sd741_sl7_pd169_pl7_sv11_bp11_ba620_bp64,246.46,17.58,50.06,255.23,311.01,352.16
05030_sd785_sl11_pd177_pl9_sv9_bp13_ba650_bp71,176.06,15.85,50.04,218.02,190.34,213.89
05031_sd783_sl14_pd215_pl7_sv10_bp10_ba590_bp46,172.25,15.5,53.8,206.58,186.55,266.34
05032_sd843_sl10_pd303_pl11_sv7_bp11_ba810_bp53,194.5,17.73,62.43,313.96,190.0,257.86
05033_sd799_sl12_pd167_pl11_sv7_bp12_ba600_bp63,152.79,14.31,48.27,198.62,152.38,176.28
05034_sd725_sl11_pd172_pl9_sv8_bp12_ba740_bp71,199.3,15.38,54.13,239.92,199.04,248.62
05035_sd668_sl12_pd196_pl11_sv7_bp11_ba730_bp60,176.21,14.94,54.24,228.2,167.99,176.62
05036_sd859_sl9_pd153_pl10_sv9_bp12_ba680_bp60,174.83,16.3,51.6,209.64,198.65,204.61
05037_sd772_sl11_pd140_pl8_sv10_bp12_ba590_bp38,150.7,14.54,46.48,189.15,152.05,271.63
05038_sd719_sl13_pd157_pl9_sv4_bp12_ba590_bp61,137.01,13.45,44.84,185.99,121.88,137.63
05039_sd845_sl11_pd285_pl8_sv10_bp12_ba620_bp59,152.53,14.99,49.34,182.65,149.05,251.16
05040_sd668_sl10_pd192_pl13_sv7_bp13_ba680_bp53,174.04,15.84,53.5,240.35,178.32,205.61
05041_sd672_sl11_pd244_pl12_sv8_bp13_ba710_bp60,169.58,14.61,53.51,235.82,173.75,192.79
05042_sd927_sl10_pd221_pl13_sv8_bp13_ba900_bp60,221.3,20.82,66.51,365.09,250.46,275.14
05043_sd662_sl12_pd233_pl10_sv4_bp12_ba860_bp60,199.51,15.94,55.54,265.53,179.28,199.76
05044_sd687_sl8_pd259_pl8_sv8_bp9_ba660_bp53,168.97,13.71,49.46,210.0,163.13,166.95
05045_sd799_sl10_pd139_pl10_sv7_bp12_ba690_bp78,171.52,16.5,57.41,278.51,154.27,232.43
05046_sd790_sl11_pd147_pl7_sv9_bp9_ba750_bp51,193.48,15.84,55.77,233.92,200.32,224.81
05047_sd650_sl8_pd251_pl9_sv8_bp12_ba730_bp60,172.08,15.1,50.93,209.21,171.02,193.06
05048_sd693_sl12_pd175_pl9_sv9_bp12_ba750_bp52,206.05,16.55,55.36,269.8,212.04,272.9
05049_sd786_sl13_pd243_pl8_sv10_bp13_ba720_bp64,186.84,15.92,58.91,219.35,189.02,276.31
05050_sd604_sl9_pd98_pl10_sv10_bp12_ba740_bp46,195.46,15.83,56.6,233.09,186.1,271.66
05051_sd594_sl8_pd328_pl10_sv10_bp11_ba770_bp61,196.46,15.88,56.04,235.79,182.17,242.78
05052_sd775_sl11_pd200_pl10_sv6_bp13_ba670_bp60,174.46,14.1,50.57,208.81,172.46,169.67
05053_sd899_sl7_pd168_pl12_sv6_bp11_ba670_bp48,166.11,14.46,49.62,204.09,158.25,179.78
05054_sd764_sl7_pd189_pl9_sv14_bp12_ba790_bp63,476.68,27.14,68.67,501.94,663.61,564.98
05055_sd703_sl10_pd232_pl11_sv10_bp11_ba630_bp70,169.43,14.33,47.76,205.12,173.34,189.62
05056_sd689_sl9_pd193_pl9_sv12_bp11_ba450_bp35,160.23,14.39,45.13,188.33,207.65,358.84
05057_sd799_sl9_pd132_pl11_sv7_bp13_ba620_bp52,162.16,15.8,56.36,267.2,155.23,263.49
05058_sd817_sl9_pd232_pl8_sv8_bp12_ba760_bp58,194.63,15.43,52.5,226.87,181.9,217.14
05059_sd792_sl10_pd290_pl7_sv10_bp13_ba730_bp61,199.26,17.11,58.21,224.85,204.67,238.18
05060_sd733_sl4_pd50_pl8_sv10_bp14_ba490_bp59,152.29,13.58,44.79,191.12,177.38,213.54
05061_sd604_sl9_pd213_pl12_sv10_bp13_ba810_bp48,212.08,15.92,56.29,252.96,219.78,293.91
05062_sd708_sl10_pd200_pl12_sv8_bp12_ba730_bp66,181.76,18.61,64.75,333.03,182.62,307.82
05063_sd801_sl13_pd196_pl11_sv6_bp12_ba640_bp61,157.06,14.68,45.55,202.33,151.55,165.49
05064_sd765_sl11_pd276_pl11_sv8_bp13_ba790_bp54,193.87,17.44,61.89,285.5,185.54,284.31
05065_sd630_sl7_pd236_pl11_sv7_bp14_ba770_bp59,192.38,14.99,52.05,224.93,190.33,193.43
05066_sd676_sl10_pd189_pl7_sv10_bp13_ba650_bp38,181.95,18.2,54.68,213.39,186.44,245.31
05067_sd699_sl12_pd136_pl11_sv9_bp13_ba800_bp67,207.42,18.36,60.33,301.59,196.07,275.76
05068_sd727_sl5_pd170_pl11_sv7_bp12_ba490_bp57,151.17,11.8,37.6,181.97,172.76,169.75
05069_sd784_sl10_pd160_pl11_sv9_bp14_ba620_bp50,159.97,16.35,53.64,229.0,167.48,208.37
05070_sd812_sl9_pd157_pl7_sv7_bp11_ba730_bp55,167.77,15.73,54.06,231.18,182.02,190.04
05071_sd707_sl10_pd176_pl10_sv9_bp11_ba630_bp53,153.74,14.83,48.15,205.1,153.38,182.42
05072_sd900_sl13_pd245_pl10_sv10_bp14_ba720_bp71,203.4,17.56,58.81,242.86,214.76,273.56
05073_sd664_sl10_pd233_pl11_sv10_bp12_ba610_bp49,152.29,15.03,44.72,187.34,151.12,191.56
05074_sd829_sl12_pd275_pl7_sv5_bp13_ba750_bp54,178.62,15.35,56.71,243.48,167.34,207.59
05075_sd775_sl8_pd201_pl16_sv8_bp12_ba800_bp64,189.11,15.4,56.81,235.28,182.6,192.98
05076_sd836_sl11_pd198_pl9_sv8_bp13_ba750_bp57,213.58,16.77,57.23,253.74,230.04,221.0
05077_sd773_sl11_pd183_pl9_sv9_bp12_ba810_bp50,199.6,17.84,60.71,253.6,224.7,248.35
05078_sd740_sl12_pd162_pl9_sv6_bp12_ba880_bp62,216.89,16.49,59.44,277.86,204.43,223.8
05079_sd826_sl10_pd94_pl11_sv10_bp13_ba830_bp47,213.49,18.49,61.04,287.26,225.71,280.05
05080_sd691_sl12_pd172_pl12_sv9_bp12_ba770_bp63,182.85,16.53,57.93,282.39,185.1,237.46
05081_sd857_sl10_pd255_pl8_sv6_bp11_ba760_bp55,192.04,15.29,54.51,221.17,176.37,179.03
