load_case,out_oopDisp_mm_n2,out_supReac_kN_n3,out_supReac_kN_n4,out_verDisp_mm_n5,out_oopDisp_mm_n5,out_endBend_kNm_n6
06001_sd872_sl10_pd258_pl13_sv9_bp12_ba650_bp84,169.26,16.71,58.98,277.84,170.96,241.06
06002_sd867_sl12_pd223_pl13_sv9_bp12_ba670_bp67,176.16,17.92,62.96,288.42,188.96,288.12
06003_sd751_sl12_pd223_pl13_sv9_bp15_ba660_bp64,164.06,17.37,62.09,296.96,169.64,257.55
06004_sd742_sl9_pd239_pl11_sv6_bp11_ba720_bp47,169.06,14.61,52.59,215.36,163.79,168.28
06005_sd767_sl12_pd255_pl8_sv3_bp13_ba770_bp58,176.28,14.82,53.89,234.45,153.54,184.65
06006_sd850_sl12_pd150_pl10_sv10_bp12_ba780_bp64,201.26,19.74,59.83,252.49,210.18,234.01
06007_sd773_sl16_pd150_pl10_sv6_bp14_ba750_bp44,184.97,15.69,52.92,225.82,180.15,186.29
06008_sd784_sl9_pd169_pl14_sv8_bp12_ba680_bp64,168.57,15.83,53.23,248.35,169.09,235.25
06009_sd870_sl7_pd248_pl8_sv7_bp10_ba590_bp73,157.15,13.86,46.46,201.82,144.72,166.01
06010_sd828_sl10_pd231_pl11_sv7_bp13_ba810_bp53,188.39,16.5,57.4,251.57,188.77,199.43
06011_sd897_sl8_pd191_pl10_sv6_bp11_ba640_bp51,156.03,13.91,51.81,213.9,147.07,189.71
06012_sd804_sl10_pd232_pl8_sv4_bp11_ba740_bp58,167.4,14.29,52.24,220.16,149.55,157.31
06013_sd682_sl9_pd218_pl9_sv9_bp11_ba820_bp47,201.98,15.66,55.72,232.59,206.34,219.41
06014_sd912_sl10_pd202_pl9_sv7_bp14_ba500_bp41,131.77,13.18,40.17,173.25,126.88,173.83
06015_sd787_sl9_pd247_pl8_sv8_bp13_ba540_bp76,144.39,14.45,43.08,182.04,149.99,171.95
06016_sd711_sl11_pd187_pl10_sv5_bp12_ba860_bp43,205.83,16.06,55.47,257.57,184.29,179.1
06017_sd612_sl8_pd255_pl11_sv11_bp11_ba710_bp28,188.57,17.74,58.0,242.42,199.72,249.28
06018_sd798_sl13_pd194_pl11_sv5_bp12_ba790_bp48,195.8,15.93,55.14,228.48,182.06,179.85
06019_sd762_sl10_pd196_pl11_sv11_bp13_ba850_bp60,202.25,17.73,59.69,277.64,213.36,283.76
06020_sd763_sl9_pd227_pl9_sv8_bp13_ba650_bp68,156.21,14.22,48.02,189.84,171.22,193.18
06021_sd708_sl10_pd252_pl12_sv8_bp10_ba630_bp61,151.77,17.09,59.99,290.09,161.39,263.04
06022_sd740_sl11_pd253_pl8_sv8_bp14_ba580_bp63,181.63,15.02,46.06,207.67,213.85,194.8
06023_sd736_sl10_pd214_pl10_sv9_bp13_ba650_bp60,164.36,15.46,48.97,195.5,154.81,194.99
06024_sd681_sl16_pd144_pl11_sv5_bp13_ba650_bp71,152.51,14.41,47.78,201.34,135.83,149.76
06025_sd794_sl6_pd228_pl6_sv8_bp13_ba480_bp45,135.16,12.44,39.49,180.2,145.97,192.21
06026_sd669_sl12_pd178_pl8_sv8_bp12_ba810_bp74,218.62,17.59,56.39,294.34,237.34,235.86
06027_sd629_sl7_pd168_pl11_sv7_bp9_ba380_bp70,96.97,11.07,28.68,119.9,103.61,116.56
06028_sd686_sl11_pd217_pl10_sv11_bp11_ba750_bp52,175.88,16.62,59.46,246.76,189.26,251.91
