load_case,out_oopDisp_mm_n2,out_supReac_kN_n3,out_supReac_kN_n4,out_verDisp_mm_n5,out_oopDisp_mm_n5,out_endBend_kNm_n6
28001_sd694_sl11_pd252_pl11_sv10_bp12_ba640_bp63,157.98,15.25,47.13,198.62,156.16,199.19
28002_sd756_sl9_pd239_pl9_sv7_bp13_ba420_bp55,114.15,11.27,30.52,135.6,114.95,134.62
28003_sd854_sl7_pd113_pl9_sv11_bp10_ba720_bp56,263.74,19.53,57.47,272.24,311.41,346.02
28004_sd707_sl12_pd273_pl10_sv9_bp13_ba630_bp66,160.53,16.24,50.56,225.9,156.24,212.98
28005_sd680_sl11_pd133_pl6_sv11_bp13_ba700_bp70,210.56,16.08,50.28,218.7,225.42,227.31
28006_sd770_sl11_pd109_pl8_sv5_bp11_ba850_bp63,217.35,16.47,58.35,268.08,222.66,209.04
28007_sd800_sl11_pd317_pl9_sv6_bp11_ba740_bp72,176.59,14.73,54.17,213.95,160.4,155.69
28008_sd810_sl10_pd231_pl10_sv12_bp12_ba690_bp59,184.33,16.21,56.52,231.15,225.65,350.15
28009_sd697_sl10_pd115_pl13_sv8_bp12_ba620_bp61,147.89,13.72,50.96,217.66,148.34,205.96
28010_sd743_sl11_pd185_pl14_sv8_bp13_ba680_bp76,162.69,14.53,48.64,200.27,157.0,150.11
28011_sd675_sl13_pd273_pl11_sv9_bp10_ba760_bp54,176.43,16.75,58.78,285.02,176.59,236.47
28012_sd607_sl8_pd174_pl11_sv10_bp12_ba760_bp65,199.56,15.11,50.93,235.13,206.78,246.53
28013_sd700_sl9_pd255_pl9_sv7_bp13_ba740_bp37,183.29,14.32,50.63,216.45,175.09,193.2
28014_sd814_sl12_pd222_pl12_sv8_bp12_ba580_bp61,141.29,14.46,47.52,217.05,147.16,188.94
28015_sd755_sl10_pd154_pl8_sv7_bp12_ba620_bp62,150.37,15.26,50.94,217.44,155.26,186.04
28016_sd871_sl11_pd231_pl12_sv5_bp11_ba580_bp58,139.96,14.07,42.78,170.79,128.62,137.91
28017_sd854_sl11_pd268_pl13_sv7_bp13_ba640_bp60,159.73,14.57,46.22,199.45,164.64,160.56
28018_sd663_sl6_pd201_pl10_sv8_bp12_ba600_bp70,160.25,13.56,41.24,174.98,158.43,160.58
28019_sd865_sl11_pd242_pl7_sv5_bp12_ba780_bp67,187.52,15.92,55.13,220.07,170.49,164.8
28020_sd704_sl9_pd211_pl11_sv13_bp12_ba660_bp61,198.13,17.09,56.09,228.16,245.44,364.12
28021_sd736_sl10_pd143_pl10_sv10_bp12_ba710_bp77,179.64,16.01,53.32,195.67,183.15,215.02
28022_sd678_sl10_pd157_pl11_sv10_bp11_ba550_bp63,143.03,13.7,42.63,165.27,145.48,188.17
28023_sd850_sl10_pd163_pl12_sv5_bp11_ba690_bp78,163.85,14.05,51.25,207.64,144.46,173.24
28024_sd728_sl5_pd254_pl12_sv6_bp12_ba810_bp50,194.57,15.89,54.92,254.29,190.76,196.28
28025_sd592_sl8_pd132_pl10_sv5_bp11_ba650_bp67,157.13,12.86,43.46,179.85,137.28,131.18
28026_sd730_sl10_pd209_pl8_sv7_bp12_ba760_bp64,199.26,15.07,54.52,226.41,214.78,215.86
28027_sd804_sl7_pd193_pl10_sv7_bp11_ba660_bp64,177.91,14.87,48.21,206.15,189.28,190.19
28028_sd798_sl11_pd244_pl7_sv8_bp11_ba700_bp68,219.04,16.55,56.14,265.11,251.63,219.31
28029_sd822_sl11_pd201_pl11_sv8_bp13_ba790_bp80,195.39,19.04,65.55,333.56,203.18,290.23
28030_sd770_sl12_pd207_pl8_sv7_bp14_ba790_bp64,198.38,17.63,58.9,268.17,195.37,262.9
28031_sd737_sl10_pd186_pl10_sv9_bp12_ba730_bp57,172.01,15.58,57.28,225.2,182.12,224.95
28032_sd710_sl11_pd242_pl11_sv9_bp12_ba690_bp89,172.34,16.85,57.92,264.34,151.85,221.56
28033_sd714_sl10_pd194_pl7_sv9_bp12_ba760_bp44,200.67,17.34,59.55,277.44,214.92,303.58
28034_sd603_sl10_pd166_pl8_sv7_bp12_ba830_bp70,209.41,15.67,54.32,259.74,198.55,205.65
28035_sd726_sl11_pd138_pl6_sv9_bp11_ba790_bp62,200.19,17.51,60.27,283.64,211.67,246.22
28036_sd758_sl11_pd203_pl10_sv7_bp13_ba590_bp65,147.34,13.43,45.15,182.27,148.81,144.93
28037_sd831_sl13_pd292_pl7_sv6_bp12_ba780_bp46,192.96,16.05,56.51,227.04,186.66,182.23
28038_sd810_sl10_pd249_pl10_sv7_bp13_ba640_bp50,156.03,15.5,55.09,235.86,164.26,222.64
28039_sd759_sl13_pd154_pl10_sv10_bp12_ba700_bp86,191.43,16.84,54.0,224.95,213.64,219.61
28040_sd803_sl9_pd182_pl9_sv8_bp11_ba640_bp68,165.6,14.04,49.96,207.53,157.98,202.2
28041_sd659_sl9_pd129_pl10_sv8_bp13_ba510_bp63,123.69,13.79,40.4,182.44,144.82,163.77
28042_sd690_sl10_pd142_pl10_sv9_bp10_ba800_bp63,192.79,17.07,55.51,235.73,187.2,243.77
28043_sd742_sl9_pd241_pl10_sv6_bp13_ba610_bp72,145.93,13.24,44.57,171.14,130.99,139.11
28044_sd808_sl10_pd185_pl8_sv9_bp14_ba710_bp70,175.83,15.43,54.62,235.43,168.66,228.9
28045_sd852_sl7_pd179_pl9_sv6_bp10_ba640_bp55,153.47,14.32,50.65,221.24,148.76,167.99
28046_sd699_sl10_pd209_pl9_sv9_bp11_ba700_bp56,165.64,16.95,49.42,203.32,175.02,203.92
28047_sd747_sl9_pd205_pl9_sv4_bp13_ba600_bp61,145.26,13.28,43.28,168.27,134.64,125.19
28048_sd815_sl14_pd120_pl12_sv10_bp13_ba700_bp47,185.21,16.62,54.43,235.36,205.99,263.72
28049_sd691_sl8_pd152_pl12_sv6_bp12_ba800_bp74,210.51,16.3,54.83,280.79,222.0,227.6
28050_sd744_sl6_pd225_pl12_sv7_bp12_ba770_bp61,216.37,14.62,51.65,238.1,238.74,206.72
28051_sd736_sl8_pd154_pl10_sv8_bp13_ba600_bp72,158.15,13.77,42.73,188.94,179.23,190.04
28052_sd793_sl7_pd92_pl8_sv11_bp14_ba670_bp69,267.54,18.78,52.7,248.85,327.22,376.63
28053_sd660_sl11_pd194_pl9_sv9_bp14_ba600_bp60,156.56,14.56,46.74,189.18,152.47,179.54
28054_sd693_sl10_pd204_pl10_sv8_bp13_ba670_bp67,168.94,15.52,50.78,214.15,165.59,183.98
28055_sd669_sl8_pd264_pl13_sv9_bp12_ba620_bp59,198.17,14.51,45.07,219.65,229.74,203.62
28056_sd810_sl9_pd298_pl11_sv11_bp12_ba550_bp70,160.15,15.6,52.68,233.3,169.78,225.24
28057_sd802_sl5_pd126_pl10_sv9_bp11_ba620_bp74,197.14,19.09,53.9,261.75,222.34,197.36
28058_sd721_sl9_pd243_pl10_sv12_bp12_ba920_bp48,235.53,17.08,60.4,307.89,243.38,382.59
28059_sd699_sl10_pd210_pl8_sv6_bp12_ba710_bp58,169.14,14.06,51.24,213.54,158.16,166.32
28060_sd785_sl8_pd160_pl8_sv7_bp14_ba630_bp52,155.85,13.22,42.0,185.36,152.69,189.65
28061_sd629_sl8_pd216_pl12_sv12_bp14_ba740_bp53,192.34,18.43,57.1,271.06,211.1,312.07
28062_sd727_sl10_pd96_pl10_sv12_bp13_ba590_bp58,158.68,15.02,55.48,212.81,206.1,366.32
28063_sd948_sl11_pd155_pl10_sv6_bp12_ba450_bp68,124.43,12.84,39.73,172.34,124.51,169.31
28064_sd805_sl11_pd107_pl6_sv8_bp13_ba660_bp52,185.15,16.6,52.31,237.7,206.73,201.39
28065_sd758_sl12_pd218_pl8_sv6_bp13_ba830_bp58,191.16,15.49,56.74,234.05,179.85,175.73
28066_sd856_sl10_pd172_pl13_sv10_bp11_ba580_bp63,177.41,15.94,46.23,203.14,203.81,219.17
28067_sd661_sl7_pd207_pl11_sv6_bp11_ba860_bp76,194.85,15.31,54.43,236.96,176.88,166.91
28068_sd695_sl9_pd150_pl9_sv12_bp11_ba770_bp68,217.49,17.07,55.39,269.96,232.2,296.88
28069_sd881_sl14_pd222_pl12_sv5_bp12_ba580_bp67,148.66,14.97,41.67,173.79,144.56,139.14
28070_sd910_sl11_pd296_pl10_sv7_bp12_ba700_bp51,165.79,14.68,49.74,203.23,158.05,184.96
28071_sd779_sl12_pd293_pl10_sv10_bp12_ba760_bp63,186.89,16.97,57.29,234.28,192.43,244.66
28072_sd666_sl8_pd176_pl6_sv9_bp12_ba810_bp70,208.98,17.43,59.95,286.13,205.04,239.97
28073_sd700_sl11_pd184_pl7_sv9_bp10_ba610_bp49,164.78,14.51,41.14,184.93,173.45,197.76
