load_case,out_oopDisp_mm_n2,out_supReac_kN_n3,out_supReac_kN_n4,out_verDisp_mm_n5,out_oopDisp_mm_n5,out_endBend_kNm_n6
12001_sd735_sl14_pd222_pl10_sv7_bp11_ba890_bp72,205.5,17.04,59.16,280.42,178.43,225.3
12002_sd775_sl5_pd248_pl7_sv9_bp14_ba660_bp81,180.79,15.31,51.74,220.65,199.45,197.08
12003_sd718_sl11_pd107_pl12_sv7_bp10_ba630_bp67,169.51,14.22,43.78,207.75,179.38,143.82
12004_sd673_sl10_pd283_pl13_sv8_bp12_ba770_bp77,180.15,16.19,57.38,265.02,166.91,220.74
12005_sd689_sl10_pd187_pl8_sv6_bp13_ba830_bp66,194.62,15.36,54.36,229.94,176.4,177.92
12006_sd759_sl11_pd230_pl6_sv6_bp10_ba630_bp61,155.54,13.7,49.61,204.39,152.0,178.48
12007_sd836_sl8_pd169_pl10_sv9_bp12_ba630_bp50,169.92,14.98,50.35,186.87,178.78,198.9
12008_sd739_sl9_pd218_pl11_sv9_bp13_ba530_bp56,141.72,13.37,39.89,169.41,157.83,203.61
12009_sd716_sl11_pd210_pl7_sv10_bp13_ba750_bp58,196.63,16.24,55.74,241.96,197.03,263.3
12010_sd718_sl10_pd207_pl11_sv8_bp11_ba770_bp59,184.83,19.53,62.87,316.05,177.14,278.35
12011_sd790_sl12_pd145_pl9_sv10_bp13_ba860_bp60,217.86,18.76,60.87,273.5,231.8,317.88
12012_sd705_sl10_pd226_pl9_sv8_bp12_ba750_bp57,194.06,14.85,53.57,241.68,185.65,228.77
12013_sd742_sl12_pd271_pl11_sv6_bp10_ba570_bp60,134.83,12.99,43.53,179.65,129.18,146.62
12014_sd718_sl13_pd332_pl10_sv9_bp12_ba760_bp50,190.22,17.61,60.4,258.36,185.86,277.38
12015_sd828_sl11_pd243_pl11_sv10_bp13_ba720_bp65,188.12,16.79,55.39,222.39,184.16,225.07
12016_sd599_sl10_pd184_pl11_sv6_bp12_ba760_bp69,192.98,14.91,51.6,223.67,187.25,181.01
12017_sd816_sl6_pd118_pl9_sv14_bp13_ba870_bp69,410.7,30.8,78.98,528.71,582.96,528.26
12018_sd688_sl9_pd167_pl10_sv9_bp12_ba870_bp72,220.83,17.18,58.78,246.82,208.53,270.22
12019_sd712_sl4_pd187_pl8_sv9_bp13_ba650_bp75,176.26,15.05,50.94,222.41,189.03,193.9
12020_sd596_sl13_pd249_pl7_sv10_bp12_ba670_bp50,158.79,15.42,52.82,202.19,155.61,238.26
12021_sd706_sl13_pd150_pl8_sv6_bp11_ba670_bp46,166.22,14.92,54.09,229.55,157.43,198.21
12022_sd809_sl8_pd212_pl13_sv7_bp12_ba640_bp72,148.46,13.54,45.59,185.24,154.57,150.68
12023_sd824_sl10_pd260_pl12_sv10_bp12_ba580_bp73,155.05,14.42,44.42,188.99,164.79,191.83
12024_sd726_sl12_pd162_pl12_sv9_bp13_ba490_bp63,135.84,16.1,54.63,265.62,149.22,243.97
12025_sd823_sl11_pd133_pl9_sv10_bp10_ba600_bp62,159.16,14.9,48.43,178.75,178.04,240.17
12026_sd744_sl12_pd192_pl9_sv7_bp12_ba710_bp60,175.35,15.01,54.95,228.36,173.85,179.71
12027_sd685_sl10_pd192_pl9_sv11_bp13_ba520_bp59,140.74,12.84,38.95,165.72,154.37,214.71
12028_sd955_sl9_pd208_pl12_sv8_bp12_ba680_bp67,195.77,19.4,63.98,308.24,225.81,300.24
12029_sd713_sl12_pd113_pl7_sv7_bp11_ba560_bp70,162.52,13.57,43.27,193.48,180.3,147.1
12030_sd744_sl12_pd220_pl11_sv9_bp12_ba600_bp54,151.31,16.41,54.66,257.45,161.65,224.99
12031_sd662_sl11_pd265_pl9_sv3_bp14_ba720_bp59,164.69,13.99,50.99,208.25,147.95,160.32
12032_sd780_sl8_pd195_pl12_sv8_bp13_ba800_bp53,252.19,18.1,59.91,303.87,295.95,268.91
12033_sd631_sl7_pd169_pl10_sv8_bp10_ba630_bp79,173.66,13.73,46.99,203.54,183.13,164.25
12034_sd807_sl13_pd325_pl9_sv7_bp12_ba750_bp56,185.57,15.92,58.41,257.13,165.2,212.58
12035_sd743_sl11_pd205_pl5_sv9_bp12_ba810_bp76,200.38,18.64,61.9,278.15,189.51,249.73
12036_sd659_sl12_pd226_pl10_sv8_bp12_ba740_bp55,182.78,18.04,62.68,317.05,176.29,288.41
12037_sd690_sl10_pd208_pl9_sv8_bp11_ba720_bp65,200.01,15.88,54.29,245.61,216.21,210.87
12038_sd809_sl9_pd187_pl11_sv5_bp13_ba540_bp62,139.74,12.81,38.82,162.92,139.94,128.21
12039_sd861_sl8_pd268_pl11_sv12_bp10_ba590_bp68,185.56,17.82,57.28,276.49,221.3,346.58
12040_sd671_sl11_pd168_pl5_sv6_bp11_ba770_bp57,199.02,15.01,52.53,241.47,190.74,210.26
