load_case,out_oopDisp_mm_n2,out_supReac_kN_n3,out_supReac_kN_n4,out_verDisp_mm_n5,out_oopDisp_mm_n5,out_endBend_kNm_n6
38001_sd746_sl10_pd201_pl13_sv9_bp11_ba620_bp68,159.21,15.61,53.74,247.63,177.98,206.96
38002_sd716_sl12_pd120_pl13_sv8_bp13_ba840_bp68,208.88,15.73,54.59,243.4,188.54,190.63
38003_sd721_sl11_pd160_pl8_sv9_bp11_ba540_bp70,144.8,13.29,39.48,174.18,161.57,200.81
38004_sd676_sl11_pd273_pl9_sv6_bp14_ba850_bp51,193.55,15.69,55.69,255.54,168.15,198.26
38005_sd758_sl8_pd247_pl12_sv8_bp10_ba570_bp66,207.64,16.29,47.56,234.23,263.19,226.58
38006_sd892_sl13_pd164_pl11_sv10_bp12_ba540_bp71,157.5,16.56,48.02,210.61,164.42,240.87
38007_sd838_sl11_pd254_pl9_sv11_bp11_ba830_bp78,235.23,17.97,65.31,301.68,258.31,449.68
38008_sd755_sl13_pd160_pl8_sv8_bp12_ba680_bp71,196.19,17.25,59.68,288.52,210.53,277.4
38009_sd745_sl8_pd228_pl15_sv5_bp11_ba770_bp67,178.12,15.0,50.88,226.84,165.89,166.07
38010_sd648_sl10_pd247_pl10_sv5_bp10_ba770_bp62,178.4,14.55,52.18,225.14,161.25,167.95
38011_sd705_sl11_pd179_pl11_sv7_bp12_ba770_bp73,196.41,15.57,54.83,250.11,193.0,202.59
38012_sd822_sl10_pd187_pl10_sv7_bp12_ba670_bp66,157.68,15.19,52.31,223.97,162.94,196.71
38013_sd655_sl8_pd208_pl7_sv7_bp11_ba830_bp67,204.18,15.82,54.38,232.41,195.76,188.47
38014_sd597_sl12_pd246_pl10_sv6_bp12_ba690_bp58,183.12,14.52,52.34,235.98,183.64,182.14
38015_sd682_sl12_pd174_pl12_sv9_bp12_ba650_bp63,165.5,17.2,60.76,294.3,181.31,266.02
38016_sd781_sl11_pd183_pl8_sv7_bp11_ba680_bp49,173.23,14.84,50.86,216.96,162.43,188.0
38017_sd591_sl11_pd193_pl12_sv11_bp14_ba380_bp68,109.41,12.04,35.47,158.2,126.13,159.82
38018_sd732_sl9_pd101_pl12_sv6_bp13_ba520_bp67,160.87,14.17,43.34,215.76,177.47,192.47
38019_sd715_sl11_pd124_pl8_sv5_bp13_ba610_bp72,156.04,13.05,45.84,188.71,151.49,157.26
38020_sd768_sl9_pd192_pl10_sv8_bp12_ba700_bp59,213.67,15.72,52.98,265.25,220.89,211.31
38021_sd860_sl11_pd262_pl9_sv7_bp12_ba670_bp56,173.96,18.31,63.59,303.79,178.15,297.09
38022_sd634_sl10_pd166_pl11_sv8_bp12_ba610_bp68,153.72,14.03,44.62,201.15,163.6,157.69
38023_sd810_sl13_pd286_pl8_sv10_bp11_ba780_bp58,208.38,16.41,60.9,245.85,221.16,303.35
38024_sd831_sl8_pd224_pl11_sv6_bp12_ba620_bp45,145.14,12.97,41.66,167.13,130.61,173.34
38025_sd778_sl9_pd191_pl10_sv10_bp13_ba740_bp64,193.03,16.28,55.98,215.1,192.54,256.01
38026_sd553_sl11_pd134_pl6_sv5_bp11_ba690_bp66,160.06,13.64,48.8,191.28,141.62,135.47
38027_sd762_sl10_pd199_pl13_sv6_bp13_ba650_bp45,160.22,14.06,49.38,208.71,161.77,164.43
38028_sd710_sl10_pd222_pl12_sv10_bp11_ba830_bp56,214.87,17.07,55.14,267.55,237.69,263.68
38029_sd712_sl12_pd346_pl7_sv7_bp14_ba640_bp55,154.41,13.94,42.04,179.18,150.42,176.98
38030_sd707_sl9_pd256_pl8_sv5_bp12_ba810_bp67,184.86,15.45,54.78,243.16,167.38,195.27
38031_sd618_sl7_pd247_pl15_sv6_bp12_ba570_bp63,135.12,12.54,39.35,169.09,122.86,137.65
38032_sd683_sl8_pd206_pl9_sv4_bp11_ba770_bp58,175.8,14.8,52.12,224.78,163.76,158.68
38033_sd796_sl10_pd214_pl11_sv9_bp11_ba700_bp57,181.76,16.38,56.81,244.69,180.94,206.79
38034_sd678_sl10_pd247_pl11_sv6_bp13_ba640_bp69,159.9,14.46,44.63,192.98,161.84,150.93
38035_sd745_sl11_pd211_pl8_sv6_bp12_ba670_bp50,160.05,13.84,50.73,212.29,154.12,171.83
38036_sd616_sl7_pd287_pl9_sv10_bp11_ba630_bp58,190.2,14.97,49.01,212.26,213.39,215.04
38037_sd752_sl12_pd113_pl9_sv8_bp10_ba620_bp60,173.74,17.49,55.23,267.21,184.39,210.55
38038_sd786_sl8_pd173_pl9_sv5_bp13_ba790_bp54,185.39,14.76,55.05,227.93,164.77,186.6
38039_sd813_sl10_pd197_pl11_sv7_bp11_ba730_bp58,171.74,15.48,55.4,261.63,168.36,226.52
38040_sd718_sl6_pd247_pl10_sv7_bp12_ba560_bp57,151.3,12.95,39.41,170.34,166.98,130.47
38041_sd814_sl14_pd228_pl11_sv12_bp12_ba700_bp63,190.73,18.67,59.44,249.61,223.21,310.71
38042_sd665_sl9_pd203_pl8_sv10_bp14_ba820_bp61,217.73,16.72,58.01,250.57,231.95,277.96
38043_sd718_sl13_pd274_pl7_sv6_bp13_ba810_bp58,185.62,15.59,54.62,225.05,172.27,185.35
38044_sd689_sl8_pd178_pl9_sv5_bp12_ba790_bp36,189.87,15.39,53.56,236.15,179.57,186.22
38045_sd798_sl10_pd207_pl12_sv6_bp14_ba890_bp60,237.32,18.18,60.19,290.61,238.7,262.92
38046_sd624_sl9_pd189_pl7_sv10_bp11_ba720_bp76,196.68,15.71,52.26,216.06,199.04,227.84
38047_sd726_sl7_pd121_pl8_sv9_bp12_ba760_bp52,223.25,15.83,52.99,244.02,237.46,236.85
38048_sd681_sl11_pd169_pl7_sv6_bp13_ba680_bp60,164.19,14.36,49.31,200.91,152.65,146.61
38049_sd845_sl9_pd225_pl12_sv10_bp11_ba570_bp49,156.75,14.54,47.11,197.28,194.73,254.98
38050_sd704_sl12_pd165_pl12_sv9_bp13_ba680_bp61,166.8,16.09,56.48,258.09,166.68,243.3
38051_sd877_sl11_pd216_pl12_sv8_bp13_ba690_bp64,171.55,16.32,59.63,271.41,176.14,264.65
38052_sd786_sl10_pd180_pl9_sv11_bp12_ba880_bp54,224.38,17.59,63.55,304.27,241.33,375.33
38053_sd772_sl13_pd246_pl12_sv7_bp15_ba610_bp60,161.72,14.51,48.35,210.87,169.9,185.85
38054_sd805_sl11_pd175_pl13_sv5_bp13_ba670_bp55,160.1,14.81,46.76,218.87,156.47,164.25
38055_sd737_sl11_pd164_pl11_sv9_bp14_ba710_bp56,169.42,16.38,56.13,243.57,169.51,213.08
38056_sd926_sl8_pd217_pl12_sv5_bp13_ba540_bp66,133.5,12.4,39.67,154.0,130.32,126.81
38057_sd827_sl7_pd199_pl11_sv11_bp13_ba750_bp70,213.59,17.18,58.84,233.03,251.17,256.46
38058_sd817_sl8_pd219_pl10_sv9_bp14_ba840_bp64,219.18,16.92,57.34,275.69,221.92,265.97
38059_sd672_sl8_pd225_pl11_sv9_bp12_ba780_bp66,199.35,15.82,54.65,228.02,215.94,228.66
