load_case,out_oopDisp_mm_n2,out_supReac_kN_n3,out_supReac_kN_n4,out_verDisp_mm_n5,out_oopDisp_mm_n5,out_endBend_kNm_n6
41001_sd739_sl8_pd171_pl8_sv8_bp12_ba790_bp64,201.8,15.86,52.77,224.28,191.59,189.06
41002_sd764_sl11_pd136_pl12_sv9_bp13_ba880_bp63,211.91,18.54,63.73,351.14,222.27,302.7
41003_sd906_sl10_pd217_pl14_sv6_bp14_ba800_bp51,188.35,15.92,55.79,242.36,175.97,212.86
41004_sd809_sl11_pd200_pl11_sv9_bp12_ba810_bp74,189.7,18.27,61.29,283.62,189.31,258.67
41005_sd912_sl11_pd195_pl6_sv10_bp12_ba690_bp55,207.05,19.52,59.52,231.12,219.41,272.62
41006_sd658_sl12_pd163_pl10_sv4_bp13_ba550_bp67,129.3,12.53,40.4,172.49,121.34,133.1
41007_sd718_sl11_pd226_pl12_sv6_bp13_ba570_bp57,155.0,14.09,43.01,195.32,165.1,149.76
41008_sd798_sl10_pd222_pl10_sv9_bp13_ba630_bp64,167.36,15.73,49.98,189.87,170.99,188.07
41009_sd833_sl11_pd118_pl10_sv7_bp12_ba790_bp66,188.29,16.37,57.09,242.56,182.48,202.14
41010_sd677_sl8_pd204_pl10_sv5_bp12_ba760_bp49,206.39,14.78,52.47,251.19,214.0,197.79
41011_sd789_sl8_pd118_pl11_sv11_bp12_ba690_bp50,184.65,18.11,61.32,294.73,202.42,314.54
41012_sd694_sl14_pd123_pl11_sv7_bp13_ba630_bp59,149.01,14.15,45.71,192.75,140.45,167.35
41013_sd764_sl7_pd313_pl11_sv7_bp12_ba580_bp67,166.96,13.54,44.39,183.36,174.86,163.77
41014_sd795_sl8_pd138_pl8_sv6_bp13_ba750_bp68,179.61,15.2,54.96,240.03,184.56,196.93
41015_sd786_sl11_pd228_pl12_sv5_bp13_ba710_bp61,164.97,14.86,50.19,206.33,156.19,165.84
41016_sd738_sl9_pd301_pl10_sv8_bp12_ba560_bp46,137.8,13.44,46.66,204.05,146.56,181.35
41017_sd759_sl9_pd275_pl11_sv6_bp12_ba810_bp65,192.65,16.17,56.44,243.19,184.55,179.84
41018_sd620_sl10_pd198_pl10_sv9_bp14_ba520_bp78,128.48,12.79,39.42,156.09,120.05,141.72
41019_sd842_sl10_pd189_pl10_sv10_bp13_ba800_bp66,210.8,18.03,57.81,243.44,204.08,251.79
41020_sd870_sl11_pd147_pl8_sv9_bp13_ba510_bp55,143.94,13.71,41.58,165.38,174.25,223.44
41021_sd723_sl8_pd191_pl13_sv6_bp13_ba680_bp52,178.86,15.72,54.54,259.59,176.94,220.25
41022_sd782_sl9_pd198_pl8_sv10_bp9_ba750_bp58,207.38,15.89,53.09,228.6,223.62,256.77
41023_sd721_sl11_pd190_pl11_sv7_bp12_ba640_bp87,152.17,13.48,46.12,196.46,147.68,144.99
41024_sd754_sl11_pd164_pl6_sv7_bp12_ba690_bp55,191.67,14.98,52.35,220.81,205.05,200.54
41025_sd853_sl11_pd228_pl10_sv8_bp13_ba510_bp59,135.79,14.86,55.41,245.76,143.06,252.26
41026_sd671_sl10_pd150_pl10_sv10_bp10_ba800_bp57,189.27,16.88,54.67,243.24,208.42,234.04
41027_sd711_sl6_pd163_pl10_sv9_bp13_ba700_bp54,189.17,15.5,52.67,245.46,184.81,246.16
41028_sd695_sl12_pd132_pl11_sv10_bp13_ba490_bp57,130.33,14.44,38.78,177.19,144.68,186.9
41029_sd786_sl11_pd158_pl8_sv11_bp11_ba690_bp51,200.38,18.04,56.65,230.64,238.8,279.48
41030_sd756_sl9_pd121_pl10_sv6_bp12_ba810_bp62,191.55,16.18,54.32,246.61,181.31,194.52
41031_sd703_sl10_pd168_pl9_sv8_bp13_ba750_bp63,200.18,15.1,54.73,223.68,204.11,214.38
41032_sd754_sl9_pd208_pl13_sv5_bp13_ba630_bp68,153.16,13.29,41.87,185.68,141.98,128.67
41033_sd781_sl8_pd183_pl8_sv8_bp11_ba770_bp70,199.1,15.25,51.96,217.53,181.36,195.84
41034_sd689_sl10_pd169_pl10_sv8_bp13_ba790_bp65,182.85,16.02,57.26,253.59,176.28,219.92
41035_sd777_sl8_pd189_pl14_sv8_bp11_ba630_bp44,159.32,13.55,45.6,198.97,157.63,185.74
41036_sd891_sl7_pd195_pl11_sv6_bp13_ba700_bp54,168.88,14.42,50.67,210.84,157.23,170.87
41037_sd747_sl8_pd178_pl8_sv7_bp10_ba680_bp52,171.92,14.05,47.66,187.07,160.42,172.06
41038_sd790_sl12_pd168_pl8_sv7_bp12_ba870_bp53,201.96,16.25,57.52,246.29,178.65,199.6
41039_sd797_sl12_pd168_pl10_sv9_bp12_ba600_bp61,157.99,16.53,54.35,258.22,174.17,238.68
41040_sd863_sl9_pd241_pl7_sv7_bp12_ba710_bp68,191.66,15.75,54.9,233.11,183.72,200.71
41041_sd738_sl12_pd170_pl9_sv9_bp14_ba580_bp50,162.31,14.65,46.87,197.49,177.31,219.53
41042_sd790_sl7_pd61_pl14_sv7_bp13_ba740_bp62,172.96,14.94,51.15,220.69,165.55,186.31
41043_sd867_sl10_pd215_pl9_sv7_bp14_ba860_bp53,200.75,17.44,61.58,286.97,186.91,272.31
41044_sd658_sl9_pd152_pl10_sv7_bp10_ba730_bp53,176.55,14.8,49.25,211.81,166.46,163.27
41045_sd650_sl9_pd103_pl10_sv11_bp12_ba680_bp48,181.06,15.16,54.86,238.51,199.06,237.78
41046_sd689_sl7_pd224_pl11_sv8_bp12_ba650_bp61,168.5,13.72,45.91,184.5,171.47,168.01
41047_sd809_sl10_pd287_pl13_sv10_bp13_ba620_bp63,184.52,15.41,45.34,212.48,213.56,195.87
41048_sd677_sl8_pd86_pl11_sv10_bp12_ba640_bp48,181.73,13.71,49.13,211.51,199.55,277.7
41049_sd676_sl10_pd198_pl11_sv7_bp11_ba710_bp73,172.44,14.45,50.47,210.24,161.45,160.97
41050_sd711_sl9_pd284_pl9_sv8_bp14_ba800_bp65,195.01,15.5,55.41,230.23,191.3,186.4
41051_sd834_sl9_pd298_pl9_sv7_bp11_ba700_bp65,169.06,14.99,49.15,211.86,158.9,175.0
41052_sd815_sl10_pd175_pl10_sv7_bp13_ba810_bp64,193.24,17.96,63.57,312.07,190.23,289.5
41053_sd739_sl11_pd159_pl9_sv12_bp11_ba690_bp64,197.24,16.35,57.78,249.39,257.77,363.03
41054_sd730_sl8_pd91_pl10_sv9_bp12_ba650_bp56,177.61,14.4,48.36,195.98,192.14,193.56
41055_sd856_sl8_pd203_pl11_sv6_bp13_ba670_bp67,164.7,13.99,47.16,201.05,167.3,162.6
41056_sd799_sl12_pd197_pl12_sv5_bp13_ba720_bp67,165.38,14.67,52.78,223.74,157.73,177.53
41057_sd809_sl11_pd114_pl7_sv6_bp12_ba1030_bp70,236.91,19.71,62.75,322.05,215.02,238.6
41058_sd769_sl11_pd213_pl9_sv9_bp12_ba840_bp73,220.29,17.63,61.71,265.74,231.29,280.59
41059_sd716_sl10_pd121_pl10_sv10_bp12_ba510_bp66,130.88,14.23,40.39,157.47,143.15,188.94
41060_sd582_sl10_pd177_pl9_sv8_bp13_ba630_bp63,161.63,13.85,46.11,183.4,162.89,172.98
41061_sd622_sl10_pd152_pl16_sv10_bp12_ba790_bp78,206.16,15.95,56.81,264.75,205.99,217.89
41062_sd824_sl8_pd223_pl9_sv8_bp13_ba720_bp67,188.41,15.85,50.28,219.65,190.51,198.34
41063_sd723_sl11_pd118_pl12_sv8_bp12_ba790_bp72,192.09,16.62,57.77,293.7,186.04,251.42
41064_sd800_sl10_pd234_pl11_sv13_bp12_ba740_bp63,199.28,17.71,60.44,262.87,239.4,382.82
41065_sd606_sl7_pd202_pl11_sv4_bp12_ba750_bp71,171.55,13.95,50.26,218.26,151.6,158.0
41066_sd916_sl8_pd159_pl14_sv9_bp12_ba660_bp83,262.18,18.59,53.13,260.88,340.81,289.25
41067_sd842_sl14_pd178_pl8_sv7_bp12_ba720_bp57,186.0,15.72,51.54,226.12,187.61,181.18
41068_sd767_sl12_pd208_pl8_sv11_bp13_ba620_bp75,159.89,18.07,63.07,288.47,166.58,309.53
41069_sd925_sl10_pd168_pl11_sv9_bp12_ba830_bp64,215.97,18.58,64.45,306.16,231.8,270.05
41070_sd676_sl6_pd194_pl10_sv7_bp13_ba680_bp50,186.91,14.64,48.99,218.88,194.38,152.58
41071_sd752_sl10_pd188_pl11_sv11_bp12_ba630_bp69,178.95,15.07,48.58,194.21,169.86,231.11
41072_sd775_sl9_pd197_pl11_sv9_bp10_ba660_bp69,221.36,16.35,51.71,242.48,259.97,233.18
41073_sd907_sl6_pd138_pl8_sv8_bp12_ba600_bp64,186.43,17.32,53.88,257.27,204.84,224.06
41074_sd722_sl10_pd158_pl8_sv5_bp12_ba600_bp53,152.63,12.99,44.82,185.87,152.37,141.21
41075_sd702_sl7_pd312_pl10_sv11_bp12_ba560_bp48,155.42,14.9,46.88,200.15,172.74,194.99
41076_sd564_sl9_pd214_pl10_sv6_bp12_ba610_bp62,141.9,12.45,40.14,165.43,130.89,133.7
41077_sd868_sl12_pd297_pl9_sv10_bp11_ba660_bp59,166.39,16.5,54.68,216.1,199.51,253.48
41078_sd764_sl8_pd119_pl11_sv8_bp14_ba540_bp61,203.4,15.35,43.13,222.79,265.97,226.27
41079_sd834_sl12_pd196_pl10_sv10_bp12_ba850_bp51,212.79,20.42,64.28,283.76,218.4,298.87
41080_sd863_sl12_pd155_pl12_sv6_bp12_ba530_bp44,132.65,13.47,36.27,172.21,141.94,143.11
41081_sd731_sl12_pd184_pl11_sv10_bp13_ba640_bp62,179.37,15.78,51.05,205.6,184.45,195.13
41082_sd802_sl7_pd184_pl13_sv6_bp12_ba780_bp48,184.3,14.75,53.81,237.91,168.86,201.71
41083_sd848_sl8_pd204_pl12_sv10_bp12_ba690_bp54,204.25,15.17,54.39,231.03,211.82,321.01
41084_sd631_sl10_pd254_pl11_sv6_bp11_ba730_bp52,188.18,14.96,52.13,218.82,184.34,170.91
41085_sd551_sl8_pd223_pl8_sv6_bp12_ba640_bp56,157.24,13.7,47.62,202.82,142.09,156.42
41086_sd728_sl13_pd152_pl9_sv5_bp13_ba780_bp58,185.38,15.65,53.75,234.65,170.63,181.88
41087_sd865_sl13_pd119_pl7_sv8_bp13_ba630_bp58,265.81,17.75,54.12,280.08,346.55,287.57
41088_sd710_sl9_pd321_pl8_sv9_bp11_ba660_bp48,167.31,14.52,46.1,198.41,170.53,198.68
41089_sd650_sl10_pd219_pl10_sv8_bp12_ba730_bp68,185.28,15.25,52.82,241.34,173.62,232.39
41090_sd879_sl11_pd134_pl9_sv7_bp14_ba620_bp56,157.59,15.08,51.42,229.35,151.18,236.19
41091_sd758_sl12_pd243_pl8_sv7_bp12_ba670_bp61,165.04,14.76,52.58,215.06,159.89,192.32
41092_sd770_sl4_pd120_pl12_sv9_bp11_ba770_bp43,217.96,17.08,57.05,317.71,218.67,271.27
41093_sd814_sl11_pd214_pl13_sv6_bp11_ba670_bp55,164.48,14.76,49.29,191.99,148.76,160.45
41094_sd706_sl10_pd252_pl11_sv9_bp11_ba580_bp67,145.45,14.07,47.56,211.9,142.18,177.14
41095_sd850_sl10_pd184_pl8_sv9_bp13_ba750_bp64,206.98,16.52,55.98,230.83,189.1,260.45
41096_sd729_sl8_pd183_pl10_sv8_bp12_ba790_bp61,204.97,15.51,56.98,231.69,201.31,214.39
41097_sd721_sl9_pd247_pl8_sv9_bp12_ba790_bp86,200.79,16.15,55.26,240.45,195.86,235.24
41098_sd780_sl14_pd227_pl7_sv8_bp12_ba770_bp57,232.87,16.45,58.91,290.15,260.74,259.69
41099_sd746_sl9_pd225_pl8_sv4_bp13_ba620_bp46,146.09,13.38,46.29,188.13,136.81,135.9
41100_sd704_sl13_pd203_pl12_sv5_bp14_ba770_bp72,175.59,15.59,54.52,223.36,156.35,162.2
41101_sd866_sl12_pd164_pl10_sv9_bp11_ba890_bp53,244.15,20.08,64.32,305.04,252.73,343.63
41102_sd763_sl10_pd258_pl6_sv8_bp13_ba790_bp48,199.39,16.39,58.04,264.1,191.56,234.94
41103_sd805_sl10_pd210_pl10_sv2_bp12_ba800_bp59,178.58,14.99,53.26,239.25,159.69,183.22
41104_sd713_sl10_pd249_pl11_sv4_bp13_ba690_bp59,168.85,13.98,49.22,200.86,156.57,139.58
41105_sd667_sl12_pd181_pl12_sv9_bp13_ba790_bp54,198.86,16.62,57.93,274.0,214.96,259.64
41106_sd752_sl8_pd214_pl8_sv6_bp12_ba670_bp72,160.34,14.2,50.48,207.11,144.99,174.39
41107_sd941_sl10_pd165_pl9_sv9_bp12_ba840_bp75,212.78,17.63,62.52,248.31,194.7,262.83
41108_sd867_sl5_pd155_pl10_sv9_bp12_ba650_bp50,203.57,20.53,58.88,307.97,209.02,233.49
41109_sd804_sl12_pd186_pl7_sv5_bp12_ba730_bp76,172.92,14.42,53.03,206.58,158.5,147.28
41110_sd706_sl11_pd222_pl11_sv8_bp12_ba590_bp45,146.06,18.02,57.48,300.72,155.82,244.07
41111_sd692_sl11_pd278_pl12_sv5_bp12_ba730_bp54,172.04,14.67,53.03,215.93,156.09,164.08
41112_sd614_sl7_pd245_pl10_sv7_bp11_ba710_bp61,173.6,13.72,49.16,204.49,164.75,167.34
41113_sd792_sl11_pd163_pl12_sv5_bp12_ba630_bp69,149.14,14.07,44.93,185.11,141.13,136.47
41114_sd752_sl14_pd141_pl9_sv8_bp14_ba710_bp62,174.64,15.4,54.27,223.46,178.46,216.29
41115_sd780_sl8_pd229_pl12_sv8_bp11_ba950_bp61,250.02,19.08,63.48,332.4,262.24,270.37
41116_sd762_sl10_pd242_pl9_sv7_bp11_ba460_bp58,115.31,11.77,33.75,141.24,112.98,142.35
41117_sd818_sl11_pd261_pl13_sv7_bp13_ba570_bp69,145.57,13.89,40.06,178.03,143.68,134.94
41118_sd841_sl11_pd208_pl8_sv8_bp12_ba640_bp68,226.46,17.02,51.95,248.35,268.24,240.56
41119_sd822_sl9_pd248_pl6_sv9_bp10_ba510_bp51,149.37,15.85,45.73,226.55,167.06,231.71
41120_sd809_sl13_pd224_pl10_sv7_bp13_ba750_bp63,196.59,16.79,54.81,254.91,194.76,200.05
41121_sd748_sl8_pd252_pl15_sv8_bp12_ba740_bp62,193.3,15.55,55.11,236.48,193.38,191.79
41122_sd814_sl7_pd283_pl11_sv7_bp11_ba820_bp79,192.87,16.32,55.02,236.08,173.82,170.4
41123_sd856_sl11_pd176_pl8_sv5_bp11_ba620_bp64,150.19,14.17,46.64,192.58,137.95,147.66
