load_case,out_oopDisp_mm_n2,out_supReac_kN_n3,out_supReac_kN_n4,out_verDisp_mm_n5,out_oopDisp_mm_n5,out_endBend_kNm_n6
47001_sd516_sl7_pd201_pl7_sv6_bp13_ba790_bp58,179.79,14.37,51.27,230.46,167.96,171.87
47002_sd765_sl5_pd194_pl11_sv9_bp12_ba730_bp40,204.34,21.03,64.37,371.13,208.9,337.79
47003_sd813_sl8_pd279_pl9_sv5_bp13_ba750_bp57,182.76,15.08,53.71,235.07,171.3,188.06
47004_sd721_sl12_pd181_pl9_sv4_bp13_ba750_bp63,189.04,14.51,51.77,227.32,180.03,169.79
47005_sd759_sl12_pd223_pl9_sv6_bp13_ba660_bp66,163.19,14.45,46.17,203.49,160.36,153.76
47006_sd761_sl12_pd148_pl11_sv10_bp13_ba560_bp55,145.81,15.41,46.1,185.08,165.34,195.81
47007_sd728_sl11_pd166_pl12_sv7_bp11_ba740_bp65,193.66,15.65,53.66,236.81,195.64,193.44
47008_sd788_sl13_pd222_pl7_sv7_bp12_ba490_bp65,146.95,13.97,43.08,190.59,168.92,187.79
47009_sd641_sl10_pd154_pl8_sv3_bp13_ba630_bp53,144.99,13.34,43.81,168.71,130.9,115.85
47010_sd757_sl11_pd74_pl8_sv8_bp10_ba560_bp55,211.31,15.34,49.69,242.87,260.05,220.36
47011_sd801_sl12_pd132_pl10_sv7_bp14_ba730_bp52,181.45,15.77,57.49,247.46,192.2,197.71
47012_sd698_sl8_pd176_pl12_sv6_bp12_ba630_bp63,169.82,14.1,50.02,219.83,167.75,188.42
47013_sd790_sl10_pd243_pl10_sv11_bp13_ba750_bp59,191.71,16.8,57.99,241.01,194.13,278.27
47014_sd728_sl12_pd156_pl8_sv12_bp11_ba520_bp53,146.96,15.81,50.41,195.89,215.14,328.25
47015_sd705_sl11_pd171_pl10_sv7_bp10_ba640_bp54,155.42,14.26,50.63,199.97,147.91,180.3
47016_sd832_sl13_pd263_pl10_sv10_bp13_ba770_bp74,201.02,17.23,57.46,229.87,204.24,237.59
47017_sd765_sl12_pd128_pl14_sv10_bp12_ba540_bp61,151.29,16.16,55.89,231.54,164.68,258.22
47018_sd818_sl8_pd215_pl9_sv6_bp11_ba760_bp62,177.08,15.37,55.1,239.3,167.7,195.91
47019_sd710_sl14_pd203_pl10_sv5_bp14_ba820_bp60,191.5,15.72,54.85,254.61,172.49,189.73
47020_sd562_sl12_pd156_pl12_sv9_bp11_ba740_bp58,180.01,15.98,54.66,263.17,187.43,224.71
47021_sd611_sl14_pd210_pl11_sv8_bp12_ba690_bp66,169.66,14.8,47.06,199.56,176.75,162.31
47022_sd716_sl10_pd163_pl6_sv10_bp13_ba830_bp77,230.38,18.85,60.67,259.98,229.85,236.3
47023_sd729_sl10_pd150_pl12_sv8_bp13_ba590_bp56,148.54,15.97,57.68,275.49,154.27,257.63
47024_sd755_sl10_pd281_pl12_sv6_bp14_ba590_bp47,147.07,13.55,42.96,178.66,147.64,129.82
47025_sd945_sl9_pd262_pl8_sv6_bp12_ba610_bp63,157.63,16.45,55.09,238.86,142.48,207.37
47026_sd663_sl10_pd239_pl9_sv7_bp11_ba700_bp58,172.41,15.98,53.56,231.44,163.84,197.82
47027_sd802_sl9_pd196_pl8_sv9_bp14_ba570_bp56,153.16,14.19,46.82,203.3,153.75,200.82
47028_sd772_sl12_pd243_pl11_sv8_bp12_ba660_bp76,163.2,16.1,58.65,274.43,167.96,229.38
47029_sd722_sl11_pd135_pl12_sv8_bp12_ba830_bp48,200.46,19.32,62.94,316.5,199.2,279.46
47030_sd643_sl8_pd198_pl13_sv5_bp11_ba810_bp60,184.17,14.56,51.58,228.9,162.13,159.94
47031_sd815_sl7_pd259_pl6_sv10_bp13_ba770_bp61,276.05,22.2,65.26,337.27,354.58,261.33
47032_sd779_sl9_pd209_pl8_sv9_bp11_ba610_bp56,160.03,14.42,44.11,187.43,166.51,210.33
47033_sd842_sl10_pd154_pl12_sv5_bp11_ba610_bp49,144.25,13.75,45.46,179.76,135.17,144.95
47034_sd715_sl15_pd240_pl12_sv12_bp12_ba580_bp57,188.8,15.86,52.84,221.62,215.72,274.24
47035_sd701_sl13_pd157_pl9_sv8_bp12_ba740_bp65,204.24,18.21,60.7,303.96,208.07,288.61
47036_sd836_sl12_pd182_pl10_sv7_bp13_ba640_bp66,167.26,14.67,47.43,212.71,173.04,168.64
47037_sd703_sl11_pd150_pl10_sv6_bp12_ba750_bp56,186.27,14.96,53.81,235.39,173.85,181.84
47038_sd842_sl14_pd12_pl10_sv9_bp12_ba800_bp68,205.24,18.92,65.17,352.71,218.1,299.37
47039_sd737_sl10_pd168_pl11_sv9_bp12_ba570_bp78,153.55,15.44,47.04,216.2,156.16,191.85
47040_sd754_sl14_pd93_pl11_sv11_bp11_ba650_bp61,176.76,15.91,55.18,235.94,206.11,269.7
47041_sd748_sl9_pd203_pl10_sv6_bp11_ba750_bp66,175.72,14.6,52.22,227.36,161.58,193.61
47042_sd708_sl10_pd222_pl11_sv5_bp13_ba790_bp63,178.76,14.81,52.24,221.51,163.35,159.92
47043_sd703_sl7_pd248_pl16_sv8_bp11_ba690_bp58,166.16,14.4,47.66,195.73,163.7,192.8
47044_sd680_sl11_pd162_pl10_sv4_bp12_ba700_bp39,168.02,14.26,49.93,207.89,154.45,138.59
47045_sd886_sl11_pd161_pl10_sv9_bp12_ba650_bp57,157.76,15.86,50.77,198.85,177.05,199.75
47046_sd634_sl11_pd187_pl12_sv6_bp11_ba810_bp65,194.17,15.97,54.06,236.32,182.92,190.14
47047_sd658_sl9_pd143_pl9_sv9_bp12_ba660_bp62,159.6,14.3,47.46,181.96,151.62,187.52
47048_sd798_sl10_pd256_pl12_sv6_bp12_ba820_bp46,205.6,16.35,57.81,245.75,197.86,222.5
47049_sd708_sl9_pd300_pl10_sv8_bp12_ba680_bp55,173.19,14.69,50.54,215.99,180.71,189.17
47050_sd750_sl11_pd267_pl10_sv9_bp13_ba890_bp63,212.23,18.05,63.23,291.82,211.09,272.78
47051_sd824_sl6_pd291_pl8_sv7_bp9_ba630_bp72,160.24,13.16,47.31,187.83,149.84,149.47
47052_sd697_sl10_pd203_pl8_sv8_bp12_ba530_bp67,163.46,14.0,42.74,190.69,183.3,174.67
47053_sd807_sl11_pd205_pl12_sv9_bp12_ba820_bp63,203.22,17.24,59.57,270.25,205.23,237.1
47054_sd786_sl7_pd259_pl9_sv10_bp11_ba700_bp70,208.01,15.81,50.94,222.71,214.31,258.13
47055_sd694_sl10_pd158_pl8_sv6_bp12_ba510_bp66,128.52,12.01,32.84,146.93,123.68,123.82
47056_sd807_sl8_pd113_pl10_sv4_bp12_ba770_bp73,174.05,14.62,51.9,224.09,156.87,171.72
47057_sd774_sl14_pd194_pl10_sv11_bp12_ba960_bp57,233.8,19.93,67.01,316.08,257.06,357.29
47058_sd731_sl11_pd177_pl11_sv7_bp13_ba560_bp59,154.38,13.66,41.68,187.46,168.37,151.31
47059_sd698_sl11_pd291_pl11_sv8_bp13_ba610_bp73,156.48,17.33,57.77,278.85,158.25,252.47
47060_sd975_sl10_pd232_pl11_sv1_bp12_ba750_bp62,168.47,14.82,53.56,229.68,149.37,183.59
47061_sd711_sl11_pd187_pl11_sv7_bp13_ba630_bp66,155.94,14.32,50.62,202.69,153.12,171.11
47062_sd743_sl6_pd269_pl10_sv12_bp13_ba770_bp72,253.89,19.32,52.54,267.3,285.08,321.44
47063_sd875_sl9_pd193_pl9_sv6_bp11_ba730_bp64,170.59,16.86,61.16,286.77,171.7,243.43
47064_sd731_sl8_pd196_pl9_sv7_bp13_ba620_bp54,162.58,14.11,42.68,195.6,156.99,152.45
47065_sd625_sl9_pd120_pl10_sv5_bp13_ba660_bp52,155.21,12.94,46.37,187.09,145.51,147.01
47066_sd759_sl10_pd188_pl15_sv6_bp11_ba540_bp53,133.87,13.45,39.2,167.3,125.52,134.87
47067_sd817_sl14_pd219_pl8_sv9_bp10_ba510_bp56,198.85,14.99,41.52,213.92,262.28,225.8
47068_sd883_sl7_pd145_pl9_sv8_bp13_ba580_bp46,171.94,14.32,44.1,194.07,174.23,166.73
47069_sd843_sl9_pd193_pl12_sv8_bp14_ba820_bp57,222.51,19.35,65.27,321.56,252.09,251.2
47070_sd609_sl11_pd251_pl10_sv11_bp12_ba620_bp50,162.89,15.29,51.12,199.84,155.8,211.48
47071_sd884_sl11_pd249_pl7_sv9_bp13_ba780_bp39,201.05,17.35,63.92,289.43,231.95,285.53
47072_sd799_sl12_pd135_pl8_sv9_bp13_ba730_bp58,200.53,16.28,57.93,241.19,238.22,289.82
47073_sd727_sl9_pd232_pl10_sv5_bp11_ba760_bp61,176.76,14.27,52.89,220.27,164.26,172.19
47074_sd803_sl11_pd219_pl12_sv11_bp12_ba560_bp47,143.73,16.65,46.39,203.59,167.47,264.06
47075_sd768_sl11_pd207_pl8_sv8_bp13_ba820_bp41,234.9,17.11,59.76,273.23,266.8,240.02
