load_case,out_oopDisp_mm_n2,out_supReac_kN_n3,out_supReac_kN_n4,out_verDisp_mm_n5,out_oopDisp_mm_n5,out_endBend_kNm_n6
04001_sd661_sl12_pd201_pl12_sv11_bp13_ba730_bp55,182.21,16.82,54.96,239.25,178.58,234.94
04002_sd801_sl12_pd222_pl8_sv8_bp11_ba830_bp61,239.34,17.29,59.46,267.6,260.19,213.67
04003_sd658_sl9_pd239_pl7_sv10_bp12_ba660_bp51,182.9,16.04,51.39,215.79,189.35,204.73
04004_sd813_sl6_pd236_pl11_sv4_bp13_ba710_bp66,164.19,13.88,49.72,193.0,152.95,139.49
04005_sd707_sl10_pd259_pl11_sv8_bp12_ba620_bp44,158.86,14.47,49.72,214.13,155.58,173.34
04006_sd721_sl8_pd199_pl8_sv9_bp13_ba720_bp67,195.79,16.43,53.56,251.71,186.85,209.16
04007_sd794_sl10_pd215_pl13_sv10_bp13_ba600_bp63,189.7,15.0,47.01,217.66,224.98,193.16
04008_sd794_sl13_pd220_pl10_sv11_bp13_ba730_bp61,192.87,16.81,57.78,245.13,189.96,282.57
04009_sd790_sl8_pd210_pl15_sv10_bp11_ba790_bp70,240.58,17.03,57.1,259.35,279.58,265.93
04010_sd656_sl13_pd133_pl9_sv7_bp12_ba720_bp56,176.43,14.71,50.23,214.6,167.95,167.08
04011_sd728_sl11_pd142_pl10_sv7_bp14_ba780_bp61,181.58,15.36,56.69,248.07,167.96,208.72
04012_sd785_sl10_pd225_pl6_sv7_bp11_ba810_bp62,213.67,16.26,57.59,260.19,208.81,202.36
04013_sd697_sl10_pd207_pl8_sv4_bp12_ba940_bp64,216.69,16.64,58.95,266.6,190.54,185.45
04014_sd831_sl13_pd146_pl10_sv8_bp13_ba740_bp76,203.49,19.92,65.4,348.47,195.31,318.07
04015_sd830_sl8_pd153_pl9_sv6_bp11_ba620_bp61,147.96,14.78,50.28,230.64,148.26,191.99
04016_sd721_sl11_pd227_pl7_sv8_bp13_ba690_bp60,178.44,15.5,48.89,206.41,188.31,181.49
04017_sd817_sl11_pd103_pl6_sv5_bp14_ba980_bp62,231.65,18.99,61.46,310.58,220.02,219.39
04018_sd727_sl10_pd240_pl9_sv9_bp12_ba710_bp65,173.97,16.93,52.18,204.15,171.09,195.92
04019_sd794_sl10_pd226_pl8_sv10_bp12_ba760_bp51,200.63,15.8,60.97,225.59,210.34,276.09
04020_sd826_sl6_pd222_pl11_sv8_bp13_ba740_bp59,189.38,15.71,52.2,216.9,207.01,211.11
04021_sd694_sl8_pd196_pl14_sv8_bp12_ba580_bp54,168.46,14.17,45.44,207.93,186.72,181.55
04022_sd686_sl11_pd207_pl10_sv6_bp12_ba590_bp79,151.77,13.51,44.8,191.27,153.4,150.44
04023_sd716_sl14_pd297_pl8_sv9_bp10_ba600_bp50,221.96,15.72,52.21,252.82,273.91,249.75
04024_sd766_sl9_pd174_pl7_sv5_bp12_ba890_bp58,211.37,16.01,58.75,289.05,189.11,219.64
