load_case,out_oopDisp_mm_n2,out_supReac_kN_n3,out_supReac_kN_n4,out_verDisp_mm_n5,out_oopDisp_mm_n5,out_endBend_kNm_n6
35001_sd886_sl4_pd180_pl10_sv10_bp12_ba600_bp50,189.5,16.5,45.47,220.35,227.98,221.29
35002_sd734_sl8_pd220_pl8_sv7_bp13_ba680_bp52,170.02,13.7,46.7,196.03,168.96,164.73
35003_sd666_sl11_pd195_pl10_sv9_bp14_ba770_bp77,214.42,16.12,54.06,236.84,203.35,203.31
35004_sd779_sl12_pd246_pl9_sv11_bp12_ba750_bp78,199.81,19.03,64.82,273.96,191.03,300.59
35005_sd795_sl9_pd183_pl11_sv8_bp13_ba720_bp51,233.04,16.56,54.51,257.48,267.69,248.07
35006_sd733_sl8_pd164_pl10_sv8_bp13_ba560_bp76,152.01,13.17,40.59,164.34,159.18,161.21
35007_sd654_sl12_pd235_pl10_sv6_bp13_ba760_bp70,193.66,15.55,54.73,244.04,197.5,175.03
35008_sd737_sl10_pd238_pl9_sv10_bp12_ba740_bp65,193.28,15.45,54.72,203.61,181.65,224.62
35009_sd755_sl5_pd182_pl9_sv8_bp12_ba820_bp49,222.29,19.05,59.27,320.27,224.05,277.82
35010_sd655_sl12_pd235_pl10_sv8_bp13_ba800_bp58,190.9,17.5,62.04,304.25,193.13,253.21
35011_sd712_sl10_pd147_pl12_sv6_bp12_ba840_bp78,198.73,15.38,55.04,241.76,188.75,192.82
35012_sd706_sl8_pd112_pl10_sv6_bp13_ba520_bp59,123.15,11.78,34.83,150.08,115.09,113.26
35013_sd762_sl11_pd172_pl7_sv9_bp13_ba800_bp66,200.22,16.82,60.86,257.48,213.94,245.01
35014_sd788_sl8_pd232_pl11_sv8_bp13_ba780_bp50,211.3,15.67,53.78,247.25,240.33,215.7
35015_sd857_sl11_pd122_pl11_sv7_bp13_ba540_bp37,137.9,13.75,43.14,190.61,145.2,170.03
35016_sd708_sl11_pd201_pl9_sv6_bp10_ba670_bp61,160.12,14.3,48.03,203.54,150.64,167.35
35017_sd666_sl10_pd162_pl7_sv8_bp13_ba570_bp49,149.55,13.09,42.65,178.92,157.45,183.59
35018_sd698_sl9_pd162_pl12_sv9_bp13_ba630_bp70,200.36,16.08,50.59,236.45,246.5,190.66
35019_sd827_sl11_pd175_pl9_sv9_bp12_ba660_bp74,167.69,15.53,50.34,198.95,183.65,235.28
35020_sd727_sl7_pd281_pl4_sv6_bp11_ba730_bp70,172.53,14.84,53.28,220.61,167.22,183.79
35021_sd757_sl11_pd227_pl9_sv7_bp11_ba780_bp61,180.27,15.79,54.95,242.29,173.99,205.88
35022_sd773_sl10_pd223_pl10_sv7_bp12_ba740_bp74,180.3,18.52,61.24,292.03,176.47,282.31
35023_sd769_sl12_pd133_pl11_sv6_bp12_ba740_bp66,190.23,15.97,52.03,217.99,181.84,184.54
35024_sd781_sl8_pd136_pl7_sv7_bp11_ba660_bp71,177.49,13.99,47.32,198.67,168.45,170.61
35025_sd743_sl10_pd273_pl15_sv7_bp11_ba740_bp32,199.23,16.83,55.7,253.48,196.91,235.79
35026_sd782_sl9_pd249_pl10_sv9_bp13_ba840_bp49,213.94,18.41,61.69,268.73,217.67,299.3
