load_case,out_oopDisp_mm_n2,out_supReac_kN_n3,out_supReac_kN_n4,out_verDisp_mm_n5,out_oopDisp_mm_n5,out_endBend_kNm_n6
46001_sd742_sl12_pd223_pl10_sv7_bp13_ba640_bp54,158.42,13.75,46.93,187.85,157.86,155.18
46002_sd778_sl11_pd187_pl8_sv7_bp11_ba730_bp52,176.04,15.1,49.46,209.74,168.82,200.26
46003_sd746_sl10_pd172_pl10_sv8_bp12_ba830_bp62,200.09,19.04,65.46,328.86,191.71,319.64
46004_sd853_sl9_pd171_pl12_sv8_bp13_ba730_bp53,181.71,17.22,59.88,296.39,181.26,263.67
46005_sd571_sl8_pd186_pl12_sv8_bp12_ba840_bp64,195.32,16.05,57.23,275.62,181.06,233.36
46006_sd724_sl13_pd169_pl14_sv7_bp13_ba800_bp68,201.26,16.1,54.31,251.32,202.32,211.2
46007_sd781_sl9_pd175_pl9_sv9_bp11_ba710_bp74,182.95,15.05,52.56,197.7,192.94,218.74
46008_sd751_sl14_pd228_pl15_sv9_bp11_ba750_bp43,217.0,17.62,54.99,252.94,220.48,250.17
46009_sd714_sl8_pd248_pl10_sv4_bp13_ba700_bp57,164.29,14.05,50.36,207.41,151.66,146.87
46010_sd851_sl14_pd171_pl11_sv8_bp12_ba940_bp65,225.03,18.29,61.17,274.68,232.0,242.03
46011_sd774_sl7_pd229_pl8_sv11_bp12_ba650_bp53,237.64,18.42,53.84,251.54,292.69,278.68
46012_sd731_sl14_pd164_pl10_sv7_bp12_ba800_bp68,192.4,15.75,56.44,249.53,191.34,185.84
46013_sd791_sl8_pd254_pl7_sv7_bp13_ba830_bp42,197.93,16.03,56.1,229.21,201.53,188.54
46014_sd685_sl12_pd267_pl10_sv8_bp10_ba830_bp55,203.26,19.27,64.67,334.96,195.33,263.28
46015_sd768_sl8_pd192_pl11_sv10_bp11_ba740_bp71,193.27,16.04,55.03,218.79,198.62,227.48
46016_sd689_sl12_pd284_pl8_sv10_bp12_ba710_bp60,167.88,15.27,51.11,211.45,167.52,240.3
46017_sd840_sl9_pd272_pl10_sv5_bp13_ba700_bp75,160.28,14.21,48.03,195.34,154.51,144.67
46018_sd669_sl13_pd238_pl6_sv8_bp10_ba730_bp62,232.81,16.34,53.8,267.06,269.5,188.01
46019_sd834_sl7_pd311_pl11_sv7_bp10_ba850_bp62,239.03,17.19,57.86,281.2,252.4,224.61
46020_sd758_sl14_pd200_pl13_sv6_bp12_ba610_bp61,154.28,14.55,47.24,194.76,149.07,153.31
46021_sd609_sl14_pd237_pl9_sv8_bp11_ba700_bp78,174.64,15.24,54.54,243.08,164.85,188.89
46022_sd741_sl13_pd121_pl9_sv9_bp11_ba840_bp69,245.08,19.23,61.11,322.67,256.79,361.12
46023_sd771_sl10_pd193_pl12_sv5_bp12_ba710_bp67,159.1,13.74,51.26,202.19,149.71,173.74
46024_sd675_sl10_pd255_pl11_sv9_bp11_ba660_bp53,175.47,14.85,50.3,213.02,168.22,177.67
46025_sd667_sl10_pd222_pl12_sv7_bp12_ba890_bp53,206.87,16.87,57.93,271.58,196.87,207.2
46026_sd843_sl7_pd103_pl15_sv5_bp12_ba690_bp58,169.81,14.29,48.8,215.76,157.75,166.22
46027_sd894_sl9_pd200_pl11_sv6_bp12_ba750_bp53,186.2,15.92,56.92,249.07,191.07,209.32
46028_sd584_sl10_pd211_pl9_sv10_bp13_ba660_bp72,167.96,13.84,47.52,190.16,154.39,201.76
46029_sd684_sl9_pd262_pl9_sv10_bp11_ba710_bp50,179.66,14.93,52.88,211.0,178.45,205.84
46030_sd759_sl10_pd150_pl8_sv10_bp12_ba640_bp83,182.66,15.52,53.36,200.72,191.9,229.31
46031_sd765_sl14_pd295_pl12_sv7_bp13_ba680_bp84,164.6,14.84,51.73,208.46,157.81,172.87
46032_sd751_sl12_pd235_pl12_sv10_bp13_ba720_bp52,182.68,16.52,56.51,245.76,191.1,228.23
46033_sd806_sl13_pd119_pl12_sv8_bp13_ba720_bp72,175.49,15.1,55.74,244.01,176.53,212.1
46034_sd716_sl11_pd210_pl11_sv9_bp11_ba670_bp54,168.46,18.34,59.91,297.78,164.01,248.67
46035_sd809_sl12_pd281_pl7_sv8_bp13_ba810_bp33,211.78,17.17,58.77,251.51,227.45,262.85
46036_sd802_sl8_pd222_pl12_sv7_bp14_ba660_bp61,162.77,15.02,52.97,235.81,163.74,221.15
46037_sd726_sl14_pd129_pl8_sv8_bp12_ba820_bp63,236.7,16.34,58.08,289.41,257.85,251.71
46038_sd761_sl10_pd199_pl12_sv9_bp10_ba990_bp52,271.22,19.29,61.54,346.47,280.84,320.55
46039_sd706_sl9_pd302_pl10_sv10_bp12_ba620_bp65,169.22,14.88,49.14,184.39,166.41,210.27
46040_sd809_sl10_pd293_pl10_sv11_bp13_ba780_bp53,191.74,16.72,57.59,255.22,202.16,269.48
46041_sd758_sl8_pd108_pl10_sv6_bp13_ba500_bp73,119.04,12.06,36.58,156.27,115.28,137.29
46042_sd883_sl11_pd208_pl11_sv10_bp12_ba770_bp49,193.88,18.15,57.83,251.41,221.99,269.79
46043_sd826_sl12_pd198_pl11_sv9_bp12_ba540_bp71,149.47,16.8,52.23,235.91,155.54,234.52
46044_sd831_sl11_pd162_pl6_sv7_bp13_ba730_bp51,243.2,17.51,52.17,271.66,300.9,202.3
46045_sd830_sl11_pd98_pl8_sv7_bp13_ba620_bp72,152.41,14.27,48.8,205.09,144.8,191.88
46046_sd821_sl10_pd213_pl11_sv8_bp13_ba650_bp66,152.29,16.26,53.47,248.96,172.18,226.25
46047_sd718_sl10_pd167_pl9_sv8_bp11_ba580_bp78,141.57,13.06,46.84,199.73,139.19,177.99
46048_sd751_sl10_pd194_pl11_sv8_bp12_ba650_bp67,161.43,16.84,58.6,277.84,158.53,236.07
46049_sd751_sl11_pd219_pl7_sv7_bp13_ba730_bp59,195.19,15.27,52.43,230.17,210.71,183.48
46050_sd962_sl9_pd158_pl10_sv8_bp11_ba510_bp66,144.37,13.37,42.48,172.31,154.47,206.01
46051_sd861_sl14_pd206_pl13_sv5_bp13_ba640_bp50,156.49,15.21,48.34,206.28,149.01,152.52
46052_sd702_sl12_pd214_pl14_sv12_bp12_ba570_bp51,183.51,15.57,47.86,210.8,223.97,262.2
