load_case,out_oopDisp_mm_n2,out_supReac_kN_n3,out_supReac_kN_n4,out_verDisp_mm_n5,out_oopDisp_mm_n5,out_endBend_kNm_n6
30001_sd620_sl10_pd274_pl8_sv9_bp12_ba650_bp47,158.84,14.05,44.89,189.93,176.31,182.36
30002_sd792_sl10_pd232_pl10_sv9_bp12_ba610_bp56,145.51,15.04,46.53,181.6,158.25,186.9
30003_sd560_sl12_pd151_pl10_sv8_bp12_ba690_bp44,171.0,16.61,56.81,282.51,166.33,219.94
30004_sd796_sl12_pd205_pl11_sv5_bp11_ba740_bp67,172.5,14.88,51.11,213.16,145.98,171.63
30005_sd840_sl9_pd231_pl10_sv6_bp11_ba640_bp61,151.13,14.51,47.93,195.46,147.34,169.42
30006_sd882_sl11_pd208_pl8_sv6_bp12_ba930_bp63,218.15,16.87,59.85,290.82,206.09,241.23
30007_sd704_sl8_pd262_pl7_sv8_bp12_ba680_bp53,185.15,14.22,52.7,212.23,180.81,197.49
30008_sd694_sl9_pd183_pl12_sv11_bp11_ba610_bp44,150.18,15.13,53.45,205.57,175.61,258.04
30009_sd735_sl12_pd118_pl7_sv7_bp12_ba610_bp61,154.64,13.7,46.56,189.55,146.38,157.52
30010_sd767_sl9_pd129_pl11_sv9_bp12_ba760_bp81,230.64,16.94,55.2,248.76,255.84,218.93
30011_sd706_sl8_pd163_pl12_sv6_bp11_ba610_bp66,147.96,12.6,43.67,180.59,134.86,148.95
30012_sd765_sl9_pd190_pl11_sv8_bp13_ba660_bp49,177.63,15.45,48.52,225.95,199.2,182.15
30013_sd590_sl8_pd135_pl10_sv10_bp13_ba520_bp66,141.2,12.6,39.06,153.28,147.06,174.8
30014_sd678_sl8_pd164_pl9_sv6_bp12_ba980_bp68,224.51,16.79,57.82,283.08,197.95,214.81
30015_sd800_sl10_pd209_pl11_sv4_bp14_ba670_bp66,156.4,14.07,47.95,196.85,142.47,143.49
30016_sd719_sl11_pd277_pl8_sv9_bp12_ba680_bp54,172.39,15.98,51.01,210.34,176.98,247.46
30017_sd799_sl8_pd201_pl12_sv9_bp11_ba610_bp41,180.91,13.55,44.69,192.65,207.18,257.25
30018_sd928_sl6_pd284_pl9_sv8_bp13_ba660_bp56,181.98,14.59,53.66,226.76,174.34,199.12
30019_sd755_sl12_pd138_pl12_sv8_bp12_ba650_bp59,158.39,15.14,52.73,214.35,169.16,220.5
30020_sd934_sl8_pd294_pl11_sv8_bp11_ba760_bp63,223.05,16.33,56.13,270.45,251.89,238.3
30021_sd750_sl10_pd180_pl8_sv8_bp13_ba750_bp72,187.18,16.02,55.71,228.66,183.63,212.54
30022_sd698_sl10_pd205_pl13_sv4_bp11_ba550_bp46,130.82,12.43,38.75,165.34,118.43,131.22
30023_sd728_sl11_pd160_pl9_sv5_bp12_ba560_bp54,133.11,12.95,41.39,165.83,124.01,115.85
30024_sd649_sl8_pd149_pl15_sv8_bp14_ba690_bp58,172.71,14.65,51.71,207.62,175.25,176.4
30025_sd788_sl11_pd252_pl8_sv9_bp14_ba600_bp60,150.31,14.59,45.44,182.9,162.34,201.7
30026_sd723_sl14_pd316_pl9_sv8_bp11_ba690_bp54,171.34,14.39,49.69,204.04,163.8,179.98
30027_sd760_sl12_pd260_pl12_sv8_bp12_ba680_bp65,162.63,15.84,52.47,219.48,169.5,227.08
30028_sd765_sl8_pd156_pl7_sv6_bp13_ba630_bp53,158.4,14.3,42.34,183.67,157.51,151.93
30029_sd675_sl9_pd156_pl8_sv5_bp12_ba710_bp57,170.54,13.92,50.22,206.74,164.94,160.48
30030_sd696_sl9_pd247_pl11_sv9_bp12_ba770_bp49,203.44,15.54,53.84,246.88,218.49,237.24
30031_sd624_sl7_pd220_pl9_sv8_bp13_ba570_bp60,157.78,13.04,40.71,171.41,151.98,156.77
30032_sd865_sl9_pd203_pl15_sv8_bp13_ba520_bp60,129.46,12.67,42.99,187.45,131.62,162.78
30033_sd811_sl10_pd131_pl10_sv6_bp12_ba750_bp63,225.16,15.61,55.57,286.18,248.57,250.23
30034_sd848_sl11_pd147_pl10_sv4_bp12_ba740_bp38,173.43,14.52,52.23,201.44,155.7,146.91
30035_sd744_sl8_pd272_pl11_sv11_bp13_ba690_bp64,180.22,16.96,57.06,235.08,189.09,264.29
30036_sd810_sl8_pd149_pl9_sv7_bp11_ba610_bp59,158.73,13.98,45.56,189.4,156.41,166.4
30037_sd874_sl6_pd266_pl9_sv8_bp13_ba690_bp72,188.99,18.69,62.39,346.79,194.2,292.73
30038_sd606_sl8_pd185_pl9_sv6_bp13_ba720_bp74,167.86,13.93,49.82,220.02,152.76,162.65
30039_sd705_sl8_pd222_pl12_sv10_bp13_ba740_bp44,214.88,15.18,52.34,227.38,214.41,253.63
30040_sd703_sl9_pd142_pl13_sv4_bp13_ba600_bp48,144.93,12.99,42.33,174.44,135.45,135.49
30041_sd768_sl13_pd190_pl8_sv9_bp12_ba650_bp53,248.09,16.29,50.56,271.44,323.43,268.6
30042_sd684_sl9_pd115_pl12_sv6_bp14_ba830_bp53,209.38,16.72,55.56,263.72,204.84,191.39
30043_sd726_sl10_pd164_pl14_sv6_bp13_ba660_bp57,155.02,13.82,49.2,196.62,147.08,156.26
30044_sd781_sl9_pd190_pl6_sv10_bp11_ba580_bp56,202.47,15.26,48.94,218.98,220.97,297.66
30045_sd694_sl11_pd331_pl9_sv4_bp14_ba560_bp77,128.37,12.5,42.01,167.38,113.28,119.37
30046_sd883_sl11_pd177_pl11_sv6_bp13_ba740_bp70,194.99,16.21,55.34,242.69,201.04,196.67
30047_sd813_sl13_pd224_pl8_sv4_bp12_ba500_bp73,116.93,13.01,39.69,168.38,111.97,126.44
30048_sd685_sl10_pd250_pl10_sv8_bp10_ba680_bp51,167.25,14.53,48.68,207.45,156.7,192.24
30049_sd770_sl9_pd238_pl9_sv8_bp9_ba500_bp69,132.64,13.03,35.81,150.85,127.4,143.76
30050_sd794_sl12_pd157_pl9_sv8_bp13_ba790_bp42,237.63,17.18,59.76,284.04,275.81,269.33
30051_sd737_sl13_pd260_pl12_sv6_bp12_ba670_bp56,160.88,14.53,47.75,186.67,146.11,157.48
30052_sd782_sl8_pd226_pl12_sv10_bp12_ba660_bp63,189.89,14.04,49.72,196.46,204.84,259.65
30053_sd727_sl10_pd282_pl14_sv6_bp11_ba650_bp49,153.74,13.83,49.57,194.76,138.22,169.02
30054_sd767_sl10_pd198_pl6_sv5_bp12_ba870_bp61,196.75,15.98,56.82,242.37,179.39,190.6
30055_sd734_sl10_pd214_pl10_sv8_bp11_ba660_bp78,155.63,15.12,53.51,239.64,156.14,194.88
