load_case,out_oopDisp_mm_n2,out_supReac_kN_n3,out_supReac_kN_n4,out_verDisp_mm_n5,out_oopDisp_mm_n5,out_endBend_kNm_n6
22001_sd843_sl14_pd177_pl10_sv9_bp12_ba770_bp52,196.45,19.84,61.66,296.68,206.3,292.17
22002_sd659_sl9_pd218_pl12_sv6_bp13_ba760_bp65,203.66,15.94,53.21,249.86,221.56,213.61
22003_sd725_sl9_pd295_pl11_sv6_bp11_ba770_bp50,179.66,14.72,53.29,220.23,176.47,167.43
22004_sd755_sl8_pd161_pl9_sv10_bp13_ba640_bp53,192.67,16.13,50.36,197.63,211.24,224.23
22005_sd588_sl10_pd248_pl8_sv8_bp13_ba620_bp69,149.03,13.72,45.1,174.0,137.06,151.04
22006_sd627_sl10_pd238_pl8_sv14_bp13_ba490_bp57,261.8,20.14,45.12,239.7,360.86,333.98
22007_sd710_sl10_pd262_pl9_sv12_bp12_ba850_bp55,208.62,17.6,59.06,265.64,237.31,359.26
22008_sd662_sl6_pd158_pl11_sv9_bp13_ba800_bp65,200.83,15.81,55.28,259.8,199.83,228.77
22009_sd814_sl7_pd232_pl10_sv10_bp14_ba700_bp56,209.88,16.09,51.98,215.72,231.44,230.04
22010_sd819_sl8_pd259_pl13_sv8_bp12_ba700_bp65,211.66,15.59,54.64,247.44,234.18,216.47
22011_sd763_sl9_pd156_pl6_sv9_bp13_ba890_bp54,248.81,20.28,61.69,285.65,245.4,251.76
22012_sd843_sl13_pd207_pl9_sv10_bp11_ba770_bp56,209.24,17.49,59.93,277.72,229.54,275.39
22013_sd856_sl9_pd224_pl11_sv10_bp11_ba590_bp46,153.74,15.16,52.12,187.66,169.63,251.88
22014_sd837_sl6_pd275_pl8_sv8_bp12_ba670_bp60,197.93,16.85,55.53,263.66,207.07,231.41
22015_sd724_sl9_pd200_pl12_sv10_bp12_ba570_bp83,157.27,13.69,44.14,177.57,179.29,218.42
22016_sd756_sl13_pd202_pl8_sv7_bp12_ba790_bp56,188.6,15.41,55.91,234.83,178.84,168.28
22017_sd730_sl13_pd214_pl12_sv9_bp12_ba660_bp60,162.34,14.73,49.48,206.15,169.42,215.78
22018_sd828_sl9_pd214_pl6_sv5_bp13_ba550_bp60,130.71,12.75,41.03,156.6,118.69,122.36
22019_sd873_sl8_pd204_pl11_sv9_bp14_ba1010_bp73,279.15,20.44,61.61,327.03,296.82,337.0
22020_sd726_sl8_pd148_pl11_sv10_bp13_ba650_bp62,173.66,14.86,49.26,189.46,174.1,275.22
22021_sd714_sl8_pd319_pl7_sv8_bp12_ba870_bp64,222.16,16.55,59.31,288.83,216.7,258.14
22022_sd758_sl12_pd141_pl9_sv7_bp11_ba570_bp69,142.45,13.95,42.5,194.57,142.83,167.03
22023_sd769_sl12_pd210_pl12_sv8_bp12_ba790_bp46,189.16,17.47,60.27,288.61,190.18,245.45
22024_sd836_sl9_pd222_pl11_sv6_bp12_ba770_bp50,199.16,15.39,56.73,256.87,196.59,212.8
22025_sd783_sl10_pd231_pl10_sv5_bp12_ba730_bp65,169.91,14.81,53.1,222.19,154.9,170.49
22026_sd624_sl10_pd159_pl11_sv6_bp12_ba840_bp67,205.33,16.73,56.04,264.92,201.3,203.39
22027_sd714_sl7_pd216_pl8_sv7_bp13_ba620_bp60,154.85,13.65,40.74,170.71,160.77,145.72
22028_sd857_sl14_pd192_pl9_sv8_bp10_ba640_bp74,164.35,15.28,54.26,227.2,166.58,192.7
22029_sd831_sl9_pd116_pl10_sv12_bp12_ba560_bp51,168.57,14.97,56.34,230.97,201.34,357.83
22030_sd581_sl8_pd170_pl12_sv8_bp13_ba610_bp69,195.44,14.55,45.97,217.74,230.85,185.72
22031_sd661_sl11_pd91_pl11_sv8_bp14_ba730_bp55,180.0,18.58,64.53,340.22,184.77,302.89
22032_sd753_sl11_pd176_pl11_sv7_bp13_ba700_bp41,170.45,15.01,52.38,219.78,163.29,191.51
22033_sd740_sl11_pd227_pl11_sv6_bp13_ba740_bp63,193.51,14.76,52.8,233.88,192.06,183.94
22034_sd601_sl12_pd158_pl4_sv8_bp14_ba620_bp73,158.65,15.54,55.13,239.81,151.78,225.47
22035_sd721_sl7_pd149_pl9_sv9_bp12_ba700_bp42,204.43,17.68,52.16,226.46,219.01,208.99
22036_sd751_sl9_pd202_pl8_sv5_bp12_ba550_bp68,136.19,12.4,42.13,172.79,135.38,150.57
22037_sd748_sl7_pd154_pl7_sv10_bp11_ba690_bp55,253.35,18.62,56.31,266.96,321.81,292.61
22038_sd780_sl14_pd172_pl12_sv8_bp11_ba670_bp59,178.0,15.79,51.9,217.5,184.6,193.78
22039_sd829_sl7_pd204_pl11_sv8_bp12_ba690_bp57,222.06,16.08,53.07,265.44,251.33,239.33
22040_sd806_sl12_pd194_pl6_sv6_bp13_ba520_bp65,132.71,12.74,37.51,156.06,129.75,133.6
22041_sd697_sl11_pd155_pl12_sv5_bp12_ba850_bp63,194.67,16.14,55.31,259.06,172.41,198.15
22042_sd695_sl12_pd286_pl11_sv9_bp12_ba730_bp58,178.11,18.98,63.86,326.75,182.55,280.73
22043_sd693_sl8_pd151_pl11_sv8_bp10_ba750_bp72,243.32,17.24,55.46,281.63,278.69,270.07
22044_sd666_sl8_pd164_pl10_sv5_bp12_ba820_bp65,196.15,15.23,52.79,247.07,182.24,196.74
22045_sd704_sl10_pd261_pl8_sv9_bp13_ba880_bp60,205.17,17.99,62.51,277.4,203.78,258.47
22046_sd702_sl14_pd250_pl12_sv7_bp11_ba740_bp60,169.53,14.23,47.49,204.32,162.93,164.5
22047_sd803_sl8_pd240_pl6_sv7_bp12_ba720_bp54,177.74,14.57,49.75,212.18,173.77,167.36
22048_sd740_sl10_pd206_pl8_sv8_bp11_ba760_bp59,200.62,15.45,51.1,228.65,196.7,200.16
22049_sd777_sl10_pd174_pl10_sv4_bp14_ba630_bp66,147.91,12.7,46.2,183.56,131.75,145.3
22050_sd736_sl8_pd147_pl12_sv9_bp11_ba890_bp50,279.7,19.24,56.42,327.43,310.97,345.76
22051_sd720_sl11_pd248_pl9_sv6_bp12_ba630_bp71,151.75,13.46,49.52,206.1,146.15,169.34
22052_sd838_sl10_pd234_pl11_sv9_bp14_ba720_bp51,209.22,17.05,57.17,257.25,233.71,220.58
22053_sd743_sl8_pd246_pl8_sv7_bp11_ba640_bp63,156.6,13.75,47.94,198.65,153.46,164.4
22054_sd647_sl9_pd251_pl11_sv10_bp12_ba720_bp65,187.15,14.9,50.5,206.12,187.77,218.1
22055_sd714_sl7_pd225_pl10_sv9_bp11_ba520_bp71,143.0,12.78,38.78,178.64,148.35,167.63
22056_sd674_sl7_pd216_pl8_sv11_bp11_ba660_bp47,243.31,17.48,55.38,260.01,294.61,267.5
22057_sd710_sl9_pd248_pl12_sv9_bp11_ba740_bp65,210.19,16.84,56.57,259.33,227.51,201.72
22058_sd694_sl9_pd254_pl14_sv8_bp12_ba600_bp66,143.93,14.25,47.6,205.86,137.57,177.95
22059_sd747_sl10_pd155_pl12_sv6_bp13_ba860_bp67,216.81,17.48,58.21,282.55,216.59,225.63
22060_sd843_sl15_pd142_pl12_sv5_bp13_ba700_bp44,168.1,16.26,53.23,238.2,147.15,183.14
22061_sd843_sl7_pd182_pl11_sv7_bp11_ba820_bp73,230.93,16.49,55.89,266.44,260.42,256.22
22062_sd775_sl13_pd252_pl9_sv9_bp11_ba670_bp67,234.18,16.61,56.91,272.27,283.72,308.0
22063_sd776_sl10_pd131_pl13_sv10_bp13_ba760_bp55,216.0,16.87,57.68,263.48,227.15,255.57
22064_sd692_sl15_pd259_pl10_sv8_bp12_ba690_bp61,167.43,14.53,47.35,207.46,176.66,184.13
22065_sd805_sl13_pd228_pl10_sv10_bp10_ba680_bp48,197.03,16.95,55.8,236.62,221.32,214.89
22066_sd774_sl10_pd204_pl10_sv6_bp14_ba670_bp67,200.21,15.18,49.09,235.46,228.21,174.47
22067_sd805_sl9_pd150_pl7_sv11_bp12_ba650_bp54,238.3,18.23,53.19,254.42,299.13,355.25
22068_sd772_sl9_pd226_pl7_sv8_bp13_ba540_bp47,140.69,14.39,46.84,204.33,150.09,206.29
22069_sd889_sl9_pd180_pl14_sv4_bp12_ba920_bp71,207.8,15.56,56.89,261.63,177.25,183.86
22070_sd665_sl9_pd233_pl9_sv9_bp12_ba570_bp70,142.93,13.31,40.11,159.95,136.4,186.05
22071_sd861_sl12_pd214_pl13_sv7_bp12_ba620_bp66,192.26,16.97,53.29,250.82,217.15,211.18
22072_sd684_sl9_pd184_pl11_sv8_bp11_ba840_bp50,213.12,16.79,58.18,281.13,216.87,222.74
22073_sd672_sl9_pd150_pl13_sv9_bp14_ba820_bp81,208.94,17.25,58.67,293.97,211.1,225.31
22074_sd738_sl10_pd135_pl11_sv9_bp12_ba730_bp60,202.71,15.42,53.91,252.67,235.24,228.72
22075_sd697_sl10_pd190_pl9_sv8_bp12_ba780_bp64,197.03,15.3,55.97,265.1,194.43,217.1
22076_sd776_sl10_pd138_pl13_sv7_bp12_ba590_bp57,147.15,13.96,46.52,191.2,149.65,170.46
22077_sd733_sl12_pd167_pl10_sv11_bp14_ba910_bp43,217.32,20.91,71.04,358.86,228.89,342.76
22078_sd644_sl14_pd234_pl8_sv8_bp13_ba680_bp49,174.89,14.54,51.67,216.89,183.26,222.24
22079_sd809_sl9_pd154_pl11_sv7_bp12_ba720_bp65,173.91,15.07,52.53,235.92,164.45,203.6
22080_sd748_sl9_pd268_pl9_sv6_bp11_ba860_bp53,197.3,15.83,56.61,234.18,176.34,200.34
22081_sd740_sl7_pd223_pl11_sv4_bp12_ba810_bp45,192.14,15.43,52.96,243.01,178.04,161.31
22082_sd705_sl11_pd245_pl12_sv5_bp10_ba830_bp74,192.61,15.46,54.35,253.26,173.13,190.81
22083_sd885_sl11_pd238_pl9_sv6_bp13_ba620_bp51,152.3,13.89,49.99,210.69,145.9,175.96
22084_sd803_sl10_pd97_pl10_sv8_bp13_ba640_bp56,155.25,16.05,52.32,228.99,167.94,222.16
22085_sd685_sl6_pd195_pl11_sv8_bp12_ba710_bp57,190.31,14.58,51.23,210.34,200.42,189.4
22086_sd757_sl13_pd260_pl10_sv5_bp10_ba800_bp77,184.16,15.37,54.94,252.55,161.29,189.68
22087_sd696_sl10_pd125_pl10_sv10_bp13_ba840_bp54,208.03,17.88,58.74,272.08,209.04,260.97
22088_sd680_sl9_pd196_pl7_sv8_bp12_ba650_bp61,161.94,14.21,47.66,198.79,160.76,198.51
22089_sd642_sl11_pd177_pl11_sv10_bp13_ba610_bp58,157.03,14.81,45.15,188.55,167.37,186.08
22090_sd748_sl10_pd188_pl6_sv8_bp14_ba820_bp73,206.63,16.31,56.74,259.25,179.39,232.52
22091_sd643_sl10_pd88_pl11_sv10_bp11_ba810_bp57,192.08,17.92,56.15,281.75,205.33,211.87
22092_sd807_sl10_pd211_pl10_sv10_bp12_ba490_bp46,126.32,14.68,39.92,157.26,136.89,196.92
22093_sd787_sl10_pd196_pl12_sv8_bp11_ba630_bp53,155.05,15.62,55.08,245.89,158.3,221.4
22094_sd756_sl11_pd158_pl12_sv9_bp12_ba680_bp66,176.52,16.46,57.11,267.15,179.65,249.99
22095_sd886_sl11_pd158_pl11_sv7_bp11_ba720_bp57,177.52,16.68,60.12,255.89,173.09,249.02
22096_sd705_sl10_pd161_pl12_sv7_bp13_ba640_bp69,165.81,14.6,46.9,205.78,173.99,164.61
22097_sd748_sl14_pd166_pl12_sv9_bp14_ba680_bp52,173.05,16.11,51.79,231.49,180.63,214.01
22098_sd607_sl9_pd200_pl9_sv10_bp12_ba640_bp66,166.12,13.72,47.25,186.1,166.46,210.33
22099_sd706_sl9_pd249_pl9_sv2_bp12_ba590_bp71,132.28,12.72,43.09,172.71,118.61,131.25
22100_sd603_sl9_pd242_pl10_sv12_bp13_ba600_bp54,163.7,13.89,47.28,182.49,183.98,223.98
22101_sd799_sl11_pd180_pl7_sv9_bp12_ba490_bp74,136.31,14.36,37.86,166.76,159.41,193.16
22102_sd627_sl9_pd204_pl10_sv12_bp13_ba710_bp49,192.17,15.87,57.19,222.01,225.69,305.04
22103_sd860_sl10_pd106_pl10_sv7_bp12_ba790_bp45,192.16,17.04,58.61,273.93,185.51,270.11
22104_sd786_sl10_pd194_pl11_sv6_bp11_ba810_bp53,204.0,16.07,57.98,265.33,198.79,211.85
22105_sd676_sl9_pd228_pl10_sv6_bp12_ba870_bp55,199.79,15.73,54.65,239.28,180.63,186.6
22106_sd817_sl10_pd185_pl12_sv10_bp11_ba690_bp59,198.42,15.35,51.04,221.13,215.02,222.66
22107_sd793_sl11_pd173_pl12_sv8_bp13_ba650_bp51,169.12,18.99,65.52,340.87,169.3,324.78
22108_sd664_sl10_pd254_pl8_sv10_bp12_ba700_bp45,185.4,16.3,56.32,238.66,180.94,249.74
22109_sd769_sl11_pd271_pl14_sv6_bp12_ba610_bp71,142.44,14.13,42.57,172.89,130.95,143.91
