load_case,out_oopDisp_mm_n2,out_supReac_kN_n3,out_supReac_kN_n4,out_verDisp_mm_n5,out_oopDisp_mm_n5,out_endBend_kNm_n6
21001_sd699_sl8_pd215_pl9_sv7_bp12_ba700_bp67,159.78,14.46,51.39,214.9,159.03,176.7
21002_sd810_sl7_pd175_pl13_sv7_bp12_ba640_bp63,163.02,13.98,46.88,193.05,167.68,145.12
21003_sd690_sl13_pd146_pl9_sv8_bp14_ba710_bp66,188.83,15.66,57.15,279.96,191.07,255.03
21004_sd591_sl5_pd228_pl13_sv8_bp12_ba680_bp50,209.85,15.18,50.11,236.7,229.97,202.81
21005_sd817_sl10_pd253_pl10_sv8_bp12_ba640_bp54,154.87,14.56,52.02,231.06,148.55,200.94
21006_sd820_sl11_pd210_pl9_sv10_bp12_ba590_bp60,149.65,16.28,47.79,179.2,156.89,226.32
21007_sd772_sl9_pd224_pl10_sv9_bp12_ba790_bp64,185.85,16.33,58.23,245.79,186.51,244.2
21008_sd738_sl12_pd260_pl9_sv5_bp12_ba1000_bp48,236.89,17.58,63.03,297.91,214.29,227.54
21009_sd789_sl14_pd169_pl7_sv13_bp12_ba720_bp67,180.13,17.34,58.81,263.53,252.12,274.14
21010_sd666_sl15_pd203_pl13_sv8_bp13_ba600_bp54,207.42,16.54,51.57,262.08,246.95,217.01
21011_sd840_sl9_pd186_pl7_sv7_bp12_ba680_bp65,178.45,15.38,49.38,208.06,189.61,186.18
21012_sd797_sl9_pd157_pl13_sv9_bp11_ba840_bp69,257.0,18.62,60.31,308.12,275.1,295.54
21013_sd781_sl9_pd154_pl10_sv5_bp13_ba690_bp60,200.58,14.72,53.21,230.86,210.78,190.73
21014_sd617_sl12_pd315_pl9_sv12_bp12_ba620_bp61,160.63,14.28,55.0,225.83,172.36,257.87
21015_sd726_sl11_pd200_pl6_sv9_bp11_ba680_bp52,186.45,17.85,58.97,271.03,181.77,228.38
21016_sd765_sl18_pd189_pl8_sv8_bp13_ba650_bp66,164.77,14.9,49.25,211.46,166.21,194.04
21017_sd947_sl10_pd135_pl10_sv9_bp11_ba860_bp53,209.65,18.88,58.23,264.08,205.81,250.04
21018_sd838_sl15_pd216_pl11_sv9_bp12_ba750_bp57,186.77,15.47,54.27,220.08,191.75,238.66
21019_sd749_sl11_pd209_pl11_sv7_bp12_ba740_bp59,178.0,15.6,55.31,229.54,181.56,203.7
21020_sd802_sl10_pd182_pl15_sv7_bp11_ba630_bp56,166.22,15.37,49.14,205.68,159.92,170.55
21021_sd835_sl8_pd212_pl5_sv5_bp13_ba640_bp78,165.99,14.03,47.77,205.82,160.8,176.01
21022_sd673_sl8_pd183_pl8_sv8_bp12_ba630_bp40,162.52,13.94,43.42,175.82,156.56,157.26
