,out_oopDisp_mm_n2,out_oopDisp_mm_n5,out_endBend_kNm_n6
36286,0.37178581520203446,0.29470862982351653,0.3041243798839208
2541,0.20961665253838183,0.15535563148490644,0.11932168217632375
25181,0.24755109729678818,0.1501363593617755,0.267760448753283
6921,0.2236978430818499,0.15493244725870664,0.1832949644953147
23081,0.22171988320617877,0.16845866900724116,0.10169903699620639
45199,0.22553452010925876,0.13328735776307954,0.1769560001296975
35064,0.2686728831119902,0.16538666499482774,0.17214098116144097
33200,0.20349439578035225,0.16515156264693898,0.15930093057942354
42486,0.23952152208721864,0.14436851509357074,0.15613955448915404
16432,0.20879250259018553,0.14302059496567504,0.2753477513699296
43495,0.1797588772722992,0.11018463371054199,0.08509775947602219
17125,0.24698596590373925,0.17784708943293315,0.20837521481145235
29262,0.4203164735801074,0.28522616845866905,0.33239843066048447
13535,0.25826504662333993,0.1912635967524529,0.19044453811484716
18108,0.3047941979843647,0.2703363530923796,0.18436496871048283
47953,0.3596825845342375,0.2279395630231027,0.22356603222982394
11027,0.19989168314966563,0.12764490141374882,0.18778573976200516
9169,0.5277149854007723,0.4789034826494467,0.3562465549106709
29711,0.2651643590468117,0.16195417071565155,0.14112707110664377
7487,0.2572996138268814,0.1346509513808345,0.11557666742323533
14261,0.17330696053499103,0.10955769411617189,0.18965014104601022
33471,0.2115946124140529,0.14327137080342311,0.20411141013585812
47335,0.2764198926250353,0.17834864110842924,0.3118738043513505
3505,0.3262927380615993,0.2677032067960252,0.2096559774326384
49826,0.2528021098238673,0.1707626720165512,0.22414967089264295
48715,0.21741075633418103,0.13071690542616218,0.17126552316721252
2752,0.077375906564943,0.06098554904234976,0.07431665639894947
23372,0.1392813412451728,0.09139211936929875,0.14503420771051526
15292,0.22011867759254025,0.1414689194696091,0.24339353458059085
43913,0.2919845530752567,0.15112378922290837,0.1574851658506534
2856,0.20542526137326925,0.12126579104103319,0.09568431633215527
46565,0.290948478854667,0.24735901695871604,0.21435751110534682
37725,0.3275171894132053,0.26873765712673586,0.34831879640737984
