case_ref,out_oopDisp_mm_n2,out_oopDisp_mm_n5,out_endBend_kNm_n6
13781,-1.280803195700498,-1.2980260973117483,-1.0753283491247712
34753,1.4411297906609444,1.230213063622665,0.2793068665938324
41226,-1.7452561777427522,-1.46708562984329,-0.7547386829282153
33114,-0.5433511326105063,-0.17876644918015644,0.39305356970053057
9209,0.30304271252687043,-0.23144278821128933,-0.08613827032188202
4891,-0.06826182273522276,-0.08894653775527656,1.431330767403631
48779,-1.2437372047672157,-1.2854197939538705,-1.0844687091958454
14393,-0.142393804601787,-0.46555985057187976,-0.0025209022642798656
44892,-0.7741272152907658,-0.5810425938324401,-0.2631904302171289
41397,0.5460666878633457,-0.018486306487137456,-0.21393404538967503
35128,-1.0758121501912175,-0.9893967776037008,-1.4797046493061714
1150,0.0235973721863888,-0.4831186302489241,-0.4661402769804186
40979,-0.4195829541898082,0.13504045940701936,-0.3190481862070253
36805,-0.5107975231821459,-0.5150846137635435,1.21297772126131
25485,0.29111713283529356,-0.2974007682801866,-0.5539892932190735
2637,-0.2693851126688572,-0.2514778060479171,0.4223365751134154
10135,-0.2980709665215706,-0.3136088725974582,-1.0558627674919288
43838,-0.38638471883217307,-0.36651032418855295,-0.47071045701595526
23538,-0.11789801928935749,-0.2577809577268561,0.4810718518664274
30939,0.3800755110751699,0.6219589266050547,-0.5064255676640406
7502,-0.031840457731215445,-0.4549795602536608,-1.0694040416712973
5922,0.5621823360952074,0.5814386658118753,0.7427569753827287
46686,0.7156033072625305,0.9202330685548452,1.169307112032846
17314,-0.9004738974285621,-0.7512276891637923,-0.6983731291565931
45126,2.6153159208343895,2.7560259950458206,1.303704258263081
38028,-0.8917714473833565,-0.830242197710492,-0.7009121180652248
30612,-0.2542364033309072,-0.3491766570714712,0.22937341805741024
32,0.984090006805347,1.2167063100249387,1.2004520426453937
37359,-0.30193872209721756,-0.14432422750595483,0.13763128549218698
2180,0.21021657871134714,0.08551569621535565,0.8143564626061414
14313,-0.10307162291604445,-0.4412476940959727,-0.6721369104340659
11806,-0.07277420424014451,0.15620104004345728,-0.6396378524035811
28254,-0.8005568783910187,-0.00497955288941058,0.35869258647038227
6094,1.0985111092515647,1.6147053160379417,0.4839493726295431
36296,-1.2369686325098346,-1.05130273159328,-0.8209216604798807
4052,0.36041442023229814,0.2719088958639795,0.6980707705908119
6382,0.3559020387273773,-0.038296211763802684,0.809109218861636
46936,-0.05021229671553758,-0.0900721005550867,-0.34511513900231006
45908,0.00554784616670361,-0.4565553481733954,-0.5152273958806305
32910,-0.5043512638894007,-0.2841191272424222,-0.06481076348937635
9337,0.6708018051779545,0.02338462966581458,0.2122775594059573
4456,0.9940817087091004,0.4391675279158245,0.9775288164675349
37930,-0.525301606590821,-0.6742391936567523,0.14355559294566073
27688,-2.016966006931941,-1.50557987759681,-1.262028666872818
33373,0.3059435292086056,0.6318638792433873,0.9712659771595767
24458,-0.22007122907936033,0.4193576226391592,-0.3088922305724988
25526,0.5831326787966269,0.16453020476205532,0.050459332962500394
36286,1.581013617313504,1.6797628458669913,0.8891720024471541
2541,-0.6387557701431278,-0.3217129247560943,-1.0402903021856544
25181,-0.1195095841125431,-0.3966754072234753,0.509508527643102
6921,-0.4460126172900612,-0.3277909638750708,-0.37236695328828995
23081,-0.47308690631958894,-0.1335188246277733,-1.2242823650978278
45199,-0.4208722060483569,-0.6386714091827392,-0.4385499308399548
35064,0.1696051451670559,-0.17764088638034628,-0.48882191123086133
33200,-0.7225571409488085,-0.181017574779778,-0.622880525606612
42486,-0.22941830505383987,-0.47951682928953043,-0.6558873814188237
16432,-0.6500367239054309,-0.4988765094462719,0.5887249815924089
43495,-1.04744860930314,-0.9704873225668839,-1.3976106745937482
17125,-0.127245095263837,0.0013235987895284156,-0.11051256384474578
29262,2.2453006374308444,1.5435697470899168,1.1843717795573934
13535,0.027142814797397895,0.1940199501170906,-0.2977206793745191
18108,0.6640332329205733,1.329712815125916,-0.36119540209031026
47953,1.4153447534899661,0.720783340428419,0.04808960998111061
11027,-0.7718710245383054,-0.7197119307690973,-0.3254802914422254
9169,3.7153700691412697,4.3252856505416615,1.4333619585305364
29711,0.12158051343610773,-0.22694053701204747,-0.8126276300450171
7487,0.013927983247271406,-0.6190866164660359,-1.0793907313785818
14261,-1.1357623616137424,-0.9794918249653682,-0.30601470980938267
33471,-0.6116814811136,-0.4952747084868776,-0.15502950270942104
47335,0.2756461105327057,0.008527200708315657,0.9700811156688821
3505,0.958304969634368,1.2918939050522822,-0.09714055559261925
49826,-0.047633792998440214,-0.10042727831334376,0.05418318336182679
48715,-0.5320701788482032,-0.6755898690165251,-0.49796227130193516
2752,-2.448865379545835,-1.6771156482879348,-1.5101725162097512
23372,-1.6015045955145464,-1.2403972819614493,-0.7718345415796687
15292,-0.4950041879149211,-0.52116265288252,0.2551018389982111
43913,0.48869498015791796,-0.38249331594586267,-0.6418383094577284
2856,-0.6961274778485556,-0.811332742673675,-1.2870800241046507
46565,0.4745132097138797,0.9996978022214686,-0.04805343669240734
37725,0.9750652437955044,1.3067513340097812,1.350590920109145
10165,-0.0057331075955994034,0.14922255068463194,-0.949563765183884
8806,0.08677071325528696,0.004475174628997594,0.0780496791029642
7481,1.99518577687235,1.863679807356031,0.5281277796397339
35077,-0.014435557640805056,-0.2591316330866288,-0.05076169152828151
10132,-0.5691361697814853,-0.8268655093110603,-0.6020608165558327
27375,-0.4679298988853933,-0.6001771614292196,1.3599005461074614
27361,-0.8179617784814301,-0.30055234411965637,0.34853663083585534
37920,-0.0070223594541480834,-0.39645029466351334,-0.8187212034257328
20762,0.3098112847842526,0.675310603316074,-0.4131600417536383
11443,1.9594090377976174,1.3848653923166319,0.8566729444166689
25286,-1.4438935558069386,-1.3601571638612895,-1.5323463526784675
2950,0.5579922675549226,0.4992725814257065,1.3671789809788721
24571,0.43357946320495067,-0.10312862903288914,0.02371531645824685
42797,1.3138161696292372,0.5467713315777112,0.8939114484099328
13544,-1.5267279877187074,-1.3585813759415546,-0.9499022970383678
7691,-1.5821658176363116,-1.2435488578009184,-0.9757999839064107
14969,0.009737914706987507,0.11815701740986141,-0.04297545887514433
35733,-0.07438576906333014,-0.12091252126989534,0.12392074538557606
49438,1.2703039194032109,0.824785343130912,0.4812411177936694
44365,5.6647188792672605,6.313930005246906,4.0307476120607095
45353,0.8844953007324415,0.9425192119910933,1.179124535812888
34253,-0.7199786372317103,-0.4579060235331681,-0.3911554712121639
18614,-1.1586465821029863,-1.2802422050747415,-1.351401076456652
26245,1.3956836626470945,0.6969214090724356,1.2216102835506573
28193,-0.461483639592649,-0.5893717585510381,-1.1059654819555929
38809,-0.014113244676168115,-0.3248645005955635,-0.8045028655373956
3628,-0.4327977857399347,-0.5877959706313035,-0.46817146810732396
27986,-1.2295554343231776,-0.9898470027236246,-1.2149727390995115
40272,0.608595403002969,0.10307447589239994,0.4983369764451228
42668,-0.09598073769402533,-0.39622518210355145,-0.177034073250895
43756,-0.22264973279645858,-0.28749581564185395,-0.8552826437100285
19436,0.8206773337342687,0.3626292575287083,-0.7537230873647627
48684,-0.7103092482925938,-0.49234824520737036,-0.5343544456589888
39602,-1.9138258582480259,-1.3930235976157568,-0.7213932952615197
18343,0.9251067342767327,0.23454021091026997,-0.004552093391185259
26864,-0.47018608963785374,-0.6580310893394807,-0.45818477840003946
13673,-0.9997462905368297,-0.37393903866730277,-0.8999688485019457
32449,-0.4237730227300921,-0.7498770138040196,-0.7527074918013105
30859,-0.9742835663304885,-0.9691366472071111,-0.8957372003208929
7200,-0.5804171235437884,-0.1389215260668641,0.42589115958549983
33233,-0.5130537139346063,-0.4799670544094549,-0.36745824139826844
9662,0.3981250370948551,0.1474216502049348,0.09565333553614347
6832,-0.34738485011106746,-0.4925733577673329,-0.9353454272955466
22903,-0.06600563198276234,0.06548067837872852,0.22175645133151548
8618,-0.8240857248095375,-0.8437489513082183,-0.0333273010223442
34926,0.1853984804342807,0.24557072634841337,0.3737572539949298
23916,-0.761879322634551,-0.9635088332080585,-0.24880282640154966
5995,-0.9072424696859434,-0.5754147798333874,0.09006755993715412
9841,0.29917495695122437,0.30477532961844717,-0.5238599581699779
12820,-0.5826733142962488,-0.5754147798333874,-0.6101855810634538
11933,-0.8276311674205465,-0.7199370433290598,-0.8095808433546591
19563,0.6746695607536015,1.1480469792364967,0.4363856470745102
44838,1.2451635081615064,0.4925192046268437,-0.2550656657095078
7445,0.9860238845931696,0.476536212869534,0.18451794733825105
7824,-1.4387365483727428,-1.2352196930823203,-1.2852180989049873
22701,0.8793382932982459,1.1534496806755867,1.1412089681106552
29931,-0.7924990542750879,-0.8171856692326895,-0.5651608444170526
9038,0.5096453228593374,-0.05315364072130161,-0.10645018159093547
20173,-0.11338563778443574,-0.028616371685431973,0.3666480850507614
37475,-2.738947047719346,-1.8398720291405375,-1.7557773766380524
32814,1.1449241761593263,0.4207082979989319,0.25256285008957935
28154,-1.1499441320577808,-1.1147844735025938,-1.076682476542708
10572,-0.2655173570932102,-0.8126834180334477,-1.0572168949098655
41095,0.7378429018224997,0.3153556199366661,-0.06768828425249249
47331,-0.1842944900046269,-0.504279210885362,-1.0369049836408124
21098,-0.16108795655074606,0.39932260480253146,-0.4052045431732592
11828,-0.8872590658784347,-0.45678046073335793,-0.511672811408546
1337,-0.4376324802094934,-0.45362888489388814,0.4795484585212484
17928,-0.6896812185558103,-0.30730572091851915,-0.06684195461628174
24324,-1.4297117853629002,-1.2237389525242532,-1.121030149480141
25119,-0.3709136965295861,-0.2942491924407174,-0.28113261850479254
32953,-0.41216975600315214,-0.5740641044736148,-0.8454652199299864
33634,-0.07212957831086972,-0.2881711533217403,-0.9275591946424094
13215,0.23148923437740448,0.10284936333243805,0.946891683636713
10784,0.6089177159676059,0.01640614030698924,-0.5968135728113273
33795,0.0187626777168301,-0.310457296757989,0.385098071120151
28625,-0.3406162778536862,-0.11123268119152462,-0.3088922305724988
38975,1.3441135883051372,0.7097528249902761,-0.1895597518668113
